Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LEG_122019P22.5,0:54.32:1128529:0.0:0,0:54.3:1182783:0.0:0,0:53.62:1416648:0.0:0,0:53.21:1313724:0.0:0,0:53.37:1053358:0.0:0,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582834:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
LEG_122019P25,505:54.32:1128529:0.35:0,505:54.3:1182783:0.35:0,505:53.62:1416648:0.35:0,505:53.21:1313724:0.35:0,505:53.37:1053358:0.35:0,505:53.57:886168:0.35:0,505:52.71:947143:0.35:0,505:52.38:582834:0.35:0,505:52.02:1038835:0.35:0,[505:52.33:687150:0.35:0
LEG_122019P30,140:54.32:1128529:0.05:0,140:54.3:1182783:0.05:0,140:53.62:1416648:0.05:0,140:53.21:1313724:0.05:0,140:53.37:1053358:0.05:0,140:53.57:886168:0.05:0,140:52.71:947143:0.05:0,140:52.38:582834:0.05:0,140:52.02:1038835:0.05:0,[140:52.33:687150:0.05:0
LEG_122019P35,264:54.32:1128529:0.05:0,264:54.3:1182783:0.05:0,264:53.62:1416648:0.05:0,264:53.21:1313724:0.05:0,264:53.37:1053358:0.05:0,264:53.57:886168:0.05:0,264:52.71:947143:0.05:0,264:52.38:582834:0.05:0,264:52.02:1038835:0.05:0,[264:52.33:687150:0.05:0
LEG_122019P40,781:54.32:1128529:0.05:0,781:54.3:1182783:0.05:1,781:53.62:1416648:0.05:0,781:53.21:1313724:0.05:0,781:53.37:1053358:0.12:1,781:53.57:886168:0.12:0,781:52.71:947143:0.12:0,781:52.38:582834:0.12:0,781:52.02:1038835:0.12:0,[781:52.33:687150:0.05:1
LEG_122019P45,6295:54.32:1128529:0.13:4,6299:54.3:1182783:0.13:0,6299:53.62:1416648:0.12:2,6297:53.21:1313724:0.15:1,6297:53.37:1053358:0.15:1946,7721:53.57:886168:0.15:0,7721:52.71:947143:0.15:0,7721:52.38:582834:0.15:0,7721:52.02:1038835:0.15:15,[7736:52.33:687150:0.15:0
LEG_122019P50,311:54.32:1128529:0.46:149,461:54.3:1182783:0.47:405,847:53.62:1416648:0.6:31,839:53.21:1313724:0.7:556,1394:53.37:1053358:0.7:1591,2880:53.57:886168:0.46:21,2890:52.71:947143:0.67:57,2851:52.38:582834:0.7:66,2835:52.02:1038835:0.8:146,[2782:52.33:687150:0.65:15
LEG_122019P55,67:54.32:1128529:2.2:42,84:54.3:1182783:2.22:28,77:53.62:1416648:2.55:5,75:53.21:1313724:2.9:4,76:53.37:1053358:2.85:21,96:53.57:886168:2.5:64,159:52.71:947143:2.99:12,167:52.38:582834:3.45:25,152:52.02:1038835:3.45:0,[152:52.33:687150:3.4:2
LEG_122019P60,2:54.32:1128529:5.6:1,3:54.3:1182783:6.5:2,4:53.62:1416648:6.5:0,4:53.21:1313724:6.5:0,4:53.37:1053358:6.5:0,4:53.57:886168:7.0:1,3:52.71:947143:7.0:0,3:52.38:582834:7.0:0,3:52.02:1038835:7.0:0,[3:52.33:687150:8.21:1
LEG_122019P65,0:54.32:1128529:0.0:0,0:54.3:1182783:0.0:0,0:53.62:1416648:0.0:0,0:53.21:1313724:0.0:0,0:53.37:1053358:0.0:0,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582834:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
LEG_011720P30,U,U,U,0:53.21:1313724:0.0:0,0:53.37:1053358:0.0:0,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582834:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
LEG_011720P35,U,U,U,0:53.21:1313724:0.0:0,0:53.37:1053358:0.0:0,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582834:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
LEG_011720P40,U,U,U,0:53.21:1313724:0.0:0,0:53.37:1053358:0.0:0,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582834:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
LEG_011720P45,U,U,U,3:53.21:1313724:0.3:2,4:53.37:1053358:0.3:0,4:53.57:886168:0.3:0,4:52.71:947143:0.3:0,4:52.38:582834:0.3:0,4:52.02:1038835:0.3:0,[4:52.33:687150:0.3:0
LEG_011720P50,U,U,U,4:53.21:1313724:1.0:0,4:53.37:1053358:1.0:0,4:53.57:886168:0.85:5,9:52.71:947143:1.0:41,49:52.38:582834:1.1:1,49:52.02:1038835:1.3:1,[49:52.33:687150:1.1:10
LEG_011720P55,U,U,U,35:53.21:1313724:3.0:0,35:53.37:1053358:3.4:3,36:53.57:886168:3.11:3,35:52.71:947143:3.6:13,26:52.38:582834:3.6:0,26:52.02:1038835:4.0:5,[24:52.33:687150:4.0:0
LEG_011720P60,U,U,U,12:53.21:1313724:5.7:0,12:53.37:1053358:5.7:0,12:53.57:886168:5.7:0,12:52.71:947143:7.55:4,10:52.38:582834:7.55:0,10:52.02:1038835:7.55:0,[10:52.33:687150:7.55:0
LEG_011720P65,U,U,U,0:53.21:1313724:0.0:0,0:53.37:1053358:0.0:0,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582834:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
LEG_011720P70,U,U,U,U,U,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582834:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
LEG_011720P75,U,U,U,U,U,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582834:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
LEG_011720P80,U,U,U,U,U,0:53.57:886168:0.0:0,0:52.71:947143:0.0:0,0:52.38:582834:0.0:0,0:52.02:1038835:0.0:0,[0:52.33:687150:0.0:0
