Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LITE_112219C62,11:66.53:1018954:4.3:0,11:66.65:1445424:4.3:0,11:67.7:1211498:4.3:0,11:67.81:1029256:4.3:0,11:67.99:1086775:6.6:1,10:68.9:1538132:6.6:0,10:68.91:968045:6.6:0,10:69.25:826590:6.6:0,10:68.17:670669:6.6:0,10:67.15:1165003:6.6:0,10:68.19:858666:6.6:0
LITE_112219C62.5,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:0.0:0,0:68.9:1538132:0.0:0,U:68.91:968045::,:69.25:826590:.:U,0:68.17:670669:0.0:0,0:67.15:1165003:0.0:0,0:68.19:858666:0.0:0
LITE_112219C63,7:66.53:1018954:3.1:0,7:66.65:1445424:3.1:0,7:67.7:1211498:4.6:3,10:67.81:1029256:4.6:0,10:67.99:1086775:4.6:0,10:68.9:1538132:4.6:0,10:68.91:968045:4.6:0,10:69.25:826590:4.6:0,U:68.17:670669:.:U,8:67.15:1165003:4.4:61,38:68.19:858666:4.4:0
LITE_112219C63.5,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:0.0:0,0:68.9:1538132:0.0:0,U:68.91:968045::,0:69.25:826590:0.0:0,0:68.17:670669:0.0:0,0:67.15:1165003:0.0:0,[0:68.19:858666:0.0:0
LITE_112219C64,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:0.0:0,0:68.9:1538132:0.0:0,0:68.91:968045:0.0:0,0:69.25:826590:0.0:0,0:68.17:670669:0.0:0,0:67.15:1165003:0.0:0,[0:68.19:858666:0.0:0
LITE_112219C64.5,0:66.53:1018954:2.55:2,2:66.65:1445424:2.55:0,2:67.7:1211498:2.55:0,2:67.81:1029256:2.55:0,2:67.99:1086775:2.55:0,2:68.9:1538132:4.35:2,2:68.91:968045:3.5:7,9:69.25:826590:3.5:0,9:68.17:670669:3.5:0,9:67.15:1165003:3.5:0,[9:68.19:858666:3.5:0
LITE_112219C65,18:66.53:1018954:2.94:0,18:66.65:1445424:2.94:0,18:67.7:1211498:2.94:0,18:67.81:1029256:2.94:0,18:67.99:1086775:2.94:0,18:68.9:1538132:2.94:0,18:68.91:968045:2.94:0,18:69.25:826590:2.94:0,18:68.17:670669:2.94:0,18:67.15:1165003:2.94:0,[18:68.19:858666:3.3:6
LITE_112219C65.5,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:0.0:0,0:68.9:1538132:0.0:0,0:68.91:968045:0.0:0,0:69.25:826590:0.0:0,0:68.17:670669:0.0:0,0:67.15:1165003:0.0:0,[0:68.19:858666:0.0:0
LITE_112219C66,2:66.53:1018954:2.05:0,2:66.65:1445424:2.17:16,15:67.7:1211498:2.45:3,16:67.81:1029256:2.45:0,16:67.99:1086775:2.45:0,16:68.9:1538132:2.58:11,21:68.91:968045:2.58:0,21:69.25:826590:2.58:0,21:68.17:670669:2.58:0,21:67.15:1165003:2.58:0,[21:68.19:858666:2.28:11
LITE_112219C66.5,7:66.53:1018954:2.15:0,7:66.65:1445424:1.25:4,7:67.7:1211498:2.15:2,6:67.81:1029256:2.15:0,6:67.99:1086775:2.3:1,6:68.9:1538132:2.15:5,11:68.91:968045:2.65:7,11:69.25:826590:2.65:0,11:68.17:670669:2.65:0,11:67.15:1165003:2.65:0,[11:68.19:858666:1.1:1
