Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LITE_112219P62,7:66.53:1018954:1.0:0,7:66.65:1445424:1.0:0,7:67.7:1211498:1.0:0,7:67.81:1029256:1.0:0,7:67.99:1086775:1.0:0,7:68.9:1538132:1.0:0,7:68.91:968045:1.0:0,7:69.25:826590:1.0:0,7:68.17:670669:1.0:0,7:67.15:1165003:1.0:0,7:68.19:858666:1.0:0
LITE_112219P62.5,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:0.0:0,0:68.9:1538132:0.0:0,0:68.91:968045:0.0:0,0:69.25:826590:0.0:0,0:68.17:670669:0.0:0,0:67.15:1165003:0.0:0,0:68.19:858666:0.0:0
LITE_112219P63,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:0.0:0,0:68.9:1538132:0.0:0,U:68.91:968045::,:69.25:826590:U:U,0:68.17:670669:0.0:0,0:67.15:1165003:0.0:0,0:68.19:858666:0.0:0
LITE_112219P63.5,59:66.53:1018954:1.06:0,59:66.65:1445424:1.06:0,59:67.7:1211498:1.06:0,59:67.81:1029256:1.06:0,59:67.99:1086775:1.06:0,59:68.9:1538132:1.06:0,U:68.91:968045::,61:69.25:826590:0.13:0,61:68.17:670669:0.13:0,61:67.15:1165003:0.13:0,[61:68.19:858666:0.13:0
LITE_112219P64,10:66.53:1018954:1.21:25,35:66.65:1445424:1.2:9,29:67.7:1211498:0.55:3,32:67.81:1029256:0.55:0,32:67.99:1086775:0.27:20,22:68.9:1538132:0.27:3,19:68.91:968045:0.27:0,19:69.25:826590:0.27:0,19:68.17:670669:0.12:1,19:67.15:1165003:0.12:0,[19:68.19:858666:0.12:0
LITE_112219P64.5,1:66.53:1018954:2.25:0,1:66.65:1445424:2.25:0,1:67.7:1211498:2.25:0,1:67.81:1029256:2.25:0,1:67.99:1086775:2.25:0,1:68.9:1538132:2.25:0,1:68.91:968045:0.16:10,:69.25:826590:U:U,16:68.17:670669:0.08:5,21:67.15:1165003:0.08:0,[21:68.19:858666:0.08:0
LITE_112219P65,53:66.53:1018954:1.7:0,53:66.65:1445424:1.6:1,53:67.7:1211498:1.6:0,53:67.81:1029256:1.6:0,53:67.99:1086775:1.6:0,53:68.9:1538132:1.6:0,53:68.91:968045:1.6:0,53:69.25:826590:0.1:5,58:68.17:670669:0.1:0,58:67.15:1165003:0.1:0,[58:68.19:858666:0.1:0
LITE_112219P65.5,0:66.53:1018954:0.0:0,0:66.65:1445424:1.15:4,4:67.7:1211498:1.15:0,4:67.81:1029256:1.15:0,4:67.99:1086775:1.15:0,4:68.9:1538132:1.15:0,4:68.91:968045:1.15:0,:69.25:826590:U:U,7:68.17:670669:0.21:0,7:67.15:1165003:0.18:15,[18:68.19:858666:0.01:2
LITE_112219P66,3:66.53:1018954:2.48:0,3:66.65:1445424:2.48:0,3:67.7:1211498:2.48:0,3:67.81:1029256:1.15:8,9:67.99:1086775:0.7:37,46:68.9:1538132:0.57:3,46:68.91:968045:0.57:0,46:69.25:826590:0.15:190,180:68.17:670669:0.27:231,383:67.15:1165003:0.17:140,[477:68.19:858666:0.02:421
LITE_112219P66.5,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:0.81:15,14:68.9:1538132:0.5:11,U:68.91:968045::,35:69.25:826590:0.35:11,45:68.17:670669:0.7:6,46:67.15:1165003:0.36:1,[46:68.19:858666:0.36:0
LITE_112219P67,2:66.53:1018954:3.6:0,2:66.65:1445424:1.85:6,4:67.7:1211498:1.45:10,14:67.81:1029256:1.35:15,18:67.99:1086775:1.0:6,22:68.9:1538132:1.15:1,U:68.91:968045::,25:69.25:826590:0.4:10,29:68.17:670669:0.75:43,67:67.15:1165003:0.75:0,[67:68.19:858666:0.75:0
LITE_112219P67.5,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:1.7:8,8:67.81:1029256:1.6:15,23:67.99:1086775:1.2:15,23:68.9:1538132:0.8:8,31:68.91:968045:0.68:6,37:69.25:826590:0.44:18,49:68.17:670669:0.44:0,49:67.15:1165003:0.5:31,[63:68.19:858666:0.05:35
LITE_112219P68,10:66.53:1018954:3.31:0,10:66.65:1445424:3.31:0,10:67.7:1211498:2.0:5,15:67.81:1029256:2.0:0,15:67.99:1086775:2.0:0,15:68.9:1538132:1.0:10,U:68.91:968045::,:69.25:826590:U:U,307:68.17:670669:0.73:7,308:67.15:1165003:0.73:0,[308:68.19:858666:0.07:27
LITE_112219P68.5,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:1.6:10,10:68.9:1538132:1.2:8,13:68.91:968045:1.1:27,35:69.25:826590:0.61:169,U:68.17:670669:U:U,476:67.15:1165003:1.37:129,[557:68.19:858666:0.27:433
LITE_112219P69,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:2.63:2,2:67.99:1086775:2.63:0,2:68.9:1538132:2.15:6,8:68.91:968045:1.02:13,13:69.25:826590:0.8:16,24:68.17:670669:0.8:2,26:67.15:1165003:1.49:12,[16:68.19:858666:0.83:2
LITE_112219P69.5,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:0.0:0,0:68.9:1538132:0.0:0,0:68.91:968045:1.33:3,2:69.25:826590:1.7:6,8:68.17:670669:1.7:0,8:67.15:1165003:1.7:0,[8:68.19:858666:1.7:0
LITE_112219P70,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:0.0:0,0:68.9:1538132:0.0:0,0:68.91:968045:1.65:6,6:69.25:826590:1.65:0,U:68.17:670669:U:U,6:67.15:1165003:1.65:0,[6:68.19:858666:1.65:0
LITE_112219P70.5,0:66.53:1018954:0.0:0,0:66.65:1445424:0.0:0,0:67.7:1211498:0.0:0,0:67.81:1029256:0.0:0,0:67.99:1086775:0.0:0,0:68.9:1538132:2.51:6,6:68.91:968045:1.9:16,22:69.25:826590:1.9:0,U:68.17:670669:U:U,22:67.15:1165003:1.9:0,[21:68.19:858666:2.3:6
LITE_112219P71,25:66.53:1018954:5.7:0,25:66.65:1445424:5.7:0,25:67.7:1211498:5.7:0,25:67.81:1029256:5.7:0,25:67.99:1086775:5.7:0,25:68.9:1538132:5.7:0,25:68.91:968045:5.7:0,25:69.25:826590:5.7:0,25:68.17:670669:2.4:92,117:67.15:1165003:2.4:0,[117:68.19:858666:2.4:0
