Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LOW_112219C102,90:111.64,90:109.53,90:111.28,90:111.61,90.0,90:112.62,90:112.2,90:112.67,90:112.6:2656212:11.25:0,90:114.0:2784216:11.25:0,90:114.45:2868889:11.25:0,90:114.32:4106036:11.25:0,90:112.85:4247189:12.45:2,88:114.54:2842024:12.45:0,88:115.52:3575352:12.45:0,88:115.02:5512899:12.45:0,88:113.4:7153859:11.95:28,108:117.95:11851968:16.7:6,110:117.02:5747292:16.7:0,110:118.2:4473248:15.65:2
LOW_112219C103,1:111.64,1:109.53,1:111.28,1:111.61,10.0,10:112.62,10:112.2,10:112.67,10:112.6:2656212:10.7:0,10:114.0:2784216:10.7:0,10:114.45:2868889:10.7:0,10:114.32:4106036:10.7:0,10:112.85:4247189:10.7:0,10:114.54:2842024:10.7:0,10:115.52:3575352:12.35:3,12:115.02:5512899:12.73:10,22:113.4:7153859:12.73:0,22:117.95:11851968:15.44:10,12:117.02:5747292:15.44:0,12:118.2:4473248:15.44:0
LOW_112219C104,0:111.64,0:109.53,0:111.28,0:111.61,0.0,0:112.62,0:112.2,0:112.67,0:112.6:2656212:0.0:0,0:114.0:2784216:9.95:15,15:114.45:2868889:9.95:0,15:114.32:4106036:9.95:0,15:112.85:4247189:9.95:0,15:114.54:2842024:9.95:0,15:115.52:3575352:9.95:0,U:115.02:5512899::,45:113.4:7153859:10.26:25,69:117.95:11851968:14.4:23,86:117.02:5747292:13.5:9,86:118.2:4473248:13.94:10
LOW_112219C105,7:111.64,7:109.53,7:111.28,7:111.61,7.0,7:112.62,7:112.2,7:112.67,7:112.6:2656212:8.5:10,15:114.0:2784216:9.6:1,16:114.45:2868889:9.6:0,16:114.32:4106036:9.6:0,16:112.85:4247189:9.15:4,35:114.54:2842024:9.15:0,35:115.52:3575352:10.92:5,U:115.02:5512899::,46:113.4:7153859:9.3:24,67:117.95:11851968:12.65:16,58:117.02:5747292:12.51:8,50:118.2:4473248:12.65:6
LOW_112219C106,2:111.64,2:109.53,2:111.28,11:111.61,16.0,16:112.62,16:112.2,16:112.67,30:112.6:2656212:7.7:6,36:114.0:2784216:7.95:4,40:114.45:2868889:7.95:0,40:114.32:4106036:7.95:0,40:112.85:4247189:7.95:0,45:114.54:2842024:7.95:0,45:115.52:3575352:7.95:0,45:115.02:5512899:10.24:14,59:113.4:7153859:8.29:61,108:117.95:11851968:11.6:31,94:117.02:5747292:10.8:1,93:118.2:4473248:11.26:1
LOW_112219C107,86:111.64,86:109.53,86:111.28,86:111.61,88.0,88:112.62,88:112.2,88:112.67,88:112.6:2656212:7.1:43,79:114.0:2784216:7.6:50,79:114.45:2868889:7.6:0,79:114.32:4106036:7.6:0,79:112.85:4247189:8.2:2,81:114.54:2842024:8.2:0,81:115.52:3575352:9.28:11,80:115.02:5512899:9.69:14,84:113.4:7153859:7.75:65,139:117.95:11851968:10.45:56,99:117.02:5747292:10.52:10,95:118.2:4473248:10.23:4
LOW_112219C108,45:111.64,52:109.53,52:111.28,52:111.61,52.0,52:112.62,49:112.2,49:112.67,49:112.6:2656212:6.6:0,49:114.0:2784216:6.65:1,49:114.45:2868889:6.65:0,49:114.32:4106036:6.65:0,49:112.85:4247189:7.05:5,52:114.54:2842024:7.05:0,52:115.52:3575352:8.37:41,93:115.02:5512899:8.8:10,92:113.4:7153859:7.2:97,171:117.95:11851968:10.3:34,153:117.02:5747292:9.37:2,153:118.2:4473248:9.9:60
LOW_112219C109,8:111.64,8:109.53,8:111.28,9:111.61,19.0,19:112.62,19:112.2,19:112.67,25:112.6:2656212:6.25:0,25:114.0:2784216:6.25:0,25:114.45:2868889:7.0:8,30:114.32:4106036:7.42:1,30:112.85:4247189:6.4:3,33:114.54:2842024:6.4:0,33:115.52:3575352:7.65:12,42:115.02:5512899:8.7:4,41:113.4:7153859:6.4:31,54:117.95:11851968:9.5:55,67:117.02:5747292:8.32:2,[65:118.2:4473248:8.32:0
LOW_112219C110,88:111.64,89:109.53,89:111.28,91:111.61,91.0,90:112.62,90:112.2,90:112.67,88:112.6:2656212:5.17:0,88:114.0:2784216:5.93:2,90:114.45:2868889:6.03:11,92:114.32:4106036:6.67:22,96:112.85:4247189:5.71:35,83:114.54:2842024:6.4:5,87:115.52:3575352:6.95:24,93:115.02:5512899:7.36:20,104:113.4:7153859:5.84:139,187:117.95:11851968:7.46:42,177:117.02:5747292:7.32:7,[176:118.2:4473248:7.45:35
LOW_112219C111,367:111.64,367:109.53,371:111.28,379:111.61,560.0,557:112.62,552:112.2,554:112.67,556:112.6:2656212:4.71:0,556:114.0:2784216:4.85:5,556:114.45:2868889:5.15:3,555:114.32:4106036:5.6:1,555:112.85:4247189:4.95:53,585:114.54:2842024:4.95:0,585:115.52:3575352:6.25:1,585:115.02:5512899:6.78:13,587:113.4:7153859:5.15:206,643:117.95:11851968:7.15:31,635:117.02:5747292:5.89:365,[417:118.2:4473248:6.5:7
LOW_112219C112,47:111.64,72:109.53,72:111.28,72:111.61,199.0,200:112.62,218:112.2,220:112.67,347:112.6:2656212:3.68:61,355:114.0:2784216:4.62:61,366:114.45:2868889:4.8:20,382:114.32:4106036:5.45:61,335:112.85:4247189:4.55:323,608:114.54:2842024:5.56:126,558:115.52:3575352:5.76:22,554:115.02:5512899:6.15:20,566:113.4:7153859:4.73:176,536:117.95:11851968:6.21:147,445:117.02:5747292:5.05:5,[442:118.2:4473248:5.41:29
LOW_112219C113,220:111.64,220:109.53,220:111.28,220:111.61,221.0,253:112.62,275:112.2,275:112.67,296:112.6:2656212:3.35:34,294:114.0:2784216:3.9:9,298:114.45:2868889:3.95:63,309:114.32:4106036:4.49:12,303:112.85:4247189:4.05:349,394:114.54:2842024:4.95:34,400:115.52:3575352:5.07:11,397:115.02:5512899:5.35:12,398:113.4:7153859:4.06:783,860:117.95:11851968:5.0:407,525:117.02:5747292:4.1:72,[516:118.2:4473248:4.9:97
LOW_112219C114,365:111.64,367:109.53,367:111.28,373:111.61,373.0,374:112.62,380:112.2,380:112.67,399:112.6:2656212:2.75:38,407:114.0:2784216:3.49:43,427:114.45:2868889:3.75:117,473:114.32:4106036:3.82:51,445:112.85:4247189:3.47:166,547:114.54:2842024:4.36:99,623:115.52:3575352:4.7:46,633:115.02:5512899:4.83:106,653:113.4:7153859:3.65:1462,1452:117.95:11851968:4.14:713,1087:117.02:5747292:3.07:43,[1061:118.2:4473248:4.0:363
LOW_112219C115,136:111.64,135:109.53,135:111.28,135:111.61,137.0,143:112.62,148:112.2,148:112.67,153:112.6:2656212:2.42:38,184:114.0:2784216:3.0:33,195:114.45:2868889:3.15:35,206:114.32:4106036:3.37:88,234:112.85:4247189:3.1:762,774:114.54:2842024:3.9:27,779:115.52:3575352:4.04:282,918:115.02:5512899:4.3:566,1011:113.4:7153859:3.15:1471,1298:117.95:11851968:3.25:567,1037:117.02:5747292:2.11:230,[1003:118.2:4473248:3.01:590
LOW_112219C116,22:111.64,27:109.53,17:111.28,27:111.61,27.0,41:112.62,201:112.2,204:112.67,299:112.6:2656212:2.02:69,308:114.0:2784216:2.5:62,315:114.45:2868889:2.64:8,317:114.32:4106036:3.15:54,328:112.85:4247189:2.71:2367,2336:114.54:2842024:3.4:50,2332:115.52:3575352:3.75:181,2343:115.02:5512899:3.85:911,2826:113.4:7153859:2.81:846,2842:117.95:11851968:2.36:627,2752:117.02:5747292:1.23:142,[2686:118.2:4473248:2.05:387
LOW_112219C117,19:111.64,21:109.53,21:111.28,25:111.61,25.0,25:112.62,25:112.2,25:112.67,26:112.6:2656212:1.77:20,46:114.0:2784216:2.09:19,61:114.45:2868889:2.28:5,66:114.32:4106036:2.65:21,77:112.85:4247189:2.29:169,209:114.54:2842024:2.9:8,214:115.52:3575352:3.25:175,361:115.02:5512899:3.45:917,1098:113.4:7153859:2.44:541,1328:117.95:11851968:1.6:337,1262:117.02:5747292:0.6:386,[1223:118.2:4473248:0.98:817
LOW_112219C118,23:111.64,29:109.53,29:111.28,34:111.61,35.0,72:112.62,73:112.2,73:112.67,81:112.6:2656212:1.37:12,90:114.0:2784216:1.75:22,97:114.45:2868889:1.89:62,143:114.32:4106036:2.09:18,154:112.85:4247189:2.01:600,554:114.54:2842024:2.44:23,546:115.52:3575352:2.59:625,893:115.02:5512899:3.07:698,1071:113.4:7153859:2.03:1010,1563:117.95:11851968:0.88:1370,1513:117.02:5747292:0.26:800,[1300:118.2:4473248:0.15:1587
LOW_112219C119,10:111.64,14:109.53,14:111.28,14:111.61,14.0,14:112.62,14:112.2,14:112.67,24:112.6:2656212:1.42:14,26:114.0:2784216:1.2:6,34:114.45:2868889:1.56:92,122:114.32:4106036:1.89:31,142:112.85:4247189:1.71:86,148:114.54:2842024:2.15:167,227:115.52:3575352:2.38:42,245:115.02:5512899:2.68:155,278:113.4:7153859:1.71:367,487:117.95:11851968:0.48:1645,744:117.02:5747292:0.1:533,[759:118.2:4473248:0.01:142
LOW_112219C120,90:111.64,107:109.53,107:111.28,107:111.61,107.0,108:112.62,113:112.2,116:112.67,127:112.6:2656212:0.95:16,130:114.0:2784216:1.12:53,151:114.45:2868889:1.29:95,169:114.32:4106036:1.39:87,216:112.85:4247189:1.4:196,307:114.54:2842024:1.86:158,377:115.52:3575352:2.06:112,475:115.02:5512899:2.33:2899,2083:113.4:7153859:1.44:2926,3655:117.95:11851968:0.3:4182,4068:117.02:5747292:0.06:2488,[4384:118.2:4473248:0.01:452
LOW_112219C121,0:111.64,1:109.53,1:111.28,1:111.61,1.0,1:112.62,1:112.2,1:112.67,21:112.6:2656212:0.88:10,21:114.0:2784216:0.75:3,21:114.45:2868889:0.99:9,23:114.32:4106036:1.26:38,42:112.85:4247189:1.2:16,53:114.54:2842024:1.46:2,54:115.52:3575352:1.77:39,81:115.02:5512899:2.03:194,234:113.4:7153859:1.24:888,778:117.95:11851968:0.16:1518,958:117.02:5747292:0.02:494,[651:118.2:4473248:0.01:54
LOW_112919C102,5:111.64,5:109.53,5:111.28,5:111.61,5.0,5:112.62,5:112.2,5:112.67,5:112.6:2656212:10.05:0,5:114.0:2784216:10.05:0,5:114.45:2868889:10.05:0,5:114.32:4106036:13.4:10,15:112.85:4247189:13.4:0,15:114.54:2842024:13.4:0,15:115.52:3575352:13.4:0,15:115.02:5512899:13.4:0,15:113.4:7153859:13.4:0,15:117.95:11851968:13.4:0,U:117.02:5747292:U:U,15:118.2:4473248:16.9:0
LOW_112919C103,4:111.64,4:109.53,4:111.28,4:111.61,4.0,4:112.62,4:112.2,4:112.67,4:112.6:2656212:10.26:0,4:114.0:2784216:10.26:0,4:114.45:2868889:10.26:0,4:114.32:4106036:10.26:0,4:112.85:4247189:10.26:0,4:114.54:2842024:10.26:0,4:115.52:3575352:10.26:0,4:115.02:5512899:10.26:0,4:113.4:7153859:10.26:0,4:117.95:11851968:16.75:3,4:117.02:5747292:16.75:0,4:118.2:4473248:16.75:0
LOW_112919C104,0:111.64,0:109.53,0:111.28,0:111.61,0.0,0:112.62,0:112.2,0:112.67,0:112.6:2656212:0.0:0,0:114.0:2784216:10.15:12,12:114.45:2868889:10.15:0,12:114.32:4106036:10.15:0,12:112.85:4247189:10.15:0,22:114.54:2842024:10.15:0,22:115.52:3575352:10.15:0,22:115.02:5512899:10.15:0,22:113.4:7153859:10.69:10,32:117.95:11851968:10.69:0,32:117.02:5747292:10.69:0,32:118.2:4473248:13.97:10
LOW_112919C105,1:111.64,1:109.53,1:111.28,1:111.61,1.0,1:112.62,1:112.2,1:112.67,1:112.6:2656212:8.7:0,1:114.0:2784216:9.3:6,6:114.45:2868889:9.3:0,6:114.32:4106036:10.75:10,16:112.85:4247189:10.75:0,16:114.54:2842024:10.75:0,16:115.52:3575352:10.97:3,17:115.02:5512899:10.97:0,17:113.4:7153859:10.97:0,17:117.95:11851968:10.97:0,17:117.02:5747292:13.95:10,17:118.2:4473248:12.7:5
LOW_112919C106,0:111.64,0:109.53,0:111.28,0:111.61,0.0,0:112.62,0:112.2,0:112.67,0:112.6:2656212:0.0:0,0:114.0:2784216:8.5:3,3:114.45:2868889:8.5:0,3:114.32:4106036:9.75:1,3:112.85:4247189:9.75:0,3:114.54:2842024:9.75:0,3:115.52:3575352:10.35:10,12:115.02:5512899:10.65:7,18:113.4:7153859:8.54:3,20:117.95:11851968:11.65:6,15:117.02:5747292:11.65:0,15:118.2:4473248:11.65:0
LOW_112919C107,0:111.64,0:109.53,0:111.28,0:111.61,0.0,0:112.62,0:112.2,0:112.67,0:112.6:2656212:0.0:0,0:114.0:2784216:0.0:0,0:114.45:2868889:0.0:0,0:114.32:4106036:9.3:1,1:112.85:4247189:9.3:0,1:114.54:2842024:9.3:0,1:115.52:3575352:9.35:5,5:115.02:5512899:9.35:0,5:113.4:7153859:7.99:18,23:117.95:11851968:7.99:0,U:117.02:5747292:U:U,26:118.2:4473248:10.75:3
LOW_112919C108,8:111.64,8:109.53,8:111.28,8:111.61,8.0,8:112.62,8:112.2,8:112.67,8:112.6:2656212:6.62:0,8:114.0:2784216:6.62:0,8:114.45:2868889:6.85:5,8:114.32:4106036:6.85:0,8:112.85:4247189:6.85:0,8:114.54:2842024:7.22:5,8:115.52:3575352:8.65:5,12:115.02:5512899:9.95:12,19:113.4:7153859:7.48:38,43:117.95:11851968:9.65:24,35:117.02:5747292:9.17:5,34:118.2:4473248:9.17:0
