Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LOW_112219P102,117:111.64,117:109.53,117:111.28,118:111.61,118.0,118:112.62,261:112.2,261:112.67,261:112.6:2656212:0.69:0,261:114.0:2784216:0.69:0,261:114.45:2868889:0.54:1,261:114.32:4106036:0.45:8,263:112.85:4247189:0.88:56,304:114.54:2842024:0.56:28,328:115.52:3575352:0.46:18,U:115.02:5512899::,369:113.4:7153859:0.45:1194,1092:117.99:11856552:0.01:198,1026:117.02:5747292:0.01:24,1015:118.2:4473248:0.01:100
LOW_112219P103,135:111.64,135:109.53,135:111.28,136:111.61,191.0,191:112.62,192:112.2,193:112.67,252:112.6:2656212:0.61:11,263:114.0:2784216:0.61:0,263:114.45:2868889:0.65:1,263:114.32:4106036:0.51:2,263:112.85:4247189:1.0:8,271:114.54:2842024:0.66:4,274:115.52:3575352:0.55:664,759:115.02:5512899:0.55:156,817:113.4:7153859:0.55:1244,1304:117.99:11856552:0.01:847,1191:117.02:5747292:0.01:55,1191:118.2:4473248:0.01:0
LOW_112219P104,61:111.64,61:109.53,65:111.28,67:111.61,67.0,67:112.62,67:112.2,67:112.67,68:112.6:2656212:0.85:1,69:114.0:2784216:0.85:0,69:114.45:2868889:0.85:0,69:114.32:4106036:0.68:1,69:112.85:4247189:1.2:22,86:114.54:2842024:0.83:18,98:115.52:3575352:0.61:25,115:115.02:5512899:0.67:440,416:113.4:7153859:0.7:827,862:117.99:11856552:0.01:613,700:117.02:5747292:0.01:7,696:118.2:4473248:0.02:1
LOW_112219P105,180:111.64,193:109.53,193:111.28,191:111.61,191.0,190:112.62,191:112.2,190:112.67,197:112.6:2656212:1.04:39,174:114.0:2784216:0.81:14,176:114.45:2868889:0.8:32,182:114.32:4106036:0.83:25,193:112.85:4247189:1.31:666,618:114.54:2842024:0.99:45,647:115.52:3575352:0.8:22,U:115.02:5512899::,957:113.4:7153859:0.88:1905,1957:117.99:11856552:0.01:683,1716:117.02:5747292:0.01:85,1653:118.2:4473248:0.01:9
LOW_112219P106,81:111.64,81:109.53,81:111.28,81:111.61,81.0,81:112.62,153:112.2,153:112.67,150:112.6:2656212:1.23:62,180:114.0:2784216:0.98:27,202:114.45:2868889:1.1:8,210:114.32:4106036:0.91:18,223:112.85:4247189:1.65:125,269:114.54:2842024:1.12:12,277:115.52:3575352:0.93:31,285:115.02:5512899:1.01:425,512:113.4:7153859:1.13:1447,1287:117.99:11856552:0.02:728,845:117.02:5747292:0.01:46,818:118.2:4473248:0.01:10
LOW_112219P107,312:111.64,312:109.53,313:111.28,313:111.61,313.0,310:112.62,312:112.2,312:112.67,317:112.6:2656212:1.53:27,326:114.0:2784216:1.14:23,335:114.45:2868889:1.23:14,338:114.32:4106036:1.06:157,396:112.85:4247189:1.88:23,403:114.54:2842024:1.43:39,412:115.52:3575352:1.11:42,430:115.02:5512899:1.21:403,761:113.4:7153859:1.35:4034,3341:117.99:11856552:0.01:411,3250:117.02:5747292:0.02:68,3223:118.2:4473248:0.01:2
LOW_112219P108,22:111.64,22:109.53,37:111.28,37:111.61,37.0,40:112.62,45:112.2,46:112.67,47:112.6:2656212:1.73:46,52:114.0:2784216:1.35:13,59:114.45:2868889:1.43:77,124:114.32:4106036:1.38:29,132:112.85:4247189:2.09:80,118:114.54:2842024:1.57:24,123:115.52:3575352:1.28:59,U:115.02:5512899::,322:113.4:7153859:1.67:1073,1028:117.99:11856552:0.02:755,505:117.02:5747292:0.02:29,494:118.2:4473248:0.01:30
LOW_112219P109,7:111.64,7:109.53,7:111.28,7:111.61,7.0,7:112.62,12:112.2,12:112.67,14:112.6:2656212:2.01:12,26:114.0:2784216:1.64:10,34:114.45:2868889:1.77:6,38:114.32:4106036:1.62:50,79:112.85:4247189:2.48:31,92:114.54:2842024:1.82:51,119:115.52:3575352:1.55:55,U:115.02:5512899::,230:113.4:7153859:1.95:833,690:117.99:11856552:0.02:535,600:117.02:5747292:0.01:45,[596:118.2:4473248:0.01:11
LOW_112219P110,10:111.64,34:109.53,36:111.28,39:111.61,261.0,262:112.62,276:112.2,271:112.67,285:112.6:2656212:2.42:52,314:114.0:2784216:1.89:82,366:114.45:2868889:1.87:37,374:114.32:4106036:1.91:68,424:112.85:4247189:2.83:374,695:114.54:2842024:2.1:32,709:115.52:3575352:1.87:120,800:115.02:5512899:2.07:485,1034:113.4:7153859:2.34:1977,1612:117.99:11856552:0.03:1062,1390:117.02:5747292:0.01:131,[1356:118.2:4473248:0.02:28
LOW_112219P111,24:111.64,43:109.53,43:111.28,43:111.61,50.0,50:112.62,91:112.2,91:112.67,95:112.6:2656212:2.68:16,102:114.0:2784216:2.22:30,128:114.45:2868889:2.3:12,135:114.32:4106036:1.91:9,144:112.85:4247189:3.35:33,154:114.54:2842024:2.59:4,156:115.52:3575352:2.27:4,157:115.02:5512899:2.39:179,289:113.4:7153859:2.72:462,622:117.99:11856552:0.06:268,556:117.02:5747292:0.03:21,[546:118.2:4473248:0.02:1
