Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LRCX_112219C247.5,6:281.25,6:276.49,6:277.56,6:271.04,6.0,6:278.1,6:277.95,6:275.51,6:274.11:1106694:5.55:0,6:272.68:1360741:5.55:0,6:271.26:1176562:5.55:0,6:270.01:1105182:22.55:1,6:272.46:860157:22.55:0,6:275.09:1196055:22.55:0,6:283.68:2115172:22.55:0,6:282.7:1366219:22.55:0,6:276.76:1365409:22.55:0,6:274.47:849426:22.55:0,6:263.9:2387326:16.35:7,[6:261.98:1273570:14.59:1
LRCX_112219C250,967:281.25,266:276.49,266:277.56,266:271.04,269.0,269:278.1,269:277.95,269:275.51,269:274.11:1106694:23.7:0,269:272.68:1360741:23.7:0,269:271.26:1176562:23.7:0,269:270.01:1105182:25.22:1,269:272.46:860157:25.22:0,269:275.09:1196055:25.22:0,269:283.68:2115172:33.67:7,274:282.7:1366219:32.3:3,:276.76:1365409:U:U,272:274.47:849426:23.25:9,270:263.9:2387326:14.53:71,[293:261.98:1273570:12.02:12
LRCX_112219C252.5,4:281.25,13:276.49,14:277.56,14:271.04,14.0,14:278.1,14:277.95,14:275.51,13:274.11:1106694:22.1:0,13:272.68:1360741:22.1:0,13:271.26:1176562:22.1:0,13:270.01:1105182:22.1:0,13:272.46:860157:22.1:0,13:275.09:1196055:22.8:1,13:283.68:2115172:32.86:1,13:282.7:1366219:32.86:0,13:276.76:1365409:29.0:1,12:274.47:849426:29.0:0,12:263.9:2387326:14.6:6,[14:261.98:1273570:10.75:1
LRCX_112219C255,35:281.25,45:276.49,45:277.56,45:271.04,45.0,44:278.1,44:277.95,44:275.51,44:274.11:1106694:20.3:0,44:272.68:1360741:20.3:0,44:271.26:1176562:17.55:1,43:270.01:1105182:15.4:1,44:272.46:860157:15.4:0,44:275.09:1196055:19.05:1,43:283.68:2115172:19.05:0,43:282.7:1366219:26.82:20,43:276.76:1365409:26.82:0,43:274.47:849426:16.42:40,23:263.9:2387326:9.55:3,[26:261.98:1273570:7.2:17
LRCX_112219C257.5,10:281.25,10:276.49,10:277.56,10:271.04,10.0,20:278.1,20:277.95,20:275.51,20:274.11:1106694:19.44:0,20:272.68:1360741:19.44:0,20:271.26:1176562:19.44:0,20:270.01:1105182:19.44:0,20:272.46:860157:19.44:0,20:275.09:1196055:19.44:0,20:283.68:2115172:27.87:1,U:282.7:1366219::,29:276.76:1365409:24.38:0,29:274.47:849426:13.98:20,16:263.9:2387326:7.2:12,[12:261.98:1273570:4.54:5
LRCX_112219C260,23:281.25,26:276.49,26:277.56,26:271.04,26.0,26:278.1,26:277.95,26:275.51,26:274.11:1106694:14.8:0,26:272.68:1360741:14.8:0,26:271.26:1176562:14.8:0,26:270.01:1105182:14.8:0,26:272.46:860157:11.5:2,28:275.09:1196055:15.75:10,38:283.68:2115172:23.09:7,43:282.7:1366219:22.28:2,43:276.76:1365409:22.28:0,43:274.47:849426:22.28:0,43:263.9:2387326:5.0:71,[60:261.98:1273570:2.1:207
LRCX_112219C265,20:281.25,28:276.49,28:277.56,28:271.04,28.0,29:278.1,29:277.95,31:275.51,31:274.11:1106694:16.75:0,31:272.68:1360741:16.75:0,31:271.26:1176562:16.75:0,31:270.01:1105182:10.47:1,31:272.46:860157:8.73:2,33:275.09:1196055:11.42:20,53:283.68:2115172:17.85:3,52:282.7:1366219:19.39:2,52:276.76:1365409:14.1:1,52:274.47:849426:8.98:1,52:263.9:2387326:1.57:319,[192:261.98:1273570:0.02:94
LRCX_112219C270,26:281.25,83:276.49,83:277.56,83:271.04,83.0,83:278.1,85:277.95,86:275.51,88:274.11:1106694:9.27:1,89:272.68:1360741:9.27:0,89:271.26:1176562:6.58:14,103:270.01:1105182:5.4:147,141:272.46:860157:5.64:11,143:275.09:1196055:7.65:36,157:283.68:2115172:15.5:28,161:282.7:1366219:14.64:22,153:276.76:1365409:8.65:30,161:274.47:849426:5.5:58,168:263.9:2387326:0.28:471,[374:261.98:1273570:0.01:25
LRCX_112219C275,18:281.25,29:276.49,29:277.56,33:271.04,36.0,35:278.1,35:277.95,40:275.51,48:274.11:1106694:6.15:10,58:272.68:1360741:4.3:13,66:271.26:1176562:4.15:16,81:270.01:1105182:3.05:54,102:272.46:860157:3.9:52,97:275.09:1196055:5.3:233,225:283.68:2115172:10.2:123,224:282.7:1366219:11.5:27,217:276.76:1365409:4.25:33,212:274.47:849426:2.23:194,243:263.9:2387326:0.03:121,[240:261.98:1273570:0.02:3
LRCX_112219C280,36:281.25,36:276.49,37:277.56,37:271.04,42.0,54:278.1,59:277.95,59:275.51,69:274.11:1106694:3.7:23,74:272.68:1360741:2.53:30,95:271.26:1176562:2.14:12,98:270.01:1105182:1.55:55,125:272.46:860157:2.0:269,320:275.09:1196055:2.93:228,264:283.68:2115172:6.65:939,584:282.7:1366219:4.94:43,582:276.76:1365409:1.63:171,640:274.47:849426:0.76:346,682:263.9:2387326:0.02:68,[661:261.98:1273570:0.17:1
