Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LRCX_112219P247.5,12:281.25,17:276.49,42:277.56,42:271.04,42.0,42:278.1,42:277.95,47:275.51,46:274.11:1106694:0.44:20,64:272.68:1360741:0.59:10,74:271.26:1176562:0.59:0,74:270.01:1105182:0.59:0,74:272.46:860157:0.59:0,74:275.09:1196055:0.59:0,74:283.68:2115172:0.59:0,74:282.7:1366219:0.04:6,72:276.76:1365414:0.04:0,72:274.47:849511:0.04:0,72:263.9:2387326:0.06:11,[62:261.98:1273570:0.06:0
LRCX_112219P250,14:281.25,21:276.49,18:277.56,18:271.04,19.0,19:278.1,19:277.95,24:275.51,53:274.11:1106694:0.55:2,55:272.68:1360741:0.63:5,59:271.26:1176562:0.48:12,67:270.01:1105182:0.48:0,67:272.46:860157:0.38:3,70:275.09:1196055:0.22:63,125:283.68:2115172:0.05:46,125:282.7:1366219:0.02:18,137:276.76:1365414:0.02:3,135:274.47:849511:0.02:0,135:263.9:2387326:0.04:91,[149:261.98:1273570:0.01:13
LRCX_112219P252.5,14:281.25,20:276.49,20:277.56,20:271.04,20.0,20:278.1,42:277.95,42:275.51,46:274.11:1106694:0.88:0,46:272.68:1360741:1.1:1,46:271.26:1176562:1.1:0,46:270.01:1105182:0.64:7,53:272.46:860157:0.64:0,53:275.09:1196055:0.31:21,69:283.68:2115172:0.07:35,83:282.7:1366219:0.04:3,83:276.76:1365414:0.04:0,83:274.47:849511:0.04:0,83:263.9:2387326:0.08:65,[98:261.98:1273570:0.02:40
LRCX_112219P255,12:281.25,22:276.49,22:277.56,22:271.04,23.0,23:278.1,21:277.95,20:275.51,24:274.11:1106694:1.07:8,28:272.68:1360741:1.17:5,29:271.26:1176562:0.9:4,33:270.01:1105182:0.91:4,36:272.46:860157:0.77:86,111:275.09:1196055:0.4:1,111:283.68:2115172:0.05:5,108:282.7:1366219:0.03:10,112:276.76:1365414:0.03:0,112:274.47:849511:0.03:0,112:263.9:2387326:0.2:490,[290:261.98:1273570:0.02:107
LRCX_112219P257.5,11:281.25,7:276.49,8:277.56,8:271.04,8.0,10:278.1,13:277.95,13:275.51,9:274.11:1106694:1.38:5,13:272.68:1360741:1.76:11,22:271.26:1176562:1.76:0,22:270.01:1105182:1.76:0,22:272.46:860157:1.02:4,25:275.09:1196055:0.64:9,25:283.68:2115172:0.09:4,26:282.7:1366219:0.02:21,43:276.76:1365414:0.05:19,62:274.47:849511:0.05:0,70:263.9:2387326:0.39:227,[184:261.98:1273570:0.03:60
LRCX_112219P260,3:281.25,37:276.49,37:277.56,38:271.04,36.0,79:278.1,78:277.95,83:275.51,83:274.11:1106694:1.63:20,89:272.68:1360741:2.18:13,91:271.26:1176562:1.7:248,319:270.01:1105182:1.52:3,320:272.46:860157:1.25:14,320:275.09:1196055:0.89:60,325:283.68:2115172:0.21:133,412:282.7:1366219:0.07:131,493:276.76:1365414:0.04:102,454:274.47:849511:0.49:116,430:263.9:2387326:0.73:582,[661:261.98:1273570:0.02:1179
LRCX_112219P265,17:281.25,48:276.49,49:277.56,51:271.04,36.0,39:278.1,39:277.95,39:275.51,59:274.11:1106694:3.2:3,57:272.68:1360741:3.88:4,60:271.26:1176562:3.05:4,61:270.01:1105182:3.15:18,58:272.46:860157:2.3:33,66:275.09:1196055:1.56:26,75:283.68:2115172:0.48:194,241:282.7:1366219:0.17:74,280:276.76:1365414:0.22:18,298:274.47:849511:0.53:531,460:263.9:2387326:2.62:319,[499:261.98:1273570:2.73:351
LRCX_112219P270,4:281.25,21:276.49,29:277.56,26:271.04,32.0,32:278.1,36:277.95,314:275.51,501:274.11:1106694:5.0:123,591:272.68:1360741:4.75:32,598:271.26:1176562:4.75:25,606:270.01:1105182:5.09:235,604:272.46:860157:3.95:714,407:275.09:1196055:2.95:158,373:283.68:2115172:0.98:429,U:282.7:1366219::,761:276.76:1365414:0.77:311,930:274.47:849511:1.24:491,1022:263.9:2387326:6.15:359,[910:261.98:1273570:7.75:484
LRCX_112219P275,0:281.25,62:276.49,67:277.56,67:271.04,67.0,78:278.1,89:277.95,88:275.51,88:274.11:1106694:6.05:23,88:272.68:1360741:7.2:20,79:271.26:1176562:8.0:5,79:270.01:1105182:7.3:26,76:272.46:860157:6.55:30,67:275.09:1196055:4.65:18,76:283.68:2115172:2.0:260,U:282.7:1366219::,327:276.76:1365414:2.26:264,256:274.47:849511:3.91:70,240:263.9:2387326:10.95:127,[143:261.98:1273570:13.35:65
LRCX_112219P280,0:281.25,89:276.49,103:277.56,102:271.04,84.0,82:278.1,82:277.95,92:275.51,91:274.11:1106694:12.4:0,91:272.68:1360741:12.4:0,91:271.26:1176562:10.0:11,80:270.01:1105182:10.0:0,80:272.46:860157:9.5:2,82:275.09:1196055:8.2:1,83:283.68:2115172:3.22:484,356:282.7:1366219:2.7:135,378:276.76:1365414:4.93:390,309:274.47:849511:6.36:75,313:263.9:2387326:16.15:30,[210:261.98:1273570:17.66:25
