Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LYFT_112219C38.5,33:43.23:4860952:4.6:3,33:42.97:3843033:4.3:1,34:42.33:4275770:4.3:0,34:43.3:3993164:4.3:0,34:41.92:8868422:4.3:0,34:43.04:7367330:4.3:0,U:44.86:9068778::,34:44.15:3751946:4.3:0,34:43.805:5976349:4.3:0,34:46.76:10832019:8.0:2,32:46.46:6353382:8.0:0
LYFT_112219C39,12:43.23:4860952:4.2:3,15:42.97:3843033:4.2:4,18:42.33:4275770:3.7:24,42:43.3:3993164:3.5:4,42:41.92:8868422:3.21:3,44:43.04:7367330:4.1:9,U:44.86:9068778::,36:44.15:3751946:5.1:1,35:43.805:5976349:4.8:52,60:46.76:10832019:4.8:0,60:46.46:6353382:4.8:0
LYFT_112219C39.5,23:43.23:4860952:3.7:10,23:42.97:3843033:3.4:11,34:42.33:4275770:3.4:0,34:43.3:3993164:3.4:0,34:41.92:8868422:3.3:6,40:43.04:7367330:4.4:1,U:44.86:9068778::,41:44.15:3751946:4.8:35,76:43.805:5976349:4.05:1,77:46.76:10832019:4.05:0,77:46.46:6353382:4.05:0
LYFT_112219C40,55:43.23:4860952:3.36:24,53:42.97:3843033:2.92:42,72:42.33:4275770:2.75:12,74:43.3:3993164:3.3:21,72:41.92:8868422:2.44:12,73:43.04:7367330:3.4:4,71:44.86:9068778:5.0:25,91:44.15:3751946:4.37:1,90:43.805:5976349:4.37:0,U:46.76:10832019:U:U,98:46.46:6353382:6.34:8
LYFT_112219C40.5,148:43.23:4860952:3.1:10,154:42.97:3843033:2.8:3,154:42.33:4275770:2.8:0,154:43.3:3993164:3.1:1,153:41.92:8868422:2.07:27,150:43.04:7367330:2.74:19,143:44.86:9068778:2.94:11,136:44.15:3751946:3.75:6,138:43.805:5976349:3.85:10,140:46.76:10832019:6.2:3,141:46.46:6353382:6.1:16
LYFT_112219C41,97:43.23:4860952:2.73:10,100:42.97:3843033:2.24:50,125:42.33:4275770:2.5:3,124:43.3:3993164:2.5:0,124:41.92:8868422:1.66:122,119:43.04:7367330:2.31:167,209:44.86:9068778:3.9:201,163:44.15:3751946:3.2:27,146:43.805:5976349:3.0:34,U:46.76:10832019:U:U,154:46.46:6353382:5.5:15
LYFT_112219C41.5,153:43.23:4860952:2.21:5,155:42.97:3843033:1.6:28,153:42.33:4275770:1.92:2,154:43.3:3993164:1.92:0,154:41.92:8868422:1.49:265,308:43.04:7367330:1.97:263,267:44.86:9068778:3.6:115,331:44.15:3751946:2.81:27,346:43.805:5976349:2.62:17,U:46.76:10832019:U:U,[338:46.46:6353382:5.29:9
LYFT_112219C42,166:43.23:4860952:2.01:15,180:42.97:3843033:1.56:23,183:42.33:4275770:2.0:20,177:43.3:3993164:2.0:0,177:41.92:8868422:1.04:488,315:43.04:7367330:1.66:2431,1964:44.86:9068778:2.8:401,1941:44.15:3751946:2.3:70,1966:43.805:5976349:1.95:618,1946:46.76:10832019:4.7:1592,[1347:46.46:6353382:4.47:412
LYFT_112219C42.5,521:43.23:4860952:1.74:22,505:42.97:3843033:1.54:61,507:42.33:4275770:1.16:79,536:43.3:3993164:1.4:14,533:41.92:8868422:0.75:116,575:43.04:7367330:1.28:1136,677:44.86:9068778:2.36:205,766:44.15:3751946:1.89:100,777:43.805:5976349:1.73:532,782:46.76:10832019:3.99:86,[698:46.46:6353382:4.55:11
LYFT_112219C43,145:43.23:4860952:1.52:114,209:42.97:3843033:1.2:19,214:42.33:4275770:0.97:200,280:43.3:3993164:1.27:156,279:41.92:8868422:0.63:656,553:43.04:7367330:1.0:1993,1278:44.86:9068778:2.27:960,1308:44.15:3751946:1.55:431,1250:43.805:5976349:1.16:276,1297:46.76:10832019:3.69:961,[1191:46.46:6353382:3.42:176
