Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
LYFT_112219P38.5,52:43.23:4860952:0.33:0,52:42.97:3843033:0.18:3,53:42.33:4275770:0.17:32,43:43.3:3993164:0.1:12,53:41.92:8868422:0.24:43,73:43.04:7367330:0.06:30,57:44.86:9068778:0.03:1,:44.15:3751946:U:U,56:43.805:5976349:0.02:0,56:46.76:10832019:0.02:0,56:0:0:0.02:0
LYFT_112219P39,49:43.23:4860952:0.32:3,50:42.97:3843033:0.29:12,60:42.33:4275770:0.26:13,71:43.3:3993164:0.22:2,71:41.92:8868422:0.31:44,100:43.04:7367330:0.1:24,95:44.86:9068778:0.02:34,:44.15:3751946:U:U,U:43.805:5976349:U:U,92:46.76:10832019:0.01:0,92:0:0:0.01:1
LYFT_112219P39.5,44:43.23:4860952:0.57:0,44:42.97:3843033:0.57:0,44:42.33:4275770:0.28:26,68:43.3:3993164:0.17:4,69:41.92:8868422:0.38:81,145:43.04:7367330:0.14:71,109:44.86:9068778:0.03:14,104:44.15:3751946:0.02:2,104:43.805:5976349:0.02:1,104:46.76:10832019:0.01:1,103:0:0:0.01:0
LYFT_112219P40,138:43.23:4860952:0.41:63,192:42.97:3843033:0.36:62,189:42.33:4275770:0.45:35,214:43.3:3993164:0.22:34,217:41.92:8868422:0.53:494,495:43.04:7367330:0.18:138,468:44.86:9068778:0.03:121,514:44.15:3751946:0.03:4,512:43.805:5976349:0.02:12,509:46.76:10832019:0.01:55,479:0:0:0.01:51
LYFT_112219P40.5,27:43.23:4860952:0.57:3,30:42.97:3843033:0.45:122,132:42.33:4275770:0.56:7,134:43.3:3993164:0.28:44,175:41.92:8868422:0.72:19,182:43.04:7367330:0.17:29,178:44.86:9068778:0.04:87,213:44.15:3751946:0.04:54,222:43.805:5976349:0.08:46,222:46.76:10832019:0.03:69,189:0:0:0.01:38
LYFT_112219P41,76:43.23:4860952:0.61:1,76:42.97:3843033:0.57:32,88:42.33:4275770:0.58:1,88:43.3:3993164:0.37:102,187:41.92:8868422:0.85:292,236:43.04:7367330:0.35:64,248:44.86:9068778:0.05:50,237:44.15:3751946:0.06:528,640:43.805:5976349:0.05:119,677:46.76:10832019:0.01:178,701:0:0:0.02:38
LYFT_112219P41.5,311:43.23:4860952:0.86:0,311:42.97:3843033:1.08:62,342:42.33:4275770:0.86:22,364:43.3:3993164:0.5:9,364:41.92:8868422:0.92:52,375:43.04:7367330:0.43:423,U:44.86:9068778::,591:44.15:3751946:0.09:6,593:43.805:5976349:0.15:88,601:46.76:10832019:0.01:76,609:0:0:0.01:0
LYFT_112219P42,178:43.23:4860952:0.93:12,178:42.97:3843033:0.88:139,262:42.33:4275770:1.03:29,270:43.3:3993164:0.62:126,321:41.92:8868422:1.23:227,422:43.04:7367330:0.57:597,666:44.86:9068778:0.13:541,573:44.15:3751946:0.15:70,599:43.805:5976349:0.17:194,614:46.76:10832019:0.02:45,591:0:0:0.01:15
LYFT_112219P42.5,23:43.23:4860952:1.38:17,30:42.97:3843033:1.06:57,81:42.33:4275770:1.17:80,97:43.3:3993164:0.96:22,103:41.92:8868422:1.63:40,102:43.04:7367330:0.75:221,206:44.86:9068778:0.17:454,545:44.15:3751946:0.24:149,U:43.805:5976349:U:U,836:46.76:10832019:0.02:60,795:0:0:0.01:51
LYFT_112219P43,85:43.23:4860952:1.33:21,78:42.97:3843033:1.28:25,85:42.33:4275770:1.4:100,123:43.3:3993164:1.02:137,239:41.92:8868422:1.91:92,254:43.04:7367330:0.96:607,U:44.86:9068778::,727:44.15:3751946:0.34:352,U:43.805:5976349:.:U,1016:46.76:10832019:0.02:173,1043:0:0:0.03:3
LYFT_112219P43.5,16:43.23:4860952:1.81:3,16:42.97:3843033:2.3:6,18:42.33:4275770:1.69:14,19:43.3:3993164:1.15:13,30:41.92:8868422:2.12:26,43:43.04:7367330:1.22:155,U:44.86:9068778::,272:44.15:3751946:0.51:175,348:43.805:5976349:0.62:146,365:46.76:10832019:0.02:65,345:0:0:0.01:3
LYFT_112219P44,36:43.23:4860952:2.0:2,38:42.97:3843033:2.51:19,42:42.33:4275770:2.09:2941,421:43.3:3993164:1.57:70,412:41.92:8868422:2.49:72,427:43.04:7367330:1.55:73,U:44.86:9068778::,652:44.15:3751946:0.7:365,665:43.805:5976349:0.67:653,862:46.76:10832019:0.03:624,530:0:0:0.01:14
LYFT_112219P44.5,17:43.23:4860952:2.76:0,17:42.97:3843033:2.49:1,18:42.33:4275770:2.25:17,33:43.3:3993164:2.0:7,33:41.92:8868422:2.77:12,25:43.04:7367330:2.05:23,32:44.86:9068778:0.74:1075,389:44.15:3751946:0.9:319,U:43.805:5976349:U:U,373:46.76:10832019:0.03:186,377:0:0:0.01:12
