Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
MCD_112219C165,0:191.78,0:192.62,0:196.89,0:196.7,0.0,0:188.66,0:192.18,0:194.18,0:193.08:4819712:30.7:0,0:193.61:3494627:30.7:0,0:192.64:2735188:30.7:0,0:193.28:2884363:30.7:0,0:195.0:3404937:30.7:0,0:194.0:3166085:30.7:0,0:193.97:2976490:30.7:0,0:194.28:3421469:30.7:0,0:193.44:2910495:30.7:0,0:194.2:2092267:30.7:0,0:192.35:3506185:30.7:0,0:193.14:2417604:30.7:0
MCD_112219C170,0:191.78,0:192.62,0:196.89,0:196.7,0.0,100:188.66,118:192.18,118:194.18,119:193.08:4819712:24.66:0,119:193.61:3494627:24.66:0,119:192.64:2735188:24.66:0,119:193.28:2884363:24.66:0,119:195.0:3404937:25.0:50,119:194.0:3166085:25.0:0,119:193.97:2976490:25.0:0,119:194.28:3421469:25.3:50,75:193.44:2910495:23.9:20,85:194.2:2092267:23.9:0,85:192.35:3506185:23.9:0,[85:193.14:2417604:22.65:1
MCD_112219C175,0:191.78,3:192.62,3:196.89,5:196.7,5.0,5:188.66,5:192.18,6:194.18,6:193.08:4819712:16.1:0,5:193.61:3494627:16.1:0,5:192.64:2735188:16.1:0,5:193.28:2884363:16.1:0,5:195.0:3404937:16.1:0,5:194.0:3166085:20.45:3,3:193.97:2976490:18.7:1,2:194.28:3421469:20.2:1,2:193.44:2910495:20.2:0,2:194.2:2092267:20.2:0,2:192.35:3506185:20.2:0,[2:193.14:2417604:20.2:0
MCD_112219C177.5,0:191.78,0:192.62,0:196.89,0:196.7,0.0,0:188.66,2:192.18,2:194.18,2:193.08:4819712:13.96:0,2:193.61:3494627:13.96:0,2:192.64:2735188:13.96:0,2:193.28:2884363:13.96:0,2:195.0:3404937:13.96:0,2:194.0:3166085:13.96:0,2:193.97:2976490:13.96:0,2:194.28:3421469:13.96:0,2:193.44:2910495:13.96:0,2:194.2:2092267:13.96:0,2:192.35:3506185:13.96:0,[2:193.14:2417604:13.96:0
MCD_112219C180,0:191.78,0:192.62,2:196.89,2:196.7,2.0,2:188.66,4:192.18,7:194.18,7:193.08:4819712:13.2:10,16:193.61:3494627:13.2:0,16:192.64:2735188:13.2:0,16:193.28:2884363:13.2:0,16:195.0:3404937:14.3:10,16:194.0:3166085:14.3:0,16:193.97:2976490:13.87:21,37:194.28:3421469:13.87:0,37:193.44:2910495:13.87:0,37:194.2:2092267:13.87:0,37:192.35:3506185:13.87:0,[37:193.14:2417604:13.15:21
MCD_112219C182.5,0:191.78,0:192.62,0:196.89,0:196.7,0.0,0:188.66,17:192.18,16:194.18,16:193.08:4819712:10.45:4,18:193.61:3494627:11.36:104,118:192.64:2735188:11.36:0,118:193.28:2884363:11.36:0,118:195.0:3404937:11.36:0,118:194.0:3166085:11.35:2,119:193.97:2976490:11.35:0,119:194.28:3421469:11.35:0,119:193.44:2910495:11.35:0,119:194.2:2092267:11.85:10,129:192.35:3506185:11.85:0,[129:193.14:2417604:10.4:100
MCD_112219C185,0:191.78,0:192.62,0:196.89,0:196.7,0.0,0:188.66,107:192.18,127:194.18,126:193.08:4819712:9.75:0,126:193.61:3494627:9.16:15,141:192.64:2735188:9.5:4,141:193.28:2884363:8.7:4,144:195.0:3404937:10.09:12,152:194.0:3166085:8.79:30,152:193.97:2976490:8.99:28,159:194.28:3421469:9.52:45,170:193.44:2910495:9.52:0,170:194.2:2092267:9.54:11,169:192.35:3506185:7.75:6,[164:193.14:2417604:7.7:37
MCD_112219C187.5,6:191.78,29:192.62,60:196.89,85:196.7,95.0,174:188.66,539:192.18,544:194.18,521:193.08:4819712:6.25:148,519:193.61:3494627:6.45:25,518:192.64:2735188:5.72:11,521:193.28:2884363:6.0:212,501:195.0:3404937:7.5:9,503:194.0:3166085:6.59:11,501:193.97:2976490:6.57:11,501:194.28:3421469:6.9:59,483:193.44:2910495:6.52:20,487:194.2:2092267:7.25:8,486:192.35:3506185:5.72:2,[485:193.14:2417604:5.45:77
MCD_112219C190,6:191.78,70:192.62,71:196.89,64:196.7,64.0,69:188.66,487:192.18,468:194.18,453:193.08:4819712:4.3:62,445:193.61:3494627:4.7:32,442:192.64:2735188:3.75:57,468:193.28:2884363:4.13:49,437:195.0:3404937:5.3:387,511:194.0:3166085:4.52:54,484:193.97:2976490:4.05:280,401:194.28:3421469:4.5:163,281:193.44:2910495:4.2:121,316:194.2:2092267:4.25:160,324:192.35:3506185:2.4:210,[361:193.14:2417604:2.94:353
MCD_112219C192.5,7:191.78,207:192.62,203:196.89,218:196.7,219.0,226:188.66,281:192.18,351:194.18,371:193.08:4819712:2.85:218,387:193.61:3494627:2.92:110,388:192.64:2735188:2.24:609,700:193.28:2884363:2.38:251,724:195.0:3404937:3.45:167,709:194.0:3166085:2.79:239,824:193.97:2976490:2.32:312,960:194.28:3421469:2.46:388,892:193.44:2910495:1.71:182,950:194.2:2092267:2.04:199,889:192.35:3506185:0.69:1706,[1307:193.14:2417604:0.55:962
MCD_112219C195,25:191.78,129:192.62,150:196.89,190:196.7,185.0,194:188.66,306:192.18,428:194.18,426:193.08:4819712:1.59:411,502:193.61:3494627:1.68:284,535:192.64:2735188:1.12:237,567:193.28:2884363:1.2:642,748:195.0:3404937:1.83:704,861:194.0:3166085:1.31:564,1020:193.97:2976490:0.92:1200,1390:194.28:3421469:0.99:2362,2163:193.44:2910495:0.47:1401,2244:194.2:2092267:0.55:3157,2672:192.35:3506185:0.07:2138,[3078:193.14:2417604:0.01:771
MCD_112219C197.5,71:191.78,156:192.62,188:196.89,185:196.7,190.0,219:188.66,461:192.18,684:194.18,774:193.08:4819712:0.82:510,929:193.61:3494627:0.84:109,959:192.64:2735188:0.53:245,1044:193.28:2884363:0.5:656,1423:195.0:3404937:0.83:654,1574:194.0:3166085:0.5:781,1810:193.97:2976490:0.28:1170,1989:194.28:3421469:0.31:2312,2551:193.44:2910495:0.1:781,2428:194.2:2092267:0.1:765,2671:192.35:3506185:0.01:446,[2502:193.14:2417604:0.01:308
MCD_112219C200,107:191.78,284:192.62,310:196.89,267:196.7,289.0,318:188.66,605:192.18,702:194.18,821:193.08:4819712:0.42:129,827:193.61:3494627:0.41:472,1035:192.64:2735188:0.24:428,1097:193.28:2884363:0.19:190,1129:195.0:3404937:0.31:674,1355:194.0:3166085:0.18:875,1674:193.97:2976490:0.09:753,2048:194.28:3421469:0.1:1858,2562:193.44:2910495:0.04:781,2782:194.2:2092267:0.03:511,2882:192.35:3506185:0.03:137,[2788:193.14:2417604:0.02:64
