Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
MCD_112219P165,0:191.78,0:192.62,0:196.89,0:196.7,0.0,0:188.66,0:192.18,6:194.18,6:193.08:4819712:0.05:0,6:193.61:3494627:0.05:0,6:192.64:2735188:0.05:0,6:193.28:2884363:0.05:0,6:195.0:3404937:0.05:0,6:194.0:3166085:0.05:0,6:193.97:2976490:0.05:0,U:194.28:3421469::,6:193.44:2910495:0.05:0,6:194.19:2093388:0.05:0,6:192.35:3506185:0.05:0,U:193.14:2417605:U:U
MCD_112219P170,4:191.78,7:192.62,7:196.89,18:196.7,18.0,18:188.66,65:192.18,70:194.18,70:193.08:4819712:0.03:0,70:193.61:3494627:0.03:0,70:192.64:2735188:0.02:22,82:193.28:2884363:0.03:9,89:195.0:3404937:0.03:0,89:194.0:3166085:0.03:0,89:193.97:2976490:0.03:0,89:194.28:3421469:0.03:0,89:193.44:2910495:0.02:10,81:194.19:2093388:0.01:1,82:192.35:3506185:0.01:1,[83:193.14:2417605:0.01:0
MCD_112219P175,0:191.78,25:192.62,25:196.89,20:196.7,20.0,20:188.66,85:192.18,85:194.18,85:193.08:4819712:0.03:5,80:193.61:3494627:0.02:2,79:192.64:2735188:0.01:1,79:193.28:2884363:0.01:693,756:195.0:3404937:0.01:0,756:194.0:3166085:0.02:5,761:193.97:2976490:0.02:0,761:194.28:3421469:0.02:0,761:193.44:2910495:0.02:0,761:194.19:2093388:0.02:0,761:192.35:3506185:0.02:0,[761:193.14:2417605:0.02:0
MCD_112219P177.5,57:191.78,430:192.62,523:196.89,478:196.7,479.0,483:188.66,534:192.18,535:194.18,525:193.08:4819712:0.05:0,525:193.61:3494627:0.03:1,525:192.64:2735188:0.04:16,530:193.28:2884363:0.02:3,530:195.0:3404937:0.01:13,525:194.0:3166085:0.19:2,523:193.97:2976490:0.01:1,523:194.28:3421469:0.01:6,519:193.44:2910495:0.01:0,519:194.19:2093388:0.02:1,520:192.35:3506185:0.02:0,[520:193.14:2417605:0.01:10
MCD_112219P180,117:191.78,173:192.62,177:196.89,175:196.7,175.0,175:188.66,476:192.18,480:194.18,468:193.08:4819712:0.12:6,472:193.61:3494627:0.05:112,457:192.64:2735188:0.04:113,553:193.28:2884363:0.04:129,673:195.0:3404937:0.02:12,669:194.0:3166085:0.02:141,680:193.97:2976490:0.02:37,694:194.28:3421469:0.01:9,694:193.44:2910495:0.02:1,694:194.19:2093388:0.01:5,689:192.35:3506185:0.01:1,[688:193.14:2417605:0.03:13
MCD_112219P182.5,48:191.78,123:192.62,123:196.89,114:196.7,114.0,114:188.66,217:192.18,241:194.18,237:193.08:4819712:0.19:70,264:193.61:3494627:0.11:26,254:192.64:2735188:0.08:11,251:193.28:2884363:0.1:10,254:195.0:3404937:0.06:24,241:194.0:3166085:0.05:286,423:193.97:2976490:0.03:57,388:194.28:3421469:0.02:42,405:193.44:2910495:0.02:3,402:194.19:2093388:0.02:12,412:192.35:3506185:0.02:53,[360:193.14:2417605:0.03:2
MCD_112219P185,71:191.78,330:192.62,394:196.89,397:196.7,384.0,371:188.66,598:192.18,737:194.18,742:193.08:4819712:0.36:59,735:193.61:3494627:0.22:118,728:192.64:2735188:0.22:133,798:193.28:2884363:0.18:35,801:195.0:3404937:0.1:22,801:194.0:3166085:0.1:224,796:193.97:2976490:0.07:99,804:194.28:3421469:0.08:168,869:193.44:2910495:0.03:14,856:194.19:2093388:0.01:30,832:192.35:3506185:0.02:55,[807:193.14:2417605:0.01:74
MCD_112219P187.5,132:191.78,590:192.62,594:196.89,597:196.7,602.0,609:188.66,899:192.18,973:194.18,1023:193.08:4819712:0.65:187,1014:193.61:3494627:0.44:159,1036:192.64:2735188:0.51:110,1067:193.28:2884363:0.35:110,1101:195.0:3404937:0.16:103,1085:194.0:3166085:0.19:194,1096:193.97:2976490:0.13:258,1118:194.28:3421469:0.08:262,1083:193.44:2910495:0.08:114,1101:194.19:2093388:0.03:205,1169:192.35:3506185:0.03:248,[1166:193.14:2417605:0.01:246
MCD_112219P190,296:191.78,527:192.62,584:196.89,580:196.7,603.0,633:188.66,720:192.18,839:194.18,980:193.08:4819712:1.17:183,1035:193.61:3494627:0.88:54,1053:192.64:2735188:1.03:351,1295:193.28:2884363:0.71:122,1319:195.0:3404937:0.35:244,1373:194.0:3166085:0.43:313,1423:193.97:2976490:0.32:382,1590:194.28:3421469:0.22:890,1832:193.44:2910495:0.2:430,1776:194.19:2093388:0.09:421,1615:192.35:3506185:0.08:678,[1701:193.14:2417605:0.01:409
MCD_112219P192.5,82:191.78,170:192.62,184:196.89,213:196.7,221.0,350:188.66,341:192.18,350:194.18,371:193.08:4819712:2.11:255,488:193.61:3494627:1.66:92,513:192.64:2735188:2.01:462,877:193.28:2884363:1.54:147,931:195.0:3404937:0.8:366,854:194.0:3166085:1.04:345,1003:193.97:2976490:0.85:630,1455:194.28:3421469:0.63:1306,1507:193.44:2910495:0.66:1089,1783:194.19:2093388:0.35:690,1962:192.35:3506185:0.69:879,[2155:193.14:2417605:0.01:1283
