Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
MCHP_112219C91,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.24:1243414:1.2:9,U:0:0:.3:U,[13:91.66:1203877:0.8:1
MCHP_112219C91.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.24:1243414:0.95:21,21:0:0:0.5:12,[33:91.66:1203877:0.2:64
MCHP_112219C92,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.24:1243414:1.0:42,42:0:0:0.55:20,[62:91.66:1203877:0.23:1
MCHP_112219C92.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.95:123,123:91.24:1243414:0.45:26,140:0:0:0.35:22,[139:91.66:1203877:0.25:10
MCHP_112219C93,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.95:11,7:92.64:2370297:0.8:28,29:91.24:1243414:0.45:2,31:0:0:0.4:1,[31:91.66:1203877:0.4:0
MCHP_112219C93.5,0:95.59,0:94.81,0:95.4,0:94.29,1.0,1:99.78,1:100.02,1:95.62,1:95.36:4023261:4.0:0,1:96.21:1754084:4.0:0,1:94.57:1988676:4.0:0,1:93.68:1889458:4.0:0,1:94.09:1242115:4.0:0,1:93.62:1335221:4.0:0,1:94.6:1861602:4.0:0,1:194.28:3421469:1.0:1,2:92.64:2370297:0.8:5,3:91.24:1243414:0.46:1,3:0:0:0.2:1,[3:91.66:1203877:0.2:0
MCHP_112219C94,0:95.59,0:94.81,0:95.4,0:94.29,1.0,1:99.78,1:100.02,1:95.62,3:95.36:4023261:3.5:0,3:96.21:1754084:3.5:0,3:94.57:1988676:3.5:0,3:93.68:1889458:3.5:0,3:94.09:1242115:3.5:0,3:93.62:1335221:3.5:0,3:94.6:1861602:3.5:0,U:194.28:3421469::,4:92.64:2370297:0.55:73,76:91.24:1243414:0.36:1,76:0:0:0.36:0,[76:91.66:1203877:0.36:0
MCHP_112219C94.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,2:95.36:4023261:3.1:3,3:96.21:1754084:3.1:0,3:94.57:1988676:3.1:0,3:93.68:1889458:3.1:0,3:94.09:1242115:1.25:19,22:93.62:1335221:1.25:0,22:94.6:1861602:1.25:0,22:194.28:3421469:0.37:4,23:92.64:2370297:0.24:1,23:91.24:1243414:0.35:1,23:0:0:0.05:10,[23:91.66:1203877:0.05:0
MCHP_112219C95,0:95.59,0:94.81,1:95.4,1:94.29,2.0,2:99.78,2:100.02,2:95.62,13:95.36:4023261:2.55:0,13:96.21:1754084:2.05:7,20:94.57:1988676:2.15:3,20:93.68:1889458:1.15:14,34:94.09:1242115:1.03:15,26:93.62:1335221:0.87:8,34:94.6:1861602:1.01:268,U:194.28:3421469::,126:92.64:2370297:0.17:2,125:91.24:1243414:0.25:4,124:0:0:0.25:0,[124:91.66:1203877:0.25:0
MCHP_112219C95.5,1:95.59,1:94.81,1:95.4,4:94.29,4.0,4:99.78,4:100.02,4:95.62,6:95.36:4023261:1.95:0,6:96.21:1754084:1.95:0,6:94.57:1988676:1.5:6,8:93.68:1889458:0.9:12,14:94.09:1242115:0.9:33,43:93.62:1335221:0.6:10,43:94.6:1861602:0.95:1,44:194.28:3421469:0.75:3,46:92.64:2370297:0.75:0,46:91.24:1243414:0.75:0,46:0:0:0.75:0,[46:91.66:1203877:0.75:0
