Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
MCHP_112219P91,5:95.59,5:94.81,5:95.4,5:94.29,5.0,5:99.78,5:100.02,5:95.62,5:95.36:4023261:1.2:0,5:96.21:1754084:1.2:0,5:94.57:1988676:1.2:0,5:93.68:1889458:1.2:0,5:94.09:1242115:1.2:0,5:93.62:1335221:1.2:0,5:94.6:1861602:1.2:0,5:194.28:3421469:1.2:0,5:92.64:2370297:0.65:2,5:91.25:1245203:0.95:30,28:91.0:1615001:0.65:2,[30:91.66:1203877:0.65:0
MCHP_112219P91.5,5:95.59,5:94.81,5:95.4,6:94.29,6.0,6:99.78,6:100.02,6:95.62,6:95.36:4023261:1.05:4,10:96.21:1754084:0.95:7,17:94.57:1988676:0.95:0,17:93.68:1889458:0.95:0,17:94.09:1242115:0.95:0,17:93.62:1335221:0.95:0,17:94.6:1861602:0.95:0,17:194.28:3421469:0.6:19,36:92.64:2370297:0.6:0,36:91.25:1245203:1.25:20,36:91.0:1615001:1.25:0,[36:91.66:1203877:0.37:4
MCHP_112219P92,10:95.59,10:94.81,10:95.4,10:94.29,10.0,12:99.78,12:100.02,12:95.62,12:95.36:4023261:1.95:0,12:96.21:1754084:1.25:6,18:94.57:1988676:1.25:0,18:93.68:1889458:1.25:0,18:94.09:1242115:1.0:12,28:93.62:1335221:1.0:0,28:94.6:1861602:1.0:0,28:194.28:3421469:1.16:21,31:92.64:2370297:0.87:12,20:91.25:1245203:0.95:1,21:91.0:1615001:0.95:0,[21:91.66:1203877:0.95:0
MCHP_112219P92.5,0:95.59,0:94.81,0:95.4,0:94.29,10.0,10:99.78,16:100.02,16:95.62,20:95.36:4023261:1.31:2,22:96.21:1754084:1.4:7,29:94.57:1988676:1.4:0,29:93.68:1889458:1.15:6,34:94.09:1242115:1.2:16,26:93.62:1335221:1.27:1,27:94.6:1861602:1.27:0,27:194.28:3421469:1.45:8,25:92.64:2370297:1.27:4,21:91.25:1245203:1.27:0,21:91.0:1615001:1.27:0,[21:91.66:1203877:1.0:10
MCHP_112219P93,3:95.59,3:94.81,3:95.4,3:94.29,3.0,4:99.78,4:100.02,4:95.62,4:95.36:4023261:2.45:0,4:96.21:1754084:2.45:0,4:94.57:1988676:2.45:0,4:93.68:1889458:1.55:2,5:94.09:1242115:1.55:0,5:93.62:1335221:1.55:0,5:94.6:1861602:1.55:0,5:194.28:3421469:1.15:9,10:92.64:2370297:1.15:0,10:91.25:1245203:1.15:0,10:91.0:1615001:1.15:0,[10:91.66:1203877:1.15:0
MCHP_112219P93.5,11:95.59,11:94.81,11:95.4,11:94.29,11.0,10:99.78,10:100.02,10:95.62,10:95.36:4023261:2.7:0,10:96.21:1754084:2.7:0,10:94.57:1988676:1.38:2,11:93.68:1889458:1.38:0,11:94.09:1242115:1.38:0,11:93.62:1335221:1.38:0,11:94.6:1861602:1.38:0,11:194.28:3421469:1.38:0,11:92.64:2370297:1.38:0,11:91.25:1245203:1.38:0,11:91.0:1615001:1.38:0,[11:91.66:1203877:1.38:0
MCHP_112219P94,9:95.59,9:94.81,9:95.4,9:94.29,10.0,10:99.78,10:100.02,10:95.62,12:95.36:4023261:1.5:13,25:96.21:1754084:1.9:8,33:94.57:1988676:1.9:0,33:93.68:1889458:1.9:0,33:94.09:1242115:1.9:0,33:93.62:1335221:1.9:0,33:94.6:1861602:1.9:0,33:194.28:3421469:2.23:1,33:92.64:2370297:2.46:8,25:91.25:1245203:2.46:0,25:91.0:1615001:2.73:5,[24:91.66:1203877:2.73:0
MCHP_112219P94.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,2:95.36:4023261:2.55:0,2:96.21:1754084:2.55:0,2:94.57:1988676:1.6:2,4:93.68:1889458:1.6:0,4:94.09:1242115:1.6:0,4:93.62:1335221:1.6:0,4:94.6:1861602:1.26:10,14:194.28:3421469:1.26:0,14:92.64:2370297:1.26:0,14:91.25:1245203:1.26:0,14:91.0:1615001:1.26:0,[4:91.66:1203877:1.26:0
MCHP_112219P95,5:95.59,5:94.81,5:95.4,5:94.29,5.0,5:99.78,5:100.02,5:95.62,6:95.36:4023261:2.15:1,6:96.21:1754084:2.35:6,11:94.57:1988676:1.9:2,11:93.68:1889458:1.9:0,11:94.09:1242115:1.9:0,11:93.62:1335221:1.9:0,11:94.6:1861602:1.45:2,13:194.28:3421469:2.98:1,13:92.64:2370297:2.98:0,13:91.25:1245203:3.1:10,21:91.0:1615001:3.1:0,[21:91.66:1203877:3.35:2
MCHP_112219P95.5,143:95.59,143:94.81,143:95.4,143:94.29,143.0,143:99.78,143:100.02,143:95.62,143:95.36:4023261:3.1:0,143:96.21:1754084:3.1:0,143:94.57:1988676:2.0:3,143:93.68:1889458:2.0:0,143:94.09:1242115:2.0:0,143:93.62:1335221:2.0:0,143:94.6:1861602:2.0:0,143:194.28:3421469:2.0:0,143:92.64:2370297:2.0:0,143:91.25:1245203:2.0:0,143:91.0:1615001:2.0:0,[123:91.66:1203877:2.0:0
MCHP_112219P96,0:95.59,0:94.81,0:95.4,5:94.29,5.0,7:99.78,7:100.02,7:95.62,7:95.36:4023261:3.8:0,7:96.21:1754084:2.23:3,10:94.57:1988676:2.23:0,10:93.68:1889458:2.23:0,10:94.09:1242115:2.23:0,10:93.62:1335221:2.23:0,10:94.6:1861602:2.4:13,20:194.28:3421469:3.35:10,16:92.64:2370297:3.35:0,16:91.25:1245203:3.35:0,U:91.0:1615001:U:U,[16:91.66:1203877:3.35:0
MCHP_112219P96.5,2:95.59,2:94.81,2:95.4,2:94.29,2.0,2:99.78,2:100.02,2:95.62,3:95.36:4023261:4.54:0,3:96.21:1754084:4.54:0,3:94.57:1988676:4.54:0,3:93.68:1889458:4.54:0,3:94.09:1242115:4.54:0,3:93.62:1335221:4.54:0,3:94.6:1861602:4.54:0,3:194.28:3421469:3.48:1,2:92.64:2370297:3.48:0,2:91.25:1245203:3.48:0,2:91.0:1615001:3.48:0,[2:91.66:1203877:3.48:0
MCHP_112219P97,0:95.59,0:94.81,0:95.4,0:94.29,0.0,1:99.78,1:100.02,7:95.62,7:95.36:4023261:3.65:0,7:96.21:1754084:3.65:0,7:94.57:1988676:3.65:0,7:93.68:1889458:3.65:0,7:94.09:1242115:3.65:0,7:93.62:1335221:3.65:0,7:94.6:1861602:2.83:1,8:194.28:3421469:2.83:0,8:92.64:2370297:2.83:0,U:91.25:1245203:.4:U,U:91.0:1615001:U:U,3:91.66:1203877:6.3:0
MCHP_112219P97.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,1:99.78,1:100.02,2:95.62,3:95.36:4023261:5.28:0,3:96.21:1754084:2.9:9,8:94.57:1988676:2.9:0,8:93.68:1889458:2.9:0,8:94.09:1242115:2.9:0,8:93.62:1335221:2.9:0,8:94.6:1861602:2.9:0,U:194.28:3421469::,8:92.64:2370297:4.33:0,8:91.25:1245203:4.33:0,8:91.0:1615001:4.33:0,8:91.66:1203877:4.33:0
MCHP_112219P98.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,:92.64:2370297:U:U,0:91.25:1245203:0.0:0,0:91.0:1615001:0.0:0,0:91.66:1203877:0.0:0
MCHP_112219P100,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,18:95.62,19:95.36:4023261:6.6:0,19:96.21:1754084:6.6:0,19:94.57:1988676:6.6:0,19:93.68:1889458:6.6:0,19:94.09:1242115:6.6:0,19:93.62:1335221:6.6:0,19:94.6:1861602:6.6:0,19:194.28:3421469:6.6:0,19:92.64:2370297:8.4:1,19:91.25:1245203:8.4:0,U:91.0:1615001:U:U,9:91.66:1203877:8.4:0
MCHP_112219P101,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,1:95.62,1:95.36:4023261:4.28:0,1:96.21:1754084:4.28:0,1:94.57:1988676:4.28:0,1:93.68:1889458:4.28:0,1:94.09:1242115:4.28:0,1:93.62:1335221:4.28:0,1:94.6:1861602:4.28:0,1:194.28:3421469:4.28:0,:92.64:2370297:U:U,1:91.25:1245203:8.95:1,0:91.0:1615001:8.95:0,0:91.66:1203877:8.95:0
MCHP_112219P102,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,U:194.28:3421469::,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,0:91.0:1615001:0.0:0,0:91.66:1203877:0.0:0
MCHP_112219P103,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,U:194.28:3421469::,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,0:91.0:1615001:0.0:0,0:91.66:1203877:0.0:0
MCHP_112219P104,0:95.59,49:94.81,49:95.4,49:94.29,49.0,49:99.78,49:100.02,49:95.62,49:95.36:4023261:11.2:0,49:96.21:1754084:11.2:0,49:94.57:1988676:11.2:0,49:93.68:1889458:11.2:0,49:94.09:1242115:11.2:0,49:93.62:1335221:11.2:0,49:94.6:1861602:11.2:0,U:194.28:3421469::,49:92.64:2370297:11.2:0,49:91.25:1245203:11.2:90,0:91.0:1615001:11.2:0,0:91.66:1203877:11.2:0
MCHP_112919P91,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:1.3:8,8:94.57:1988676:1.3:0,8:93.68:1889458:1.3:0,8:94.09:1242115:1.1:5,13:93.62:1335221:1.15:1,14:94.6:1861602:0.75:75,89:194.28:3421469:0.75:10,:92.64:2370297:U:U,92:91.25:1245203:1.05:0,92:91.0:1615001:1.5:10,[100:91.66:1203877:1.5:0
MCHP_112919P91.5,4:95.59,4:94.81,4:95.4,4:94.29,4.0,4:99.78,4:100.02,4:95.62,4:95.36:4023261:2.85:0,4:96.21:1754084:2.85:0,4:94.57:1988676:2.85:0,4:93.68:1889458:2.85:0,4:94.09:1242115:2.85:0,4:93.62:1335221:2.85:0,4:94.6:1861602:2.85:0,4:194.28:3421469:2.85:0,4:92.64:2370297:1.4:2,4:91.25:1245203:1.4:0,4:91.0:1615001:1.65:2,[6:91.66:1203877:1.35:9
MCHP_112919P92,55:95.59,55:94.81,55:95.4,55:94.29,55.0,56:99.78,56:100.02,66:95.62,66:95.36:4023261:1.95:0,66:96.21:1754084:1.95:0,66:94.57:1988676:1.95:0,66:93.68:1889458:1.95:0,66:94.09:1242115:1.95:0,71:93.62:1335221:1.95:0,71:94.6:1861602:1.95:0,71:194.28:3421469:1.0:10,:92.64:2370297:U:U,89:91.25:1245203:1.55:6,83:91.0:1615001:2.2:0,[83:91.66:1203877:1.5:2
MCHP_112919P92.5,0:95.59,11:94.81,11:95.4,11:94.29,16.0,16:99.78,16:100.02,16:95.62,16:95.36:4023261:1.99:0,16:96.21:1754084:1.99:0,16:94.57:1988676:1.99:0,16:93.68:1889458:1.99:0,16:94.09:1242115:1.55:9,25:93.62:1335221:1.55:0,25:94.6:1861602:1.55:0,25:194.28:3421469:1.85:1,26:92.64:2370297:1.8:4,30:91.25:1245203:2.9:1,30:91.0:1615001:2.9:0,[30:91.66:1203877:2.9:0
MCHP_112919P93,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:1.75:10,10:93.62:1335221:1.9:3,10:94.6:1861602:1.9:0,10:194.28:3421469:1.9:0,10:92.64:2370297:1.95:2,12:91.25:1245203:1.95:0,12:91.0:1615001:1.95:0,[12:91.66:1203877:1.95:0
MCHP_112919P93.5,0:95.59,0:94.81,0:95.4,0:94.29,1.0,1:99.78,1:100.02,1:95.62,1:95.36:4023261:3.7:0,1:96.21:1754084:3.7:0,1:94.57:1988676:3.7:0,1:93.68:1889458:3.7:0,1:94.09:1242115:3.7:0,5:93.62:1335221:2.15:3,5:94.6:1861602:2.15:0,5:194.28:3421469:2.15:0,:92.64:2370297:U:U,5:91.25:1245203:2.15:0,5:91.0:1615001:2.15:0,[5:91.66:1203877:2.15:0
MCHP_112919P94,0:95.59,0:94.81,0:95.4,0:94.29,1.0,1:99.78,1:100.02,11:95.62,11:95.36:4023261:2.17:0,11:96.21:1754084:1.72:2,12:94.57:1988676:1.72:0,12:93.68:1889458:1.72:0,12:94.09:1242115:1.72:0,12:93.62:1335221:1.72:0,12:94.6:1861602:1.57:2,12:194.28:3421469:1.57:0,12:92.64:2370297:1.57:0,12:91.25:1245203:1.57:0,12:91.0:1615001:1.57:0,[12:91.66:1203877:1.57:0
MCHP_112919P94.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:2.69:1,1:94.09:1242115:2.84:1,0:93.62:1335221:2.84:0,0:94.6:1861602:2.05:1,1:194.28:3421469:2.05:0,1:92.64:2370297:2.05:0,1:91.25:1245203:2.05:0,1:91.0:1615001:2.05:0,[1:91.66:1203877:2.05:0
MCHP_112919P95,0:95.59,0:94.81,0:95.4,0:94.29,0.0,1:99.78,1:100.02,1:95.62,1:95.36:4023261:2.95:0,1:96.21:1754084:2.95:0,1:94.57:1988676:2.95:0,1:93.68:1889458:2.95:0,1:94.09:1242115:2.95:0,1:93.62:1335221:2.95:0,1:94.6:1861602:2.3:1,2:194.28:3421469:2.3:0,2:92.64:2370297:2.3:0,2:91.25:1245203:2.3:0,2:91.0:1615001:2.3:0,[2:91.66:1203877:2.3:0
MCHP_112919P95.5,0:95.59,15:94.81,15:95.4,15:94.29,15.0,15:99.78,15:100.02,15:95.62,15:95.36:4023261:4.0:0,15:96.21:1754084:4.0:0,15:94.57:1988676:4.0:0,15:93.68:1889458:4.0:0,15:94.09:1242115:4.0:0,15:93.62:1335221:4.0:0,15:94.6:1861602:4.0:0,15:194.28:3421469:4.0:0,15:92.64:2370297:4.0:0,15:91.25:1245203:4.0:0,15:91.0:1615001:4.0:0,[15:91.66:1203877:4.0:0
MCHP_112919P96,6:95.59,6:94.81,6:95.4,6:94.29,6.0,6:99.78,20:100.02,20:95.62,20:95.36:4023261:2.87:2,22:96.21:1754084:2.57:2,22:94.57:1988676:2.57:0,22:93.68:1889458:2.57:0,22:94.09:1242115:2.57:0,22:93.62:1335221:2.57:0,22:94.6:1861602:2.62:6,22:194.28:3421469:2.62:0,22:92.64:2370297:4.46:2,22:91.25:1245203:4.46:0,22:91.0:1615001:4.46:0,[22:91.66:1203877:4.46:0
MCHP_112919P96.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:5.44:0,0:96.21:1754084:5.44:0,0:94.57:1988676:5.44:0,0:93.68:1889458:5.44:0,0:94.09:1242115:5.44:0,0:93.62:1335221:5.44:0,0:94.6:1861602:3.3:2,2:194.28:3421469:3.3:0,2:92.64:2370297:3.3:0,2:91.25:1245203:3.3:0,U:91.0:1615001:U:U,[2:91.66:1203877:3.3:0
MCHP_112919P97,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,U:91.0:1615001:U:U,0:91.66:1203877:0.0:0
MCHP_112919P97.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,0:91.0:1615001:0.0:0,0:91.66:1203877:0.0:0
MCHP_112919P98,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,5:95.62,5:95.36:4023261:2.95:0,5:96.21:1754084:2.95:0,5:94.57:1988676:2.95:0,5:93.68:1889458:2.95:0,5:94.09:1242115:2.95:0,5:93.62:1335221:2.95:0,5:94.6:1861602:2.95:0,5:194.28:3421469:2.95:0,5:92.64:2370297:2.95:0,5:91.25:1245203:2.95:0,5:91.0:1615001:2.95:0,5:91.66:1203877:2.95:0
MCHP_112919P98.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,U:194.28:3421469::,0:92.64:2370297:0.0:0,U:91.25:1245203:U:U,0:91.0:1615001:0.0:0,0:91.66:1203877:0.0:0
MCHP_112919P100,1:95.59,1:94.81,1:95.4,1:94.29,1.0,1:99.78,1:100.02,4:95.62,4:95.36:4023261:3.7:0,4:96.21:1754084:5.75:1,4:94.57:1988676:5.75:0,4:93.68:1889458:5.75:0,4:94.09:1242115:5.75:0,4:93.62:1335221:5.75:0,4:94.6:1861602:5.75:0,4:194.28:3421469:5.75:0,4:92.64:2370297:5.75:0,4:91.25:1245203:5.75:0,4:91.0:1615001:5.75:0,4:91.66:1203877:5.75:0
MCHP_112919P101,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,0:91.0:1615001:0.0:0,0:91.66:1203877:0.0:0
MCHP_112919P102,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,0:91.0:1615001:0.0:0,0:91.66:1203877:0.0:0
MCHP_112919P103,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,U:194.28:3421469::,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,0:91.0:1615001:0.0:0,0:91.66:1203877:0.0:0
MCHP_120619P91,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:1.5:7,7:94.57:1988676:1.5:0,7:93.68:1889458:1.75:2,8:94.09:1242115:1.5:5,18:93.62:1335221:1.55:7,24:94.6:1861602:1.55:0,24:194.28:3421469:1.55:0,24:92.64:2370297:1.55:0,24:91.25:1245203:2.4:2,34:91.0:1615001:2.4:0,[34:91.66:1203877:1.7:15
MCHP_120619P91.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:1.79:5,5:96.21:1754084:1.65:8,11:94.57:1988676:1.65:0,11:93.68:1889458:1.65:0,11:94.09:1242115:1.65:0,11:93.62:1335221:1.65:0,11:94.6:1861602:1.65:0,11:194.28:3421469:1.65:0,11:92.64:2370297:1.65:0,11:91.25:1245203:1.65:0,11:91.0:1615001:1.65:0,[11:91.66:1203877:1.9:20
MCHP_120619P92,11:95.59,11:94.81,11:95.4,11:94.29,11.0,11:99.78,11:100.02,11:95.62,11:95.36:4023261:1.85:16,22:96.21:1754084:1.7:22,30:94.57:1988676:1.7:0,30:93.68:1889458:1.7:0,30:94.09:1242115:1.7:0,29:93.62:1335221:1.7:0,29:94.6:1861602:1.3:5,34:194.28:3421469:1.65:5,34:92.64:2370297:2.5:8,34:91.25:1245203:2.5:0,34:91.0:1615001:2.35:0,[34:91.66:1203877:2.04:4
MCHP_120619P92.5,8:95.59,8:94.81,8:95.4,8:94.29,8.0,8:99.78,8:100.02,13:95.62,13:95.36:4023261:1.8:1,14:96.21:1754084:2.15:7,21:94.57:1988676:2.15:0,21:93.68:1889458:2.15:0,21:94.09:1242115:2.15:0,21:93.62:1335221:2.15:0,21:94.6:1861602:2.15:0,21:194.28:3421469:2.15:0,:92.64:2370297:U:U,21:91.25:1245203:2.15:0,21:91.0:1615001:2.15:0,[21:91.66:1203877:2.15:0
MCHP_120619P93,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,0:91.0:1615001:0.0:0,[0:91.66:1203877:0.0:0
MCHP_120619P93.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,0:91.0:1615001:0.0:0,[0:91.66:1203877:0.0:0
MCHP_120619P94,0:95.59,5:94.81,5:95.4,5:94.29,5.0,5:99.78,5:100.02,5:95.62,7:95.36:4023261:3.06:0,7:96.21:1754084:2.55:9,12:94.57:1988676:2.55:0,12:93.68:1889458:2.55:0,12:94.09:1242115:2.55:0,12:93.62:1335221:2.55:0,12:94.6:1861602:2.55:0,12:194.28:3421469:2.55:0,12:92.64:2370297:2.55:0,12:91.25:1245203:2.55:0,12:91.0:1615001:2.55:0,[12:91.66:1203877:2.55:0
MCHP_120619P94.5,0:95.59,5:94.81,5:95.4,5:94.29,5.0,5:99.78,5:100.02,5:95.62,5:95.36:4023261:3.7:0,5:96.21:1754084:3.7:0,5:94.57:1988676:3.7:0,5:93.68:1889458:3.7:0,5:94.09:1242115:3.7:0,5:93.62:1335221:3.7:0,5:94.6:1861602:2.35:2,7:194.28:3421469:2.35:0,7:92.64:2370297:2.35:0,7:91.25:1245203:2.35:0,7:91.0:1615001:2.35:0,[7:91.66:1203877:2.35:0
MCHP_120619P95,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:2.62:5,5:194.28:3421469:2.62:0,:92.64:2370297:U:U,5:91.25:1245203:2.62:0,5:91.0:1615001:2.62:0,[5:91.66:1203877:3.99:3
MCHP_120619P95.5,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,0:91.0:1615001:0.0:0,[0:91.66:1203877:0.0:0
MCHP_120619P96,0:95.59,0:94.81,0:95.4,0:94.29,0.0,0:99.78,0:100.02,0:95.62,0:95.36:4023261:0.0:0,0:96.21:1754084:0.0:0,0:94.57:1988676:0.0:0,0:93.68:1889458:0.0:0,0:94.09:1242115:0.0:0,0:93.62:1335221:0.0:0,0:94.6:1861602:0.0:0,0:194.28:3421469:0.0:0,0:92.64:2370297:0.0:0,0:91.25:1245203:0.0:0,U:91.0:1615001:U:U,[0:91.66:1203877:0.0:0
