Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119
MKSI_122019C65,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019C70,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019C75,1:112.73,1:114.16,1:112.86,1:112.15:301121:32.0:0,1:112.42:303453:32.0:0,1:110.83:241518:32.0:0,1:110.37:284054:32.0:0,1:109.38:311856:32.0:0,1:109.05:551094:32.0:0,1:109.88:521402:32.0:0,0:109.64:337168:32.0:0,1:107.0:398218:32.0:0
MKSI_122019C80,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019C85,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019C90,17:112.73,17:114.16,17:112.86,17:112.15:301121:18.0:0,17:112.42:303453:18.0:0,17:110.83:241518:18.0:0,17:110.37:284054:18.0:0,17:109.38:311856:18.0:0,17:109.05:551094:18.0:0,17:109.88:521402:20.9:1,0:109.64:337168:20.9:0,16:107.0:398218:20.9:0
MKSI_122019C95,13:112.73,13:114.16,13:112.86,13:112.15:301121:16.0:0,13:112.42:303453:16.0:0,13:110.83:241518:16.0:0,13:110.37:284054:16.0:0,13:109.38:311856:16.0:0,13:109.05:551094:16.0:0,13:109.88:521402:16.0:0,0:109.64:337168:16.0:0,13:107.0:398218:16.0:0
MKSI_122019C100,21:112.73,21:114.16,21:112.86,21:112.15:301121:11.5:0,21:112.42:303453:12.85:1,20:110.83:241518:12.85:0,20:110.37:284054:12.85:0,20:109.38:311856:12.85:0,20:109.05:551094:12.85:0,20:109.88:521402:11.9:1,0:109.64:337168:10.95:1,22:107.0:398218:10.95:0
MKSI_122019C105,10:112.73,10:114.16,10:112.86,10:112.15:301121:12.4:0,10:112.42:303453:12.4:0,10:110.83:241518:12.4:0,10:110.37:284054:12.4:0,10:109.38:311856:12.4:0,10:109.05:551094:12.4:0,10:109.88:521402:12.4:0,0:109.64:337168:12.4:0,10:107.0:398218:5.5:1
MKSI_122019C110,19:112.73,19:114.16,19:112.86,19:112.15:301121:7.6:2,21:112.42:303453:7.6:0,21:110.83:241518:5.3:2,23:110.37:284054:5.1:1,23:109.38:311856:4.2:1,24:109.05:551094:4.3:2,24:109.88:521402:4.21:3,24:109.64:337168:3.9:3,25:107.0:398218:3.9:0
MKSI_122019C115,57:112.73,57:114.16,57:112.86,57:112.15:301121:2.7:0,57:112.42:303453:3.9:2,59:110.83:241518:3.9:0,59:110.37:284054:2.85:1,59:109.38:311856:2.1:2,57:109.05:551094:2.1:0,57:109.88:521402:2.05:1,0:109.64:337168:1.8:6,63:107.0:398218:1.8:0
MKSI_122019C120,88:112.73,89:114.16,89:112.86,89:112.15:301121:2.0:1,89:112.42:303453:2.0:0,89:110.83:241518:1.47:1,89:110.37:284054:1.47:0,89:109.38:311856:1.47:0,89:109.05:551094:1.47:0,89:109.88:521402:1.1:4,93:109.64:337168:0.8:1,94:107.0:398218:0.8:0
MKSI_122019C125,22:112.73,22:114.16,22:112.86,24:112.15:301121:0.95:0,24:112.42:303453:0.95:0,24:110.83:241518:0.95:0,24:110.37:284054:0.95:0,24:109.38:311856:0.95:0,24:109.05:551094:0.95:0,24:109.88:521402:0.95:0,0:109.64:337168:0.25:2,26:107.0:398218:0.25:0
MKSI_122019C130,21:112.73,21:114.16,21:112.86,21:112.15:301121:1.0:0,21:112.42:303453:1.0:0,21:110.83:241518:1.0:0,21:110.37:284054:1.0:0,21:109.38:311856:1.0:0,21:109.05:551094:1.0:0,21:109.88:521402:1.0:0,0:109.64:337168:1.0:0,21:107.0:398218:1.0:0
MKSI_122019C135,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019C60,U,U,U,U,U,U,U,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_011720C100,U,U,U,U,U,U,U,U,30:109.05:551094:12.91:0,30:109.88:521402:12.91:0,0:109.64:337168:12.91:0,30:107.0:398218:12.91:0
MKSI_011720C105,U,U,U,U,U,U,U,U,41:109.05:551094:8.5:0,41:109.88:521402:8.5:0,0:109.64:337168:8.5:0,41:107.0:398218:8.5:0
MKSI_011720C110,U,U,U,U,U,U,U,U,37:109.05:551094:9.4:0,37:109.88:521402:6.4:10,0:109.64:337168:5.85:1,46:107.0:398218:4.6:12
MKSI_011720C115,U,U,U,U,U,U,U,U,37:109.05:551094:4.1:0,37:109.88:521402:4.1:0,0:109.64:337168:4.1:0,37:107.0:398218:2.45:1
MKSI_011720C120,U,U,U,U,U,U,U,U,117:109.05:551094:4.42:0,117:109.88:521402:2.15:136,0:109.64:337168:2.15:0,252:107.0:398218:1.3:15
MKSI_011720C125,U,U,U,U,U,U,U,U,60:109.05:551094:2.75:0,60:109.88:521402:1.1:15,0:109.64:337168:1.1:0,75:107.0:398218:1.1:0
MKSI_011720C130,U,U,U,U,U,U,U,U,160:109.05:551094:1.4:0,160:109.88:521402:1.4:0,0:109.64:337168:1.4:0,160:107.0:398218:1.4:0
MKSI_011720C135,U,U,U,U,U,U,U,U,1:109.05:551094:0.8:0,1:109.88:521402:0.8:0,0:109.64:337168:0.8:0,1:107.0:398218:0.8:0
MKSI_011720C60,U,U,U,U,U,U,U,U,0:109.05:551094:28.65:0,0:109.88:521402:28.65:0,0:109.64:337168:28.65:0,0:107.0:398218:28.65:0
MKSI_011720C65,U,U,U,U,U,U,U,U,1:109.05:551094:26.8:0,1:109.88:521402:26.8:0,0:109.64:337168:26.8:0,1:107.0:398218:26.8:0
