Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119
MKSI_122019P65,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019P70,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019P75,0:112.73,0:114.16,2:112.86,2:112.15:301121:0.4:0,2:112.42:303453:0.4:0,2:110.83:241518:0.4:0,2:110.37:284054:0.4:0,2:109.38:311856:0.4:0,2:109.05:551094:0.4:0,2:109.88:521402:0.4:0,0:109.64:337168:0.4:0,2:107.0:398218:0.1:2
MKSI_122019P80,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019P85,11:112.73,11:114.16,11:112.86,11:112.15:301121:0.47:0,11:112.42:303453:0.47:0,11:110.83:241518:0.47:0,11:110.37:284054:0.47:0,11:109.38:311856:0.47:0,11:109.05:551094:0.47:0,11:109.88:521402:0.47:0,0:109.64:337168:0.47:0,11:107.0:398218:0.47:0
MKSI_122019P90,22:112.73,22:114.16,22:112.86,22:112.15:301121:0.6:0,22:112.42:303453:0.6:0,22:110.83:241518:0.6:0,22:110.37:284054:0.6:0,22:109.38:311856:0.6:0,22:109.05:551094:0.6:0,22:109.88:521402:0.6:0,0:109.64:337168:0.6:0,22:107.0:398218:0.6:0
MKSI_122019P95,13:112.73,13:114.16,13:112.86,13:112.15:301121:0.75:21,32:112.42:303453:0.75:0,32:110.83:241518:0.7:2,34:110.37:284054:0.7:0,34:109.38:311856:0.79:9,40:109.05:551094:0.79:0,40:109.88:521402:0.79:0,0:109.64:337168:0.79:0,40:107.0:398218:0.79:0
MKSI_122019P100,21:112.73,26:114.16,26:112.86,29:112.15:301121:1.5:0,29:112.42:303453:1.45:1,30:110.83:241518:1.5:1,31:110.37:284054:1.16:1,31:109.38:311856:1.45:3,31:109.05:551094:1.45:0,31:109.88:521402:1.45:0,0:109.64:337168:1.1:2,31:107.0:398218:1.35:1
MKSI_122019P105,6:112.73,6:114.16,6:112.86,6:112.15:301121:2.07:1,7:112.42:303453:2.07:0,7:110.83:241518:2.07:0,7:110.37:284054:2.35:1,8:109.38:311856:2.35:0,8:109.05:551094:2.35:0,8:109.88:521402:2.35:0,8:109.64:337168:1.9:1,8:107.0:398218:3.0:2
MKSI_122019P110,2:112.73,1:114.16,1:112.86,3:112.15:301121:4.4:0,3:112.42:303453:4.4:0,3:110.83:241518:4.4:0,3:110.37:284054:4.4:0,3:109.38:311856:4.4:0,3:109.05:551094:4.4:0,3:109.88:521402:4.4:0,0:109.64:337168:4.4:0,3:107.0:398218:4.4:0
MKSI_122019P115,12:112.73,12:114.16,12:112.86,12:112.15:301121:9.0:0,12:112.42:303453:6.8:1,13:110.83:241518:6.8:0,13:110.37:284054:6.8:0,13:109.38:311856:6.8:0,13:109.05:551094:6.8:0,13:109.88:521402:6.8:0,0:109.64:337168:6.8:0,13:107.0:398218:6.8:0
MKSI_122019P120,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019P125,1:112.73,1:114.16,1:112.86,1:112.15:301121:12.75:0,1:112.42:303453:12.75:0,1:110.83:241518:12.75:0,1:110.37:284054:12.75:0,1:109.38:311856:12.75:0,1:109.05:551094:12.75:0,1:109.88:521402:12.75:0,0:109.64:337168:12.75:0,1:107.0:398218:12.75:0
MKSI_122019P130,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019P135,0:112.73,0:114.16,0:112.86,0:112.15:301121:0.0:0,0:112.42:303453:0.0:0,0:110.83:241518:0.0:0,0:110.37:284054:0.0:0,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_122019P60,U,U,U,U,U,U,U,0:109.38:311856:0.0:0,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_011720P100,U,U,U,U,U,U,U,U,35:109.05:551094:2.5:0,35:109.88:521402:2.04:3,0:109.64:337168:2.04:0,37:107.0:398218:2.04:0
MKSI_011720P105,U,U,U,U,U,U,U,U,33:109.05:551094:4.99:0,33:109.88:521402:4.99:0,0:109.64:337168:4.02:1,33:107.0:398218:4.02:0
MKSI_011720P110,U,U,U,U,U,U,U,U,15:109.05:551094:5.6:0,15:109.88:521402:5.6:0,0:109.64:337168:6.22:1,16:107.0:398218:6.22:0
MKSI_011720P115,U,U,U,U,U,U,U,U,1:109.05:551094:10.17:0,1:109.88:521402:10.17:0,0:109.64:337168:7.74:1,1:107.0:398218:7.74:0
MKSI_011720P120,U,U,U,U,U,U,U,U,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_011720P125,U,U,U,U,U,U,U,U,10:109.05:551094:14.88:0,10:109.88:521402:14.88:0,0:109.64:337168:14.88:0,10:107.0:398218:14.88:0
MKSI_011720P130,U,U,U,U,U,U,U,U,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_011720P135,U,U,U,U,U,U,U,U,0:109.05:551094:0.0:0,0:109.88:521402:0.0:0,0:109.64:337168:0.0:0,0:107.0:398218:0.0:0
MKSI_011720P60,U,U,U,U,U,U,U,U,5:109.05:551094:0.54:0,5:109.88:521402:0.54:0,0:109.64:337168:0.54:0,5:107.0:398218:0.54:0
MKSI_011720P65,U,U,U,U,U,U,U,U,4:109.05:551094:4.52:0,4:109.88:521402:4.52:0,0:109.64:337168:4.52:0,4:107.0:398218:4.52:0
MKSI_011720P70,U,U,U,U,U,U,U,U,20:109.05:551094:0.3:0,20:109.88:521402:0.3:0,0:109.64:337168:0.3:0,20:107.0:398218:0.3:0
MKSI_011720P75,U,U,U,U,U,U,U,U,11:109.05:551094:0.4:0,11:109.88:521402:0.4:0,0:109.64:337168:0.4:0,11:107.0:398218:0.4:0
MKSI_011720P80,U,U,U,U,U,U,U,U,5:109.05:551094:1.82:0,5:109.88:521402:1.82:0,0:109.64:337168:1.82:0,5:107.0:398218:1.82:0
