Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
MLNX_122019C82.5,41:111.31,41:112.05,41:112.7,41.0,41:113.76,41:114.5,41:114.47,41:114.99:509030:36.9:0,41:115.06:430494:36.9:0,41:114.88:159491:36.9:0,41:114.79:114921:36.9:0,41:114.62:359207:36.9:0,41:113.78:492888:36.9:0,41:114.8:357461:36.9:0,41:114.15:258395:36.9:0,41:114.39:347774:36.9:0,41:91.25:1245203:36.9:0,41:114.95:429354:36.9:0,[41:114.5:311608:36.9:0
MLNX_122019C85,80:111.31,80:112.05,80:112.7,80.0,80:113.76,80:114.5,80:114.47,80:114.99:509030:26.5:0,80:115.06:430494:26.5:0,80:114.88:159491:26.5:0,80:114.79:114921:26.5:0,80:114.62:359207:26.5:0,80:113.78:492888:26.5:0,80:114.8:357461:26.5:0,80:114.15:258395:26.5:0,80:114.39:347774:26.5:0,80:91.25:1245203:26.5:0,80:114.95:429354:26.5:0,[80:114.5:311608:26.5:0
MLNX_122019C87.5,27:111.31,27:112.05,27:112.7,27.0,27:113.76,27:114.5,27:114.47,27:114.99:509030:23.7:0,27:115.06:430494:23.7:0,27:114.88:159491:23.7:0,27:114.79:114921:23.7:0,27:114.62:359207:23.7:0,27:113.78:492888:23.7:0,27:114.8:357461:23.7:0,27:114.15:258395:23.7:0,27:114.39:347774:23.7:0,27:91.25:1245203:23.7:0,27:114.95:429354:23.7:0,[27:114.5:311608:23.7:0
MLNX_122019C90,5:111.31,5:112.05,5:112.7,3.0,3:113.76,3:114.5,3:114.47,3:114.99:509030:23.32:0,3:115.06:430494:23.32:0,3:114.88:159491:23.32:0,3:114.79:114921:23.32:0,3:114.62:359207:23.32:0,3:113.78:492888:23.32:0,3:114.8:357461:23.32:0,3:114.15:258395:23.32:0,3:114.39:347774:23.32:0,3:91.25:1245203:23.32:0,3:114.95:429354:23.32:0,[3:114.5:311608:23.32:0
MLNX_122019C92.5,5:111.31,5:112.05,5:112.7,5.0,5:113.76,5:114.5,5:114.47,5:114.99:509030:23.14:0,5:115.06:430494:23.14:0,5:114.88:159491:23.14:0,5:114.79:114921:23.14:0,5:114.62:359207:23.14:0,5:113.78:492888:23.14:0,5:114.8:357461:23.14:0,5:114.15:258395:23.14:0,5:114.39:347774:23.14:0,5:91.25:1245203:23.14:0,5:114.95:429354:23.14:0,[5:114.5:311608:23.14:0
MLNX_122019C95,45:111.31,45:112.05,45:112.7,45.0,45:113.76,45:114.5,44:114.47,44:114.99:509030:19.7:0,44:115.06:430494:19.7:0,44:114.88:159491:19.7:0,44:114.79:114921:19.7:0,44:114.62:359207:19.7:0,44:113.78:492888:19.7:0,44:114.8:357461:19.7:0,44:114.15:258395:19.7:0,44:114.39:347774:19.7:0,44:91.25:1245203:19.7:0,44:114.95:429354:19.7:0,[44:114.5:311608:19.7:0
MLNX_122019C97.5,51:111.31,51:112.05,51:112.7,51.0,51:113.76,51:114.5,51:114.47,51:114.99:509030:19.0:0,51:115.06:430494:19.0:0,51:114.88:159491:19.0:0,51:114.79:114921:19.0:0,51:114.62:359207:19.0:0,51:113.78:492888:19.0:0,51:114.8:357461:19.0:0,51:114.15:258395:19.0:0,51:114.39:347774:19.0:0,51:91.25:1245203:19.0:0,51:114.95:429354:19.0:0,[51:114.5:311608:19.0:0
MLNX_122019C100,82:111.31,82:112.05,82:112.7,82.0,82:113.76,82:114.5,83:114.47,83:114.99:509030:15.4:0,83:115.06:430494:15.4:0,83:114.88:159491:15.4:0,83:114.79:114921:15.52:10,73:114.62:359207:15.52:0,73:113.78:492888:15.52:0,73:114.8:357461:13.5:10,73:114.15:258395:13.5:0,73:114.39:347774:13.5:0,73:91.25:1245203:13.5:0,73:114.95:429354:13.5:0,[73:114.5:311608:13.5:0
MLNX_122019C105,292:111.31,292:112.05,292:112.7,295.0,295:113.76,295:114.5,295:114.47,295:114.99:509030:9.79:0,295:115.06:430494:9.79:0,295:114.88:159491:9.79:0,295:114.79:114921:10.75:1,294:114.62:359207:11.5:1,295:113.78:492888:11.5:0,295:114.8:357461:11.5:0,295:114.15:258395:11.5:0,295:114.39:347774:11.5:0,U:91.25:1245203:0.32:0:91.25:1245203:.3:U,295:114.95:429354:11.5:0,[295:114.5:311608:11.5:0
MLNX_122019C110,5698:111.31,5721:112.05,5721:112.7,5721.0,5725:113.76,5728:114.5,5728:114.47,5739:114.99:509030:6.6:0,5739:115.06:430494:6.63:750,5049:114.88:159491:6.63:0,5049:114.79:114921:6.2:4,5049:114.62:359207:6.1:251,4800:113.78:492888:5.2:726,4808:114.8:357461:5.51:15,4699:114.15:258395:5.51:0,4699:114.39:347774:5.4:15,U:91.25:1245203:U:U,4695:114.95:429354:5.4:0,[4695:114.5:311608:5.8:5
