Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
MLNX_122019P82.5,94:111.31,94:112.05,94:112.7,94.0,94:113.76,94:114.5,94:114.47,94:114.99:509030:0.95:0,94:115.06:430494:0.95:0,94:114.88:159491:0.95:0,94:114.79:114921:0.95:0,94:114.62:359207:0.95:0,94:113.78:492888:0.95:0,94:114.8:357461:0.95:0,94:114.15:258395:0.95:0,94:114.39:347774:0.95:0,94:114.36:292881:0.95:0,94:114.95:429354:0.95:0,[94:114.5:311608:0.95:0
MLNX_122019P85,213:111.31,213:112.05,213:112.7,203.0,203:113.76,203:114.5,203:114.47,203:114.99:509030:0.25:0,203:115.06:430494:0.25:0,203:114.88:159491:0.25:0,203:114.79:114921:0.25:0,203:114.62:359207:0.25:0,203:113.78:492888:0.25:0,203:114.8:357461:0.25:0,203:114.15:258395:0.25:0,203:114.39:347774:0.25:0,203:114.36:292881:0.25:0,203:114.95:429354:0.25:0,[203:114.5:311608:0.25:0
MLNX_122019P87.5,185:111.31,185:112.05,185:112.7,185.0,185:113.76,186:114.5,186:114.47,186:114.99:509030:0.15:0,186:115.06:430494:0.15:0,186:114.88:159491:0.15:0,186:114.79:114921:0.15:0,186:114.62:359207:0.15:0,186:113.78:492888:0.15:0,186:114.8:357461:0.15:0,186:114.15:258395:0.15:0,186:114.39:347774:0.15:0,186:114.36:292881:0.15:0,186:114.95:429354:0.15:0,[186:114.5:311608:0.15:0
MLNX_122019P90,1422:111.31,1422:112.05,1422:112.7,1422.0,1422:113.76,1422:114.5,1422:114.47,1422:114.99:509030:0.81:0,1422:115.06:430494:0.81:0,1422:114.88:159491:0.81:0,1422:114.79:114921:0.81:0,1422:114.62:359207:0.81:0,1422:113.78:492888:0.81:0,1422:114.8:357461:0.15:10,1422:114.15:258395:0.15:0,1422:114.39:347774:0.15:0,1422:114.36:292881:0.15:0,1422:114.95:429354:0.15:0,[1422:114.5:311608:0.15:0
MLNX_122019P92.5,278:111.31,278:112.05,278:112.7,278.0,278:113.76,278:114.5,278:114.47,278:114.99:509030:0.2:4,277:115.06:430494:0.2:0,277:114.88:159491:0.2:0,277:114.79:114921:0.2:0,277:114.62:359207:0.2:0,277:113.78:492888:0.2:0,277:114.8:357461:0.2:0,277:114.15:258395:0.05:25,294:114.39:347774:0.05:0,294:114.36:292881:0.05:0,294:114.95:429354:0.05:0,[294:114.5:311608:0.05:0
MLNX_122019P95,7300:111.31,7235:112.05,7235:112.7,7244.0,7259:113.76,7259:114.5,7259:114.47,7234:114.99:509030:0.25:1,7234:115.06:430494:0.25:0,7234:114.88:159491:0.25:0,7234:114.79:114921:0.25:0,7234:114.62:359207:0.25:0,7234:113.78:492888:0.25:0,7234:114.8:357461:0.2:39,7223:114.15:258395:0.2:32,7223:114.39:347774:0.2:30,7223:114.36:292881:0.2:0,7223:114.95:429354:0.2:0,[7223:114.5:311608:0.1:2
MLNX_122019P97.5,302:111.31,302:112.05,302:112.7,302.0,302:113.76,302:114.5,302:114.47,302:114.99:509030:0.3:1,303:115.06:430494:0.3:0,303:114.88:159491:0.3:0,303:114.79:114921:0.3:0,303:114.62:359207:0.3:0,303:113.78:492888:0.3:0,303:114.8:357461:0.3:0,303:114.15:258395:0.3:0,303:114.39:347774:0.3:0,303:114.36:292881:0.3:0,303:114.95:429354:0.3:0,[303:114.5:311608:0.3:0
MLNX_122019P100,4238:111.31,4238:112.05,4238:112.7,4238.0,4238:113.76,4238:114.5,4244:114.47,4244:114.99:509030:0.6:834,4216:115.06:430494:0.6:0,4216:114.88:159491:0.6:0,4216:114.79:114921:0.6:0,4216:114.62:359207:0.6:0,4216:113.78:492888:0.6:157,4273:114.8:357461:0.4:32,4257:114.15:258395:0.4:0,4257:114.39:347774:0.4:0,4257:114.36:292881:0.35:26,4283:114.95:429354:0.35:0,[4283:114.5:311608:0.35:8
MLNX_122019P105,4920:111.31,4945:112.05,4945:112.7,4947.0,4962:113.76,4962:114.5,4965:114.47,4980:114.99:509030:0.6:116,5085:115.06:430494:0.6:0,5085:114.88:159491:0.6:0,5085:114.79:114921:0.75:203,5085:114.62:359207:0.65:250,5060:113.78:492888:0.65:0,5060:114.8:357461:0.65:0,5060:114.15:258395:0.6:35,5085:114.39:347774:0.95:3,5088:114.36:292881:0.95:0,5088:114.95:429354:0.5:313,[4987:114.5:311608:0.65:333
MLNX_122019P110,2451:111.31,2451:112.05,2451:112.7,2451.0,2466:113.76,2478:114.5,2528:114.47,2578:114.99:509030:1.5:55,2633:115.06:430494:1.05:760,2643:114.88:159491:1.05:0,2643:114.79:114921:1.0:5,2648:114.62:359207:1.2:11,2659:113.78:492888:1.35:100,2751:114.8:357461:1.35:0,2751:114.15:258395:1.0:55,2806:114.39:347774:1.05:29,2810:114.36:292881:0.9:10,2820:114.95:429354:0.82:114,[2909:114.5:311608:1.15:1613
MLNX_122019P115,2649:111.31,2649:112.05,2649:112.7,2649.0,2649:113.76,2649:114.5,2649:114.47,2649:114.99:509030:4.0:0,2649:115.06:430494:4.0:0,2649:114.88:159491:4.0:0,2649:114.79:114921:4.0:0,2649:114.62:359207:4.0:0,2649:113.78:492888:4.0:0,2649:114.8:357461:4.0:0,2649:114.15:258395:4.0:0,2649:114.39:347774:4.0:0,2649:114.36:292881:4.0:0,2649:114.95:429354:4.0:0,[2649:114.5:311608:2.5:5
