Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120
MRK_112219C80.5,8:85.1,4:86.22,4:86.66,4.0,4:83.9,4:82.92,14:83.25,20:82.88:8826647:2.77:92,105:83.59:6322300:2.77:0,105:83.28:3459151:2.77:0,105:84.12:8104363:2.77:0,U:114.62:359207::,105:84.55:7530698:2.77:0,105:84.9:9017700:2.77:0,105:84.13:10211803:2.77:0,105:84.65:9247540:4.0:1,106:85.17:4403882:4.7:16
MRK_112219C81,8:85.1,7:86.22,7:86.66,7.0,7:83.9,7:82.92,11:83.25,11:82.88:8826647:2.74:1,12:83.59:6322300:2.82:1,12:83.28:3459151:2.46:4,15:84.12:8104363:2.95:1,14:114.62:359207:4.1:4,10:84.55:7530698:3.75:2,8:84.9:9017700:4.05:1,8:84.13:10211803:3.27:2,8:84.65:9247540:3.8:3,8:85.17:4403882:4.1:12
MRK_112219C81.5,51:85.1,47:86.22,42:86.66,42.0,42:83.9,42:82.92,42:83.25,42:82.88:8826647:5.05:0,42:83.59:6322300:5.05:0,42:83.28:3459151:5.05:0,42:84.12:8104363:5.05:0,42:114.62:359207:3.45:24,57:84.55:7530698:3.45:0,57:84.9:9017700:3.45:0,57:84.13:10211803:2.6:2,58:84.65:9247540:3.35:2,58:85.17:4403882:3.35:0
MRK_112219C82,78:85.1,31:86.22,31:86.66,33.0,33:83.9,33:82.92,34:83.25,39:82.88:8826647:2.5:1,39:83.59:6322300:2.03:1,40:83.28:3459151:1.7:10,42:84.12:8104363:1.7:0,42:114.62:359207:3.0:1,41:84.55:7530698:2.21:3,43:84.9:9017700:3.1:2,42:84.13:10211803:2.19:2,41:84.65:9247540:2.24:1,41:85.17:4403882:3.0:5
MRK_112219C82.5,72:85.1,71:86.22,70:86.66,70.0,70:83.9,70:82.92,89:83.25,88:82.88:8826647:1.36:81,179:83.59:6322300:1.65:222,222:83.28:3459151:1.37:30,222:84.12:8104363:2.19:101,241:114.62:359207:2.19:0,241:84.55:7530698:2.0:6,243:84.9:9017700:2.69:1,243:84.13:10211803:1.73:9,242:84.65:9247540:2.34:3,243:85.17:4403882:2.66:7
MRK_112219C83,33:85.1,30:86.22,35:86.66,35.0,36:83.9,42:82.92,61:83.25,134:82.88:8826647:1.15:9,134:83.59:6322300:1.15:0,134:83.28:3459151:1.08:31,153:84.12:8104363:1.77:57,162:114.62:359207:2.3:17,169:84.55:7530698:1.86:103,198:84.9:9017700:2.1:31,188:84.13:10211803:1.45:88,187:84.65:9247540:1.4:33,194:85.17:4403882:2.1:40
MRK_112219C83.5,61:85.1,61:86.22,62:86.66,70.0,70:83.9,70:82.92,87:83.25,105:82.88:8826647:0.85:96,170:83.59:6322300:1.07:169,239:83.28:3459151:0.81:301,529:84.12:8104363:1.68:24,515:114.62:359207:1.8:14,513:84.55:7530698:1.55:125,523:84.9:9017700:1.78:49,506:84.13:10211803:1.13:3,507:84.65:9247540:1.48:122,461:85.17:4403882:1.63:21
MRK_112219C84,41:85.1,122:86.22,117:86.66,117.0,117:83.9,123:82.92,251:83.25,263:82.88:8826647:0.64:29,275:83.59:6322300:0.83:72,290:83.28:3459151:0.62:120,316:84.12:8104363:1.11:193,311:114.62:359207:1.43:135,322:84.55:7530698:1.15:234,485:84.9:9017700:1.34:29,495:84.13:10211803:0.73:205,637:84.65:9247540:0.99:222,677:85.17:4403882:1.3:64
MRK_112219C84.5,60:85.1,52:86.22,50:86.66,51.0,51:83.9,51:82.92,65:83.25,88:82.88:8826647:0.58:25,87:83.59:6322300:0.58:88,132:83.28:3459151:0.45:54,161:84.12:8104363:0.87:89,204:114.62:359207:1.07:38,180:84.55:7530698:0.8:84,235:84.9:9017700:0.99:91,201:84.13:10211803:0.47:402,338:84.65:9247540:0.66:646,418:85.17:4403882:0.88:249
MRK_112219C85,344:85.1,331:86.22,285:86.66,284.0,285:83.9,287:82.92,300:83.25,301:82.88:8826647:0.37:64,303:83.59:6322300:0.47:150,331:83.28:3459151:0.31:22,335:84.12:8104363:0.52:131,402:114.62:359207:0.82:586,840:84.55:7530698:0.61:304,1016:84.9:9017700:0.74:303,995:84.13:10211803:0.3:243,1134:84.65:9247540:0.44:669,1243:85.17:4403882:0.6:462
MRK_112219C85.5,101:85.1,112:86.22,111:86.66,111.0,114:83.9,134:82.92,141:83.25,153:82.88:8826647:0.27:9,166:83.59:6322300:0.3:2,168:83.28:3459151:0.22:15,180:84.12:8104363:0.42:73,199:114.62:359207:0.66:21,220:84.55:7530698:0.45:47,227:84.9:9017700:0.54:137,329:84.13:10211803:0.16:122,403:84.65:9247540:0.25:283,442:85.17:4403882:0.35:260
MRK_112219C86,112:85.1,125:86.22,153:86.66,133.0,133:83.9,132:82.92,140:83.25,144:82.88:8826647:0.24:9,147:83.59:6322300:0.3:2,149:83.28:3459151:0.17:42,153:84.12:8104363:0.3:58,177:114.62:359207:0.47:37,194:84.55:7530698:0.19:37,193:84.9:9017700:0.36:486,555:84.13:10211803:0.08:170,645:84.65:9247540:0.13:309,797:85.17:4403882:0.19:694
MRK_112219C86.5,19:85.1,215:86.22,288:86.66,327.0,383:83.9,353:82.92,352:83.25,347:82.88:8826647:0.14:114,404:83.59:6322300:0.18:2,402:83.28:3459151:0.12:131,511:84.12:8104363:0.23:201,U:114.62:359207:.8:,456:84.55:7530698:0.2:65,472:84.9:9017700:0.2:62,482:84.13:10211803:0.05:384,830:84.65:9247540:0.07:42,854:85.17:4403882:0.09:159
