Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
MRVL_112219C20.5,13:25.15,13:24.71,13:24.4,13:24.39,13.0,13:26.8,13:27.04,13:26.66,13:26.88:4061819:3.66:0,13:27.07:6338515:3.66:0,13:26.95:3833347:3.66:0,13:28.07:15643199:3.66:0,13:28.11:8647447:3.66:0,13:26.99:13200530:3.66:0,13:26.86:7400860:3.66:0,U:84.13:10211803::,13:26.3522:4112390:3.66:0,13:26.14:4585247:3.66:0,U:25.99:3536446:U:U
MRVL_112219C21,0:25.15,0:24.71,0:24.4,0:24.39,0.0,0:26.8,0:27.04,0:26.66,0:26.88:4061819:0.0:0,0:27.07:6338515:0.0:0,0:26.95:3833347:0.0:0,0:28.07:15643199:0.0:0,0:28.11:8647447:0.0:0,0:26.99:13200530:0.0:0,0:26.86:7400860:0.0:0,U:84.13:10211803::,0:26.3522:4112390:0.0:0,0:26.14:4585247:0.0:0,[0:25.99:3536446:0.0:0
MRVL_112219C21.5,0:25.15,0:24.71,0:24.4,0:24.39,0.0,0:26.8,0:27.04,0:26.66,0:26.88:4061819:0.0:0,0:27.07:6338515:0.0:0,0:26.95:3833347:0.0:0,0:28.07:15643199:0.0:0,0:28.11:8647447:0.0:0,0:26.99:13200530:0.0:0,0:26.86:7400860:0.0:0,0:84.13:10211803:0.0:0,0:26.3522:4112390:0.0:0,0:26.14:4585247:0.0:0,[0:25.99:3536446:0.0:0
MRVL_112219C22,1:25.15,1:24.71,6:24.4,6:24.39,6.0,6:26.8,6:27.04,6:26.66,6:26.88:4061819:2.83:0,6:27.07:6338515:2.83:0,6:26.95:3833347:2.83:0,6:28.07:15643199:2.83:0,6:28.11:8647447:2.83:0,6:26.99:13200530:2.83:0,6:26.86:7400860:2.83:0,U:84.13:10211803::,6:26.3522:4112390:2.83:0,6:26.14:4585247:2.83:0,[6:25.99:3536446:2.83:0
MRVL_112219C22.5,6:25.15,6:24.71,6:24.4,6:24.39,6.0,6:26.8,6:27.04,6:26.66,6:26.88:4061819:2.66:0,6:27.07:6338515:2.66:0,6:26.95:3833347:2.66:0,6:28.07:15643199:2.66:0,6:28.11:8647447:2.66:0,6:26.99:13200530:2.66:0,6:26.86:7400860:2.66:0,U:84.13:10211803::,6:26.3522:4112390:2.66:0,6:26.14:4585247:3.57:2,[8:25.99:3536446:3.7:2
MRVL_112219C23,13:25.15,21:24.71,18:24.4,18:24.39,18.0,18:26.8,18:27.04,18:26.66,18:26.88:4061819:2.05:0,18:27.07:6338515:2.05:0,18:26.95:3833347:2.05:0,18:28.07:15643199:2.05:0,18:28.11:8647447:2.05:0,18:26.99:13200530:4.02:1,19:26.86:7400860:4.02:0,U:84.13:10211803::,19:26.3522:4112390:3.31:0,19:26.14:4585247:3.31:0,[17:25.99:3536446:3.31:0
MRVL_112219C23.5,15:25.15,15:24.71,15:24.4,15:24.39,15.0,15:26.8,15:27.04,15:26.66,15:26.88:4061819:1.08:0,15:27.07:6338515:1.08:0,15:26.95:3833347:1.08:0,15:28.07:15643199:4.8:15,12:28.11:8647447:4.8:0,12:26.99:13200530:4.8:0,12:26.86:7400860:4.8:0,U:84.13:10211803::,12:26.3522:4112390:2.98:3,14:26.14:4585247:2.57:1,[13:25.99:3536446:2.74:2
MRVL_112219C24,24:25.15,24:24.71,24:24.4,24:24.39,24.0,24:26.8,26:27.04,26:26.66,25:26.88:4061819:2.72:0,25:27.07:6338515:2.72:0,25:26.95:3833347:2.72:0,25:28.07:15643199:4.36:2,23:28.11:8647447:4.36:0,23:26.99:13200530:2.9:20,43:26.86:7400860:2.9:0,U:84.13:10211803::,43:26.3522:4112390:2.26:1,43:26.14:4585247:2.26:0,[43:25.99:3536446:2.26:0
MRVL_112219C24.5,104:25.15,107:24.71,107:24.4,107:24.39,78.0,75:26.8,75:27.04,75:26.66,75:26.88:4061819:2.9:0,75:27.07:6338515:2.9:0,75:26.95:3833347:2.9:0,75:28.07:15643199:2.9:0,75:28.11:8647447:2.9:0,75:26.99:13200530:2.5:8,83:26.86:7400860:2.5:0,83:84.13:10211803:2.5:0,83:26.3522:4112390:2.5:0,83:26.14:4585247:2.5:0,[75:25.99:3536446:1.54:4
MRVL_112219C25,633:25.15,654:24.71,657:24.4,652:24.39,653.0,681:26.8,677:27.04,684:26.66,687:26.88:4061819:1.88:0,687:27.07:6338515:1.95:13,691:26.95:3833347:1.95:0,691:28.07:15643199:2.96:23,690:28.11:8647447:3.0:22,690:26.99:13200530:2.1:2,688:26.86:7400860:2.1:0,688:84.13:10211803:2.1:0,688:26.3522:4112390:1.29:563,169:26.14:4585247:1.29:0,[679:25.99:3536446:1.01:25
