Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
MRVL_112219P20.5,0:25.15,0:24.71,0:24.4,0:24.39,0.0,0:26.8,0:27.04,0:26.66,0:26.88:4061819:0.0:0,0:27.07:6338515:0.0:0,0:26.95:3833347:0.0:0,0:28.07:15643199:0.0:0,0:28.11:8647447:0.0:0,0:26.99:13200530:0.0:0,0:26.86:7400860:0.0:0,U:84.13:10211803::,0:26.355:4123083:0.0:0,0:26.14:4585247:0.0:0,0:25.99:3536446:0.0:0:0:0:0.0:0
MRVL_112219P21,20:25.15,20:24.71,20:24.4,20:24.39,20.0,20:26.8,20:27.04,20:26.66,20:26.88:4061819:0.15:0,20:27.07:6338515:0.15:0,20:26.95:3833347:0.15:0,20:28.07:15643199:0.15:0,20:28.11:8647447:0.15:0,20:26.99:13200530:0.15:0,20:26.86:7400860:0.15:0,20:84.13:10211803:0.15:0,20:26.355:4123083:0.15:0,20:26.14:4585247:0.15:0,20:0:0:0.15:0
MRVL_112219P21.5,41:25.15,50:24.71,50:24.4,50:24.39,50.0,50:26.8,50:27.04,50:26.66,50:26.88:4061819:0.08:0,50:27.07:6338515:0.08:0,50:26.95:3833347:0.08:0,50:28.07:15643199:0.08:0,50:28.11:8647447:0.08:0,50:26.99:13200530:0.08:0,50:26.86:7400860:0.08:0,50:84.13:10211803:0.08:0,50:26.355:4123083:0.08:0,50:26.14:4585247:0.08:0,50:0:0:0.08:0
MRVL_112219P22,96:25.15,105:24.71,105:24.4,105:24.39,105.0,126:26.8,124:27.04,124:26.66,124:26.88:4061819:0.03:0,124:27.07:6338515:0.03:0,124:26.95:3833347:0.03:0,124:28.07:15643199:0.03:0,124:28.11:8647447:0.03:0,124:26.99:13200530:0.03:0,124:26.86:7400860:0.03:0,124:84.13:10211803:0.01:60,181:26.355:4123083:0.01:0,181:26.14:4585247:0.01:0,181:0:0:0.01:0
MRVL_112219P22.5,31:25.15,31:24.71,31:24.4,31:24.39,31.0,31:26.8,30:27.04,30:26.66,30:26.88:4061819:0.05:0,30:27.07:6338515:0.05:0,30:26.95:3833347:0.05:0,30:28.07:15643199:0.05:0,30:28.11:8647447:0.05:0,30:26.99:13200530:0.05:0,30:26.86:7400860:0.05:0,30:84.13:10211803:0.05:0,30:26.355:4123083:0.05:0,30:26.14:4585247:0.02:1,29:0:0:0.02:0
MRVL_112219P23,29:25.15,26:24.71,26:24.4,26:24.39,26.0,28:26.8,28:27.04,26:26.66,26:26.88:4061819:0.02:0,26:27.07:6338515:0.02:2,26:26.95:3833347:0.02:3,26:28.07:15643199:0.02:0,26:28.11:8647447:0.02:0,26:26.99:13200530:0.02:0,26:26.86:7400860:0.02:0,26:84.13:10211803:0.02:0,26:26.355:4123083:0.02:0,26:26.14:4585247:0.02:0,U:0:0:U:U
MRVL_112219P23.5,24:25.15,35:24.71,49:24.4,89:24.39,89.0,89:26.8,50:27.04,46:26.66,46:26.88:4061819:0.04:0,46:27.07:6338515:0.02:25,63:26.95:3833347:0.02:0,63:28.07:15643199:0.01:4,61:28.11:8647447:0.01:0,61:26.99:13200530:0.01:0,61:26.86:7400860:0.01:0,61:84.13:10211803:0.01:0,61:26.355:4123083:0.01:0,61:26.14:4585247:0.01:0,61:0:0:0.01:0
MRVL_112219P24,42:25.15,24:24.71,24:24.4,24:24.39,24.0,24:26.8,24:27.04,24:26.66,24:26.88:4061819:0.07:0,24:27.07:6338515:0.07:0,24:26.95:3833347:0.07:0,24:28.07:15643199:0.02:7,31:28.11:8647447:0.02:0,31:26.99:13200530:0.02:54,85:26.86:7400860:0.02:0,85:84.13:10211803:0.02:710,795:26.355:4123083:0.02:0,795:26.14:4585247:0.02:0,795:0:0:0.02:0
MRVL_112219P24.5,79:25.15,79:24.71,79:24.4,79:24.39,79.0,80:26.8,80:27.04,80:26.66,80:26.88:4061819:0.21:0,80:27.07:6338515:0.21:0,80:26.95:3833347:0.21:0,80:28.07:15643199:0.21:0,80:28.11:8647447:0.21:0,80:26.99:13200530:0.21:0,80:26.86:7400860:0.21:0,80:84.13:10211803:0.04:319,399:26.355:4123083:0.04:0,399:26.14:4585247:0.04:0,399:0:0:0.01:50
MRVL_112219P25,28:25.15,28:24.71,28:24.4,28:24.39,28.0,32:26.8,32:27.04,37:26.66,42:26.88:4061819:0.2:0,42:27.07:6338515:0.13:21,58:26.95:3833347:0.08:19,61:28.07:15643199:0.08:0,61:28.11:8647447:0.03:33,80:26.99:13200530:0.07:22,83:26.86:7400860:0.04:950,996:84.13:10211803:0.05:555,948:26.355:4123083:0.03:0,948:26.14:4585247:0.03:0,948:0:0:0.03:0
