Symbol,20191024,20191025,20191028,20191029,20191030,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
MSFT_112219P128,330.0,337:140.74,638:144.19,640:142.83,641:143.55,1252:144.26:17771424:0.1:0,1252:145.96:16555593:0.06:45,1248:146.11:14344868:0.04:164,1378:147.07:17991244:0.02:70,1379:147.31:16919179:0.02:2,1379:148.06:19685328:0.03:70,1387:149.97:23453151:0.01:329,U:84.13:10211803::,1282:149.4:19991472:0.01:0,1300:149.48:18568401:0.01:0,1300:0:0:0.01:0
MSFT_112219P129,697.0,1081:140.74,1075:144.19,1062:142.83,1058:143.5,1107:144.26:17771424:0.1:2,1107:145.96:16555593:0.07:229,1096:146.11:14344868:0.05:20,1090:147.07:17991244:0.05:0,1090:147.31:16919179:0.03:7,1083:148.06:19685328:0.03:21,1064:149.97:23453151:0.02:40,1034:84.13:10211803:0.04:2,1032:149.4:19991472:0.04:0,1032:149.48:18568401:0.01:1,1031:0:0:0.01:0
MSFT_112219P130,907.0,1056:140.74,1086:144.19,1031:142.83,1033:143.47,862:144.26:17771424:0.12:33,860:145.96:16555593:0.08:201,847:146.11:14344868:0.05:97,879:147.07:17991244:0.03:40,861:147.31:16919179:0.03:36,848:148.06:19685328:0.04:9,857:149.97:23453151:0.02:10,854:84.13:10211803:0.01:17,838:149.4:19991472:0.01:0,838:149.48:18568401:0.01:0,838:0:0:0.01:0
MSFT_112219P131,139.0,158:140.74,201:144.19,197:142.83,197:143.5056,191:144.26:17771424:0.12:2,189:145.96:16555593:0.12:0,189:146.11:14344868:0.06:19,188:147.07:17991244:0.05:24,180:147.31:16919179:0.03:4,184:148.06:19685328:0.06:76,219:149.97:23453151:0.06:0,U:84.13:10211803:::84.13:10211803::,219:149.4:19991472:0.01:0,219:149.48:18568401:0.01:0,U:0:0:U:U
MSFT_112219P132,466.0,538:140.74,925:144.19,882:142.83,891:143.49,890:144.26:17771424:0.12:10,880:145.96:16555593:0.1:25,880:146.11:14344868:0.09:100,963:147.07:17991244:0.04:20,948:147.31:16919179:0.04:5,949:148.06:19685328:0.07:92,942:149.97:23453151:0.03:8,938:84.13:10211803:0.01:14,U:149.4:19991472:U:U,934:149.48:18568401:0.01:0,934:0:0:0.01:0
MSFT_112219P133,335.0,432:140.74,455:144.19,486:142.83,484:143.41,478:144.26:17771424:0.15:28,476:145.96:16555593:0.12:6,474:146.11:14344868:0.08:13,463:147.07:17991244:0.05:4,459:147.31:16919179:0.05:48,476:148.06:19685328:0.07:122,509:149.97:23453151:0.04:370,802:84.13:10211803:0.01:1,802:149.4:19991472:0.02:252,1051:149.48:18568401:0.01:7,1047:0:0:0.01:2
MSFT_112219P134,440.0,507:140.74,519:144.19,565:142.83,566:143.4825,659:144.26:17771424:0.15:32,647:145.96:16555593:0.13:195,702:146.11:14344868:0.09:65,750:147.07:17991244:0.06:57,746:147.31:16919179:0.06:2,746:148.06:19685328:0.06:7,743:149.97:23453151:0.04:316,808:84.13:10211803:0.01:59,818:149.4:19991472:0.03:15,834:149.48:18568401:0.03:2,U:0:0:U:U
MSFT_112219P135,2648.0,2269:140.74,2338:144.19,2373:142.83,2423:143.47,2395:144.26:17771424:0.24:154,2384:145.96:16555593:0.15:414,2311:146.11:14344868:0.11:361,2574:147.07:17991244:0.07:196,2578:147.31:16919179:0.06:319,2675:148.06:19685328:0.07:314,2669:149.97:23453151:0.06:418,2384:84.13:10211803:0.04:258,2474:149.4:19991472:0.02:88,2547:149.48:18568401:0.01:4,2547:0:0:0.01:0
MSFT_112219P136,756.0,814:140.74,903:144.19,892:142.83,955:143.48,1009:144.26:17771424:0.28:86,1064:145.96:16555593:0.2:160,1138:146.11:14344868:0.13:76,1154:147.07:17991244:0.07:58,1136:147.31:16919179:0.07:5,1131:148.06:19685328:0.09:825,1792:149.97:23453151:0.04:252,1851:84.13:10211803:0.03:101,1886:149.4:19991472:0.02:426,2106:149.48:18568401:0.01:543,U:0:0:U:U
MSFT_112219P137,883.0,937:140.74,966:144.19,978:142.83,979:143.45,1205:144.26:17771424:0.35:69,1217:145.96:16555593:0.21:67,1246:146.11:14344868:0.15:76,1279:147.07:17991244:0.09:138,1294:147.31:16919179:0.08:88,1318:148.06:19685328:0.11:146,1304:149.97:23453151:0.05:46,1321:84.13:10211803:0.02:63,1279:149.4:19991472:0.04:125,1327:149.48:18568401:0.01:62,1317:0:0:0.02:14
MSFT_112219P138,243.0,299:140.74,343:144.19,325:142.83,362:143.47,449:144.26:17771424:0.39:136,450:145.96:16555593:0.25:371,645:146.11:14344868:0.18:88,707:147.07:17991244:0.12:38,692:147.31:16919179:0.1:56,679:148.06:19685328:0.13:1089,1650:149.97:23453151:0.05:356,U:84.13:10211803::,1814:149.4:19991472:0.04:489,1845:149.48:18568401:0.01:117,1796:0:0:0.01:12
MSFT_112219P139,264.0,288:140.74,302:144.19,416:142.83,435:143.48,677:144.26:17771424:0.47:70,708:145.96:16555593:0.31:464,1014:146.11:14344868:0.23:175,1065:147.07:17991244:0.14:52,1039:147.31:16919179:0.11:108,1004:148.06:19685328:0.14:412,1322:149.97:23453151:0.06:230,1395:84.13:10211803:0.03:814,1997:149.4:19991472:0.04:269,2051:149.48:18568401:0.01:277,U:0:0:U:U
