Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
MU_112219C43.5,32:48.11,32:47.88,32:47.55,60.0,61:49.59,61:48.68,61:47.68,61:48.4:19240709:4.75:0,61:47.19:18438887:4.75:0,61:46.26:14572652:3.05:11,71:46.9:14999727:3.8:20,74:46.3:15423560:2.87:1,75:46.8:11758713:3.05:1,76:47.71:17700320:4.0:10,U:84.13:10211803::,86:45.44:17281850:2.15:31,109:45.55:14181598:2.02:57,[150:45.87:11246001:2.45:57
MU_112219C44,153:48.11,153:47.88,152:47.55,152.0,141:49.59,141:48.68,141:47.68,141:48.4:19240709:5.94:0,141:47.19:18438887:3.39:6,146:46.26:14572652:2.58:23,149:46.9:14999727:3.15:34,147:46.3:15423560:2.39:20,149:46.8:11758713:2.94:55,177:47.71:17700320:3.8:101,U:84.13:10211803::,344:45.44:17281850:1.65:275,430:45.55:14181598:1.6:20,[423:45.87:11246001:1.83:345
MU_112219C44.5,132:48.11,132:47.88,132:47.55,197.0,197:49.59,179:48.68,168:47.68,131:48.4:19240709:4.45:15,146:47.19:18438887:4.45:0,146:46.26:14572652:2.26:109,158:46.9:14999727:2.26:0,158:46.3:15423560:2.02:209,225:46.8:11758713:2.65:781,439:47.71:17700320:3.35:13,447:84.13:10211803:3.4:2,427:45.44:17281850:1.24:280,540:45.55:14181598:1.19:84,[559:45.87:11246001:1.43:88
MU_112219C45,262:48.11,263:47.88,287:47.55,339.0,338:49.59,301:48.68,304:47.68,252:48.4:19240709:3.77:45,270:47.19:18438887:2.77:56,312:46.26:14572652:2.01:730,529:46.9:14999727:2.36:717,485:46.3:15423560:1.92:1201,707:46.8:11758713:2.18:324,697:47.71:17700320:2.83:445,U:84.13:10211803::,658:45.44:17281850:0.88:443,699:45.55:14181598:0.72:372,[726:45.87:11246001:0.84:335
MU_112219C45.5,81:48.11,81:47.88,111:47.55,165.0,174:49.59,174:48.68,172:47.68,166:48.4:19240709:2.73:0,166:47.19:18438887:2.45:13,173:46.26:14572652:1.56:63,161:46.9:14999727:1.99:91,184:46.3:15423560:1.5:1215,459:46.8:11758713:1.79:104,473:47.71:17700320:2.45:33,U:84.13:10211803::,501:45.44:17281850:0.58:720,698:45.55:14181598:0.4:666,[816:45.87:11246001:0.35:563
MU_112219C46,244:48.11,250:47.88,250:47.55,292.0,284:49.59,289:48.68,374:47.68,355:48.4:19240709:2.71:52,385:47.19:18438887:2.05:49,419:46.26:14572652:1.27:336,535:46.9:14999727:1.64:306,611:46.3:15423560:1.23:1689,1017:46.8:11758713:1.47:434,1023:47.71:17700320:1.97:285,U:84.13:10211803::,1400:45.44:17281850:0.37:2841,2491:45.55:14181598:0.18:2943,[2838:45.87:11246001:0.01:3471
MU_112219C46.5,239:48.11,241:47.88,245:47.55,242.0,303:49.59,298:48.68,295:47.68,258:48.4:19240709:2.6:115,287:47.19:18438887:1.73:459,229:46.26:14572652:1.02:380,446:46.9:14999727:1.32:192,543:46.3:15423560:0.98:575,718:46.8:11758713:1.19:418,848:47.71:17700320:1.64:280,895:84.13:10211803:1.63:283,1144:45.44:17281850:0.22:2963,1583:45.55:14181598:0.09:899,[1870:45.87:11246001:0.01:1610
MU_112219C47,327:48.11,320:47.88,311:47.55,310.0,334:49.59,310:48.68,326:47.68,329:48.4:19240709:2.52:110,403:47.19:18438887:1.39:935,551:46.26:14572652:0.79:713,712:46.9:14999727:1.04:721,850:46.3:15423560:0.74:1115,1498:46.8:11758713:0.94:620,1685:47.71:17700320:1.35:1208,1944:84.13:10211803:1.27:564,2555:45.44:17281850:0.12:4060,3308:45.55:14181598:0.04:2268,[3041:45.87:11246001:0.01:1464
MU_112219C47.5,407:48.11,402:47.88,528:47.55,525.0,530:49.59,488:48.68,430:47.68,466:48.4:19240709:1.94:220,552:47.19:18438887:1.13:639,590:46.26:14572652:0.61:454,698:46.9:14999727:0.82:736,1028:46.3:15423560:0.57:1289,1573:46.8:11758713:0.71:551,1848:47.71:17700320:1.06:1528,2161:84.13:10211803:0.95:885,2474:45.44:17281850:0.06:3240,2871:45.55:14181598:0.02:844,[2828:45.87:11246001:0.01:506
MU_112219C48,361:48.11,370:47.88,439:47.55,454.0,477:49.59,453:48.68,425:47.68,467:48.4:19240709:1.72:130,539:47.19:18438887:0.9:247,662:46.26:14572652:0.45:403,672:46.9:14999727:0.62:1281,1230:46.3:15423560:0.41:804,1722:46.8:11758713:0.52:766,2068:47.71:17700320:0.8:3638,U:84.13:10211803::,4276:45.44:17281850:0.04:1922,3879:45.55:14181598:0.01:1639,[3710:45.87:11246001:0.01:283
