Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
MU_112219P43.5,45:48.11,45:47.88,45:47.55,49.0,49:49.59,49:48.68,49:47.68,75:48.4:19240709:0.14:1,76:47.19:18438887:0.29:42,116:46.26:14572652:0.28:111,216:46.9:14999727:0.21:79,265:46.3:15423560:0.24:121,328:46.8:11758713:0.17:51,367:47.71:17700320:0.07:11,365:84.13:10211803:0.04:17,911:45.435:17292014:0.08:527,1315:45.55:14181598:0.04:87,1366:0:0:0.02:28
MU_112219P44,163:48.11,193:47.88,211:47.55,211.0,213:49.59,209:48.68,209:47.68,327:48.4:19240709:0.18:14,338:47.19:18438887:0.33:49,346:46.26:14572652:0.34:195,444:46.9:14999727:0.26:36,432:46.3:15423560:0.37:262,550:46.8:11758713:0.23:368,788:47.71:17700320:0.09:124,781:84.13:10211803:0.05:285,2242:45.435:17292014:0.14:1854,1858:45.55:14181598:0.05:689,2032:0:0:0.01:62
MU_112219P44.5,77:48.11,80:47.88,80:47.55,86.0,83:49.59,113:48.68,124:47.68,130:48.4:19240709:0.24:4,126:47.19:18438887:0.44:3,129:46.26:14572652:0.43:358,405:46.9:14999727:0.37:60,432:46.3:15423560:0.42:99,486:46.8:11758713:0.31:65,489:47.71:17700320:0.13:431,740:84.13:10211803:0.07:452,1458:45.435:17292014:0.24:1238,1790:45.55:14181598:0.1:598,1782:0:0:0.01:47
MU_112219P45,410:48.11,414:47.88,442:47.55,451.0,463:49.59,468:48.68,461:47.68,486:48.4:19240709:0.39:261,637:47.19:18438887:0.54:123,711:46.26:14572652:0.61:374,900:46.9:14999727:0.44:321,957:46.3:15423560:0.55:299,1088:46.8:11758713:0.39:182,1109:47.71:17700320:0.2:214,1152:84.13:10211803:0.1:252,2381:45.435:17292014:0.37:2319,2963:45.55:14181598:0.19:2498,3464:0:0:0.01:1621
MU_112219P45.5,83:48.11,83:47.88,84:47.55,228.0,203:49.59,218:48.68,220:47.68,200:48.4:19240709:0.34:67,261:47.19:18438887:0.64:53,275:46.26:14572652:0.78:332,408:46.9:14999727:0.56:145,470:46.3:15423560:0.71:97,512:46.8:11758713:0.52:148,595:47.71:17700320:0.28:280,677:84.13:10211803:0.14:784,1139:45.435:17292014:0.58:1279,1603:45.55:14181598:0.36:3562,2625:0:0:0.01:994
MU_112219P46,225:48.11,225:47.88,224:47.55,291.0,313:49.59,344:48.68,350:47.68,307:48.4:19240709:0.45:139,421:47.19:18438887:0.82:253,557:46.26:14572652:0.97:949,905:46.9:14999727:0.73:404,957:46.3:15423560:0.9:416,1128:46.8:11758713:0.69:287,1165:47.71:17700320:0.36:695,1338:84.13:10211803:0.22:711,2811:45.435:17292014:0.85:9143,7034:45.55:14181598:0.66:3402,5086:0:0:0.16:5000
MU_112219P46.5,42:48.11,56:47.88,96:47.55,165.0,169:49.59,171:48.68,180:47.68,133:48.4:19240709:0.51:117,199:47.19:18438887:1.06:101,292:46.26:14572652:1.19:247,367:46.9:14999727:0.92:3050,3023:46.3:15423560:1.13:203,3040:46.8:11758713:0.88:513,3095:47.71:17700320:0.49:3337,1124:84.13:10211803:0.32:1031,2441:45.435:17292014:1.14:755,2420:45.55:14181598:1.03:343,2242:0:0:0.65:825
MU_112219P47,46:48.11,22:47.88,41:47.55,144.0,157:49.59,198:48.68,184:47.68,189:48.4:19240709:0.7:152,283:47.19:18438887:1.22:236,402:46.26:14572652:1.5:339,484:46.9:14999727:1.15:742,819:46.3:15423560:1.43:129,848:46.8:11758713:1.11:2885,1276:47.71:17700320:0.63:2331,2705:84.13:10211803:0.46:980,2476:45.435:17292014:1.6:1539,2272:45.55:14181598:1.46:91,2261:0:0:1.19:227
MU_112219P47.5,33:48.11,36:47.88,39:47.55,45.0,99:49.59,106:48.68,169:47.68,312:48.4:19240709:1.07:408,459:47.19:18438887:1.46:53,469:46.26:14572652:1.7:13,463:46.9:14999727:1.45:325,524:46.3:15423560:1.72:22,534:46.8:11758713:1.39:64,561:47.71:17700320:0.84:757,812:84.13:10211803:0.63:1669,1060:45.435:17292014:2.06:114,1020:45.55:14181598:1.97:40,984:0:0:1.69:596
MU_112219P48,25:48.11,26:47.88,56:47.55,97.0,120:49.59,141:48.68,140:47.68,172:48.4:19240709:1.23:657,506:47.19:18438887:1.7:485,635:46.26:14572652:2.14:214,651:46.9:14999727:1.42:319,575:46.3:15423560:2.37:46,581:46.8:11758713:1.7:47,611:47.71:17700320:1.09:8945,6534:84.13:10211803:0.86:2551,6157:45.435:17292014:2.48:5773,2973:45.55:14181598:2.41:60,2895:0:0:2.2:172
