Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
MXIM_122019C30,0:60.55,0:60.87,0:59.64,0:59.6:1398678:0.0:0,0:59.55:1365651:0.0:0,0:59.1:1157504:0.0:0,0:58.39:2410820:0.0:0,0:58.46:2072629:0.0:0,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,0:45.435:17292014:0.0:0,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_122019C35,0:60.55,0:60.87,0:59.64,0:59.6:1398678:0.0:0,0:59.55:1365651:0.0:0,0:59.1:1157504:0.0:0,0:58.39:2410820:0.0:0,0:58.46:2072629:0.0:0,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,U:45.435:17292014:U:U,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_122019C40,0:60.55,0:60.87,0:59.64,0:59.6:1398678:0.0:0,0:59.55:1365651:0.0:0,0:59.1:1157504:0.0:0,0:58.39:2410820:0.0:0,0:58.46:2072629:0.0:0,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,0:45.435:17292014:0.0:0,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_122019C45,0:60.55,0:60.87,0:59.64,0:59.6:1398678:0.0:0,0:59.55:1365651:0.0:0,0:59.1:1157504:0.0:0,0:58.39:2410820:0.0:0,0:58.46:2072629:0.0:0,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,0:45.435:17292014:0.0:0,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_122019C50,1:60.55,1:60.87,1:59.64,1:59.6:1398678:10.64:0,1:59.55:1365651:10.64:0,1:59.1:1157504:10.64:0,1:58.39:2410820:10.64:0,1:58.46:2072629:10.64:0,1:57.78:3040182:10.64:0,1:57.81:3462122:10.64:0,U:56.62:1954024::,2:45.435:17292014:6.2:0,2:54.93:2486924:4.9:10,[12:55.29:1863218:5.35:1
MXIM_122019C55,30:60.55,30:60.87,30:59.64,36:59.6:1398678:4.95:0,36:59.55:1365651:4.95:0,36:59.1:1157504:4.95:0,36:58.39:2410820:3.92:3,36:58.46:2072629:4.05:6,37:57.78:3040182:3.9:1,37:57.81:3462122:3.35:7,U:56.62:1954024::,79:45.435:17292014:1.68:17,96:54.93:2486924:1.33:37,[115:55.29:1863218:1.41:6
MXIM_122019C60,819:60.55,822:60.87,822:59.64,822:59.6:1398678:1.71:23,837:59.55:1365651:1.71:0,837:59.1:1157504:1.35:37,848:58.39:2410820:1.2:610,1358:58.46:2072629:1.04:215,1493:57.78:3040182:0.85:43,1494:57.81:3462122:0.65:1290,U:56.62:1954024::,3410:45.435:17292014:0.2:130,3458:54.93:2486924:0.2:163,[3508:55.29:1863218:0.18:11
MXIM_122019C65,27:60.55,28:60.87,30:59.64,955:59.6:1398678:0.35:10,965:59.55:1365651:0.35:0,965:59.1:1157504:0.35:0,965:58.39:2410820:0.35:0,965:58.46:2072629:0.14:1,965:57.78:3040182:0.14:0,965:57.81:3462122:0.1:1,U:56.62:1954024::,965:45.435:17292014:0.1:0,965:54.93:2486924:0.1:0,[965:55.29:1863218:0.04:1
MXIM_122019C70,0:60.55,0:60.87,0:59.64,0:59.6:1398678:0.0:0,0:59.55:1365651:0.0:0,0:59.1:1157504:0.0:0,0:58.39:2410820:0.0:0,0:58.46:2072629:0.0:0,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,0:45.435:17292014:0.0:0,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_122019C75,0:60.55,0:60.87,0:59.64,0:59.6:1398678:0.0:0,0:59.55:1365651:0.0:0,0:59.1:1157504:0.0:0,0:58.39:2410820:0.0:0,0:58.46:2072629:0.0:0,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:84.13:10211803:4.75:25:56.62:1954024:.7:,U:45.435:17292014:U:U,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_122019C80,0:60.55,0:60.87,0:59.64,0:59.6:1398678:0.0:0,0:59.55:1365651:0.0:0,0:59.1:1157504:0.0:0,0:58.39:2410820:0.0:0,0:58.46:2072629:0.0:0,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,0:45.435:17292014:0.0:0,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_122019C85,0:60.55,0:60.87,0:59.64,0:59.6:1398678:0.0:0,0:59.55:1365651:0.0:0,0:59.1:1157504:0.0:0,0:58.39:2410820:0.0:0,0:58.46:2072629:0.0:0,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,0:45.435:17292014:0.0:0,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_011720C30,U,U,U,U,U,U,U,U,2:57.78:3040182:21.27:0,2:57.81:3462122:21.27:0,U:56.62:1954024::,2:45.435:17292014:21.27:0,2:54.93:2486924:21.27:0,[2:55.29:1863218:21.27:0
MXIM_011720C33,U,U,U,U,U,U,U,U,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,0:45.435:17292014:0.0:0,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_011720C35,U,U,U,U,U,U,U,U,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,0:45.435:17292014:0.0:0,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_011720C38,U,U,U,U,U,U,U,U,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,U:45.435:17292014:0.08:3:45.435:17292014:.0:U,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_011720C40,U,U,U,U,U,U,U,U,0:57.78:3040182:18.47:0,0:57.81:3462122:18.47:0,U:56.62:1954024::,0:45.435:17292014:18.47:0,0:54.93:2486924:18.47:0,[0:55.29:1863218:18.47:0
MXIM_011720C43,U,U,U,U,U,U,U,U,0:57.78:3040182:0.0:0,0:57.81:3462122:0.0:0,U:56.62:1954024::,0:45.435:17292014:0.0:0,0:54.93:2486924:0.0:0,[0:55.29:1863218:0.0:0
MXIM_011720C45,U,U,U,U,U,U,U,U,8:57.78:3040182:13.7:0,8:57.81:3462122:13.7:0,U:56.62:1954024::,8:45.435:17292014:13.7:0,8:54.93:2486924:13.7:0,[8:55.29:1863218:13.7:0
MXIM_011720C47,U,U,U,U,U,U,U,U,21:57.78:3040182:9.8:0,21:57.81:3462122:9.8:0,U:56.62:1954024::,21:45.435:17292014:9.8:0,21:54.93:2486924:7.8:1,[21:55.29:1863218:7.8:0
MXIM_011720C50,U,U,U,U,U,U,U,U,18:57.78:3040182:9.95:0,18:57.81:3462122:8.0:1,U:56.62:1954024::,19:45.435:17292014:6.52:6,25:54.93:2486924:5.0:2,[27:55.29:1863218:5.0:0
MXIM_011720C55,U,U,U,U,U,U,U,U,538:57.78:3040182:4.6:0,538:57.81:3462122:3.95:10,U:56.62:1954024::,548:45.435:17292014:2.55:7,550:54.93:2486924:2.0:94,[541:55.29:1863218:2.15:19
MXIM_011720C60,U,U,U,U,U,U,U,U,2435:57.78:3040182:1.45:217,2620:57.81:3462122:1.35:145,U:56.62:1954024::,2955:45.435:17292014:0.7:33,2967:54.93:2486924:0.65:2511,[4821:55.29:1863218:0.6:165
MXIM_011720C65,U,U,U,U,U,U,U,U,2689:57.78:3040182:0.4:25,2714:57.81:3462122:0.33:218,U:56.62:1954024::,2851:45.435:17292014:0.15:0,2851:54.93:2486924:0.08:1151,[2143:55.29:1863218:0.08:0
MXIM_011720C70,U,U,U,U,U,U,U,U,939:57.78:3040182:0.2:0,939:57.81:3462122:0.2:0,U:56.62:1954024::,939:45.435:17292014:0.2:0,939:54.93:2486924:0.2:0,[939:55.29:1863218:0.2:0
MXIM_011720C75,U,U,U,U,U,U,U,U,452:57.78:3040182:0.01:0,452:57.81:3462122:0.01:0,U:56.62:1954024::,452:45.435:17292014:0.01:0,452:54.93:2486924:0.01:0,[452:55.29:1863218:0.01:0
MXIM_011720C80,U,U,U,U,U,U,U,U,158:57.78:3040182:0.27:0,158:57.81:3462122:0.27:0,U:56.62:1954024::,158:45.435:17292014:0.27:0,158:54.93:2486924:0.27:0,[158:55.29:1863218:0.27:0
MXIM_011720C85,U,U,U,U,U,U,U,U,21:57.78:3040182:0.05:0,21:57.81:3462122:0.05:0,U:56.62:1954024::,U:45.435:17292014:U:U,21:54.93:2486924:0.05:0,[21:55.29:1863218:0.05:0
MXIM_011720C90,U,U,U,U,U,U,U,U,180:57.78:3040182:0.05:0,180:57.81:3462122:0.05:0,U:56.62:1954024::,180:45.435:17292014:0.05:0,180:54.93:2486924:0.05:0,[180:55.29:1863218:0.05:0
