Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
NFLX_112219C257.5,0:281.86,0:281.21,0:291.45,0:287.41,0.0,1:292.86,1:288.03,1:288.59,1:289.57:5925019:32.09:0,1:291.57:4487308:32.09:0,1:294.18:3935415:32.09:0,1:292.01:5614817:32.09:0,1:283.11:9159018:27.36:2,3:289.62:6512630:29.6:2,3:295.03:6295195:29.6:0,3:302.57:8621331:29.6:0,3:304.78:4239150:29.6:0,3:311.69:7482958:29.6:0,3:310.48:5939869:51.5:1
NFLX_112219C260,29:281.86,28:281.21,28:291.45,28:287.41,28.0,28:292.86,29:288.03,29:288.59,28:289.57:5925019:29.03:0,28:291.57:4487308:29.03:0,28:294.18:3935415:29.03:0,28:292.01:5614817:29.03:0,28:283.11:9159018:23.76:1,29:289.62:6512630:29.62:23,40:295.03:6295195:29.62:0,40:302.57:8621331:43.0:10,40:304.78:4239150:47.35:11,39:311.69:7482958:50.0:11,45:310.48:5939869:50.1:20
NFLX_112219C262.5,2:281.86,2:281.21,6:291.45,6:287.41,6.0,6:292.86,6:288.03,6:288.59,6:289.57:5925019:22.1:0,6:291.57:4487308:31.48:1,6:294.18:3935415:31.48:0,6:292.01:5614817:31.48:0,6:283.11:9159018:31.48:0,6:289.62:6512630:31.48:0,6:295.03:6295195:31.5:1,7:302.57:8621331:31.5:0,6:304.78:4239150:40.2:0,U:311.69:7482958:U:U,6:310.48:5939869:40.2:0
NFLX_112219C265,8:281.86,9:281.21,10:291.45,20:287.41,20.0,21:292.86,21:288.03,21:288.59,21:289.57:5925019:26.77:1,22:291.57:4487308:26.77:0,22:294.18:3935415:26.77:0,22:292.01:5614817:26.77:0,22:283.11:9159018:26.77:0,22:289.62:6512630:26.77:0,22:295.03:6295195:28.24:2,21:302.57:8621331:28.24:0,11:304.78:4239150:38.43:0,11:311.69:7482958:38.43:0,11:310.48:5939869:45.17:2
NFLX_112219C267.5,20:281.86,28:281.21,28:291.45,41:287.41,46.0,46:292.86,46:288.03,27:288.59,26:289.57:5925019:23.4:0,26:291.57:4487308:25.71:10,36:294.18:3935415:25.71:0,36:292.01:5614817:26.32:10,26:283.11:9159018:26.32:0,26:289.62:6512630:22.35:12,32:295.03:6295195:27.44:1,31:302.57:8621331:34.4:1,30:304.78:4239150:34.4:0,30:311.69:7482958:40.52:6,29:310.48:5939869:40.52:0
NFLX_112219C270,556:281.86,555:281.21,380:291.45,297:287.41,295.0,248:292.86,248:288.03,248:288.59,247:289.57:5925019:20.05:0,247:291.57:4487308:22.4:18,255:294.18:3935415:25.95:2,253:292.01:5614817:25.95:0,253:283.11:9159018:14.88:43,270:289.62:6512630:20.71:9,268:295.03:6295195:25.1:21,276:302.57:8621331:32.85:6,265:304.78:4239150:36.75:1,264:311.69:7482958:42.24:13,254:310.48:5939869:39.9:16
NFLX_112219C272.5,57:281.86,64:281.21,65:291.45,64:287.41,58.0,55:292.86,55:288.03,60:288.59,60:289.57:5925019:22.2:1,60:291.57:4487308:21.25:1,61:294.18:3935415:23.65:5,63:292.01:5614817:19.05:7,65:283.11:9159018:12.45:28,78:289.62:6512630:18.4:40,112:295.03:6295195:23.15:18,125:302.57:8621331:30.62:14,121:304.78:4239150:30.3:12,U:311.69:7482958:.:U,U:310.48:5939869:U:U
NFLX_112219C275,781:281.86,795:281.21,798:291.45,654:287.41,654.0,756:292.86,736:288.03,572:288.59,577:289.57:5925019:18.05:346,323:291.57:4487308:20.11:21,341:294.18:3935415:20.11:0,341:292.01:5614817:16.85:20,361:283.11:9159018:11.15:176,469:289.62:6512630:15.89:33,482:295.03:6295195:20.1:24,483:302.57:8621331:28.15:6,478:304.78:4239150:28.36:4,475:311.69:7482958:37.3:10,467:310.48:5939869:34.88:12
NFLX_112219C277.5,134:281.86,134:281.21,134:291.45,134:287.41,132.0,134:292.86,128:288.03,125:288.59,130:289.57:5925019:18.05:5,131:291.57:4487308:16.15:7,133:294.18:3935415:16.5:2,135:292.01:5614817:16.55:35,157:283.11:9159018:9.37:72,175:289.62:6512630:13.85:39,183:295.03:6295195:18.53:36,182:302.57:8621331:27.19:18,167:304.78:4239150:29.35:2,U:311.69:7482958:U:U,157:310.48:5939869:30.35:9
NFLX_112219C280,205:281.86,214:281.21,220:291.45,209:287.41,209.0,215:292.86,239:288.03,234:288.59,235:289.57:5925019:15.35:44,240:291.57:4487308:14.4:42,272:294.18:3935415:17.55:5,273:292.01:5614817:12.85:25,291:283.11:9159018:7.63:143,321:289.62:6512630:11.53:1584,1554:295.03:6295195:15.85:363,1747:302.57:8621331:23.14:309,1571:304.78:4239150:25.38:42,1566:311.69:7482958:31.89:18,1563:310.48:5939869:30.47:1565
NFLX_112219C282.5,149:281.86,186:281.21,214:291.45,166:287.41,165.0,164:292.86,164:288.03,165:288.59,166:289.57:5925019:11.95:45,171:291.57:4487308:12.05:41,185:294.18:3935415:12.25:2,183:292.01:5614817:13.55:3,183:283.11:9159018:6.05:335,333:289.62:6512630:10.23:76,330:295.03:6295195:14.01:93,355:302.57:8621331:20.55:62,367:304.78:4239150:22.39:29,360:311.69:7482958:29.86:12,358:310.48:5939869:28.1:55
NFLX_112219C285,156:281.86,167:281.21,663:291.45,665:287.41,665.0,672:292.86,672:288.03,678:288.59,687:289.57:5925019:9.6:667,674:291.57:4487308:10.7:30,676:294.18:3935415:12.43:15,674:292.01:5614817:9.65:146,720:283.11:9159018:4.65:579,699:289.62:6512630:8.0:798,725:295.03:6295195:11.82:505,939:302.57:8621331:18.42:522,774:304.78:4239150:20.05:103,U:311.69:7482958:U:U,688:310.48:5939869:25.2:89
