Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
NFLX_112219P257.5,95:281.86,99:281.21,108:291.45,102:287.41,102.0,102:292.86,102:288.03,102:288.59,104:289.57:5925019:0.43:2,104:291.57:4487308:0.43:2,102:294.18:3935415:0.27:43,128:292.01:5614817:0.22:33,151:283.11:9159018:0.6:31,150:289.62:6512630:0.19:68,178:295.03:6295195:0.06:39,U:302.57:8621331::,178:304.85:4241416:0.03:0,178:311.69:7482958:0.01:1,178:310.48:5939869:0.01:2
NFLX_112219P260,197:281.86,231:281.21,236:291.45,240:287.41,267.0,272:292.86,299:288.03,324:288.59,324:289.57:5925019:0.83:80,359:291.57:4487308:0.56:75,378:294.18:3935415:0.31:98,451:292.01:5614817:0.25:21,449:283.11:9159018:0.76:458,631:289.62:6512630:0.23:373,646:295.03:6295195:0.07:339,U:302.57:8621331::,763:304.85:4241416:0.01:32,756:311.69:7482958:0.01:0,756:310.48:5939869:0.01:5
NFLX_112219P262.5,52:281.86,55:281.21,69:291.45,69:287.41,69.0,69:292.86,70:288.03,85:288.59,135:289.57:5925019:1.01:11,137:291.57:4487308:0.66:19,146:294.18:3935415:0.39:8,140:292.01:5614817:0.36:2,141:283.11:9159018:0.93:91,201:289.62:6512630:0.34:80,243:295.03:6295195:0.07:472,U:302.57:8621331::,632:304.85:4241416:0.02:7,627:311.69:7482958:0.02:0,627:310.48:5939869:0.01:7
NFLX_112219P265,154:281.86,205:281.21,274:291.45,282:287.41,305.0,318:292.86,333:288.03,360:288.59,361:289.57:5925019:1.1:40,364:291.57:4487308:0.75:25,377:294.18:3935415:0.41:231,400:292.01:5614817:0.43:177,453:283.11:9159018:1.11:384,508:289.62:6512630:0.37:234,499:295.03:6295195:0.11:140,478:302.57:8621331:0.01:260,400:304.85:4241416:0.01:12,399:311.69:7482958:0.02:10,389:310.48:5939869:0.01:16
NFLX_112219P267.5,252:281.86,277:281.21,284:291.45,286:287.41,288.0,295:292.86,306:288.03,300:288.59,297:289.57:5925019:0.86:13,294:291.57:4487308:0.97:29,294:294.18:3935415:0.55:52,326:292.01:5614817:0.61:41,324:283.11:9159018:1.42:363,439:289.62:6512630:0.5:288,472:295.03:6295195:0.14:149,U:302.57:8621331::,452:304.85:4241416:0.02:0,452:311.69:7482958:0.01:4,449:310.48:5939869:0.01:0
NFLX_112219P270,496:281.86,503:281.21,511:291.45,511:287.41,528.0,535:292.86,536:288.03,567:288.59,560:289.57:5925019:1.61:186,635:291.57:4487308:1.17:176,552:294.18:3935415:0.69:135,652:292.01:5614817:0.59:132,664:283.11:9159018:1.8:735,1012:289.62:6512630:0.63:764,1213:295.03:6295195:0.19:419,1345:302.57:8621331:0.03:419,U:304.85:4241416:.1:1,1668:311.69:7482958:0.01:44,1639:310.48:5939869:0.01:54
NFLX_112219P272.5,219:281.86,174:281.21,175:291.45,175:287.41,182.0,188:292.86,181:288.03,194:288.59,173:289.57:5925019:1.73:43,167:291.57:4487308:1.47:429,208:294.18:3935415:0.78:31,224:292.01:5614817:0.75:151,305:283.11:9159018:2.26:565,508:289.62:6512630:0.82:205,500:295.03:6295195:0.28:486,609:302.57:8621331:0.03:263,627:304.85:4241416:0.02:47,625:311.69:7482958:0.01:12,619:310.48:5939869:0.03:55
NFLX_112219P275,284:281.86,290:281.21,295:291.45,315:287.41,334.0,353:292.86,376:288.03,413:288.59,401:289.57:5925019:2.54:111,430:291.57:4487308:1.77:96,435:294.18:3935415:1.1:122,477:292.01:5614817:1.0:236,592:283.11:9159018:2.85:817,866:289.62:6512630:1.12:620,1012:295.03:6295195:0.38:686,1247:302.57:8621331:0.05:947,U:304.85:4241416:U:U,1007:311.69:7482958:0.01:22,1007:310.48:5939869:0.01:12
NFLX_112219P277.5,217:281.86,228:281.21,228:291.45,236:287.41,238.0,240:292.86,238:288.03,266:288.59,268:289.57:5925019:3.08:96,303:291.57:4487308:2.22:39,309:294.18:3935415:1.37:38,310:292.01:5614817:1.26:426,550:283.11:9159018:3.55:390,647:289.62:6512630:1.47:876,905:295.03:6295195:0.51:1130,U:302.57:8621331::,1028:304.85:4241416:0.02:175,1002:311.69:7482958:0.01:34,996:310.48:5939869:0.01:12
NFLX_112219P280,101:281.86,129:281.21,129:291.45,140:287.41,144.0,198:292.86,205:288.03,212:288.59,228:289.57:5925019:3.65:367,360:291.57:4487308:2.78:224,379:294.18:3935415:1.73:168,441:292.01:5614817:1.67:432,540:283.11:9159018:4.45:1356,949:289.62:6512630:1.88:1616,1354:295.03:6295195:0.74:1928,2101:302.57:8621331:0.1:2256,2793:304.85:4241416:0.04:597,2321:311.69:7482958:0.02:243,2202:310.48:5939869:0.01:57
