Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
NKE_112219C86,0:90.85,0:89.28,0:90.19,0:89.55,0.0,0:89.86,0:89.88,0:89.48,2:90.4:7109962:0.0:0,2:89.81:4539815:0.0:0,2:90.05:3242598:0.0:0,2:89.5:3944034:0.0:0,2:91.29:5923563:0.0:0,2:91.27:6018931:0.0:0,2:93.04:6782325:0.0:0,U:94.18:6165745::,2:92.89:3810669:0.0:0,U:92.16:5492589:U:U,U:93.34:4264235:U:U
NKE_112219C86.5,0:90.85,5:89.28,5:90.19,5:89.55,5.0,5:89.86,14:89.88,14:89.48,32:90.4:7109962:4.1:8,28:89.81:4539815:3.85:1,27:90.05:3242598:3.85:0,27:89.5:3944034:4.75:7,25:91.29:5923563:4.75:0,25:91.27:6018931:4.75:0,25:93.04:6782325:4.75:0,25:94.18:6165745:4.75:0,25:92.89:3810669:4.75:0,25:92.16:5492589:4.75:0,25:93.34:4264235:4.75:0
NKE_112219C87,0:90.85,0:89.28,0:90.19,0:89.55,1.0,1:89.86,1:89.88,1:89.48,12:90.4:7109962:3.65:11,11:89.81:4539815:3.65:0,11:90.05:3242598:3.65:0,11:89.5:3944034:3.35:3,14:91.29:5923563:3.35:0,14:91.27:6018931:4.95:5,16:93.04:6782325:4.95:0,16:94.18:6165745:7.11:5,15:92.89:3810669:7.11:0,15:92.16:5492589:7.11:0,15:93.34:4264235:5.26:3
NKE_112219C87.5,13:90.85,16:89.28,18:90.19,18:89.55,45.0,54:89.86,49:89.88,49:89.48,49:90.4:7109962:3.03:0,49:89.81:4539815:3.03:0,49:90.05:3242598:3.03:0,49:89.5:3944034:2.68:9,51:91.29:5923563:4.0:48,67:91.27:6018931:3.98:20,79:93.04:6782325:6.1:48,U:94.18:6165745::,67:92.89:3810669:5.98:0,67:92.16:5492589:5.98:0,67:93.34:4264235:5.69:20
NKE_112219C88,0:90.85,0:89.28,6:90.19,7:89.55,11.0,9:89.86,12:89.88,14:89.48,17:90.4:7109962:3.13:14,25:89.81:4539815:3.13:0,25:90.05:3242598:3.13:0,25:89.5:3944034:2.28:51,33:91.29:5923563:2.28:0,33:91.27:6018931:3.35:10,43:93.04:6782325:5.15:10,33:94.18:6165745:5.15:0,28:92.89:3810669:5.52:0,28:92.16:5492589:5.52:0,28:93.34:4264235:5.52:0
NKE_112219C88.5,0:90.85,1:89.28,1:90.19,1:89.55,4.0,3:89.86,3:89.88,3:89.48,7:90.4:7109962:2.44:3,7:89.81:4539815:1.99:1,8:90.05:3242598:2.21:2,10:89.5:3944034:2.27:5,12:91.29:5923563:3.25:11,14:91.27:6018931:3.25:0,14:93.04:6782325:3.25:0,14:94.18:6165745:5.67:6,14:92.89:3810669:5.67:0,14:92.16:5492589:5.67:0,[14:93.34:4264235:4.32:4
NKE_112219C89,1:90.85,1:89.28,1:90.19,7:89.55,18.0,48:89.86,1042:89.88,1176:89.48,2274:90.4:7109962:2.27:1068,1909:89.81:4539815:1.81:604,1971:90.05:3242598:1.94:658,2280:89.5:3944034:1.59:766,1937:91.29:5923563:2.65:630,1483:91.27:6018931:2.78:408,1233:93.04:6782325:4.19:333,U:94.18:6165745::,995:92.89:3810669:4.45:10,1016:92.16:5492589:3.35:3,[1015:93.34:4264235:4.05:41
NKE_112219C89.5,1:90.85,3:89.28,18:90.19,29:89.55,83.0,74:89.86,203:89.88,262:89.48,347:90.4:7109962:1.97:128,265:89.81:4539815:1.4:20,265:90.05:3242598:1.52:140,288:89.5:3944034:1.3:124,208:91.29:5923563:2.29:49,185:91.27:6018931:2.4:23,175:93.04:6782325:3.61:44,163:94.18:6165745:4.7:10,157:92.89:3810669:4.5:4,157:92.16:5492589:4.5:0,[157:93.34:4264235:3.0:5
NKE_112219C90,34:90.85,58:89.28,94:90.19,112:89.55,145.0,133:89.86,1767:89.88,2053:89.48,1747:90.4:7109962:1.69:221,1716:89.81:4539815:1.27:312,2286:90.05:3242598:1.31:309,2426:89.5:3944034:1.06:353,2430:91.29:5923563:1.87:367,2366:91.27:6018931:2.01:240,2348:93.04:6782325:3.2:298,2300:94.18:6165745:4.1:44,2301:92.89:3810669:3.1:31,2298:92.16:5492589:2.7:41,[2287:93.34:4264235:3.26:67
NKE_112219C90.5,0:90.85,10:89.28,19:90.19,105:89.55,156.0,163:89.86,799:89.88,802:89.48,827:90.4:7109962:1.44:97,843:89.81:4539815:0.94:283,897:90.05:3242598:1.01:185,938:89.5:3944034:0.83:161,1023:91.29:5923563:1.55:239,989:91.27:6018931:1.65:121,991:93.04:6782325:2.72:67,1001:94.18:6165745:3.63:13,997:92.89:3810669:2.53:1,997:92.16:5492589:1.89:7,[996:93.34:4264235:2.63:17
