Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
NKE_112219P86,5:90.85,12:89.28,28:90.19,28:89.55,29.0,98:89.86,101:89.88,99:89.48,99:90.4:7109962:0.35:1,98:89.81:4539815:0.34:14,111:90.05:3242598:0.34:0,111:89.5:3944034:0.34:0,111:91.29:5923563:0.09:17,106:91.27:6018931:0.09:0,106:93.04:6782325:0.03:46,70:94.18:6165745:0.03:0,70:92.89:3818213:0.02:0,70:92.16:5492589:0.02:0,70:93.34:4264235:0.02:1
NKE_112219P86.5,10:90.85,10:89.28,627:90.19,646:89.55,646.0,646:89.86,648:89.88,648:89.48,652:90.4:7109962:0.55:0,652:89.81:4539815:0.4:7,659:90.05:3242598:0.4:0,659:89.5:3944034:0.32:15,674:91.29:5923563:0.11:5,674:91.27:6018931:0.1:11,675:93.04:6782325:0.02:605,668:94.18:6165745:0.02:12,661:92.89:3818213:0.01:0,661:92.16:5492589:0.01:0,661:93.34:4264235:0.01:0
NKE_112219P87,26:90.85,28:89.28,29:90.19,32:89.55,33.0,35:89.86,43:89.88,43:89.48,62:90.4:7109962:0.49:5,62:89.81:4539815:0.56:48,83:90.05:3242598:0.44:7,87:89.5:3944034:0.4:100,134:91.29:5923563:0.16:74,143:91.27:6018931:0.1:25,140:93.04:6782325:0.01:10,136:94.18:6165745:0.02:29,213:92.89:3818213:0.15:5,213:92.16:5492589:0.15:0,213:93.34:4264235:0.02:1
NKE_112219P87.5,8:90.85,9:89.28,655:90.19,664:89.55,695.0,757:89.86,604:89.88,558:89.48,556:90.4:7109962:0.58:4,556:89.81:4539815:0.66:31,556:90.05:3242598:0.39:54,578:89.5:3944034:0.51:144,668:91.29:5923563:0.18:74,673:91.27:6018931:0.17:34,668:93.04:6782325:0.03:23,U:94.18:6165745::,U:92.89:3818213:U:U,661:92.16:5492589:0.02:7,656:93.34:4264235:0.02:0
NKE_112219P88,39:90.85,40:89.28,81:90.19,98:89.55,98.0,100:89.86,127:89.88,127:89.48,410:90.4:7109962:0.69:4,410:89.81:4539815:0.74:62,472:90.05:3242598:0.53:156,594:89.5:3944034:0.64:120,629:91.29:5923563:0.26:96,603:91.27:6018931:0.25:16,600:93.04:6782325:0.06:70,606:94.18:6165745:0.03:2,U:92.89:3818213:U:U,608:92.16:5492589:0.02:5,606:93.34:4264235:0.01:25
NKE_112219P88.5,8:90.85,27:89.28,27:90.19,37:89.55,37.0,875:89.86,882:89.88,882:89.48,914:90.4:7109962:0.84:7,914:89.81:4539815:0.93:54,960:90.05:3242598:0.67:123,1001:89.5:3944034:0.75:57,1008:91.29:5923563:0.33:48,1021:91.27:6018931:0.3:5,1022:93.04:6782325:0.07:882,604:94.18:6165745:0.02:64,593:92.89:3818213:0.01:0,593:92.16:5492589:0.01:0,[593:93.34:4264235:0.01:0
NKE_112219P89,12:90.85,36:89.28,37:90.19,60:89.55,87.0,87:89.86,93:89.88,97:89.48,185:90.4:7109962:0.93:7,188:89.81:4539815:1.07:118,295:90.05:3242598:0.85:50,316:89.5:3944034:0.99:199,359:91.29:5923563:0.4:305,445:91.27:6018931:0.37:36,460:93.04:6782325:0.1:91,410:94.18:6165745:0.03:34,394:92.89:3818213:0.04:5,392:92.16:5492589:0.02:16,[397:93.34:4264235:0.01:2
NKE_112219P89.5,7:90.85,7:89.28,20:90.19,33:89.55,71.0,152:89.86,159:89.88,177:89.48,192:90.4:7109962:1.5:0,192:89.81:4539815:1.38:229,408:90.05:3242598:1.01:120,475:89.5:3944034:1.18:36,501:91.29:5923563:0.51:231,623:91.27:6018931:0.47:259,671:93.04:6782325:0.11:52,663:94.18:6165745:0.04:35,650:92.89:3818213:0.03:1,649:92.16:5492589:0.04:13,[652:93.34:4264235:0.03:1
NKE_112219P90,278:90.85,326:89.28,329:90.19,382:89.55,396.0,388:89.86,424:89.88,514:89.48,512:90.4:7109962:1.35:62,520:89.81:4539815:1.57:118,623:90.05:3242598:1.25:261,746:89.5:3944034:1.36:148,827:91.29:5923563:0.69:113,848:91.27:6018931:0.6:175,854:93.04:6782325:0.17:84,U:94.18:6165745::,931:92.89:3818213:0.08:70,931:92.16:5492589:0.07:158,[1081:93.34:4264235:0.01:35
NKE_112219P90.5,7:90.85,77:89.28,84:90.19,84:89.55,84.0,84:89.86,84:89.88,82:89.48,82:90.4:7109962:1.52:2,84:89.81:4539815:1.56:9,93:90.05:3242598:1.71:6,94:89.5:3944034:1.66:100,166:91.29:5923563:0.81:33,181:91.27:6018931:0.82:125,204:93.04:6782325:0.24:49,239:94.18:6165745:0.08:200,340:92.89:3818213:0.09:37,364:92.16:5492589:0.12:10,[371:93.34:4264235:0.01:13
NKE_112219P91,36:90.85,33:89.28,31:90.19,32:89.55,29.0,29:89.86,29:89.88,29:89.48,29:90.4:7109962:2.14:0,29:89.81:4539815:2.25:16,39:90.05:3242598:2.25:0,39:89.5:3944034:2.0:53,85:91.29:5923563:1.0:76,103:91.27:6018931:1.01:174,180:93.04:6782325:0.33:55,177:94.18:6165745:0.12:623,699:92.89:3818213:0.15:13,694:92.16:5492589:0.18:304,[942:93.34:4264235:0.02:18
NKE_112219P91.5,57:90.85,65:89.28,65:90.19,66:89.55,66.0,66:89.86,67:89.88,67:89.48,72:90.4:7109962:3.03:0,72:89.81:4539815:3.03:0,72:90.05:3242598:3.03:0,72:89.5:3944034:3.03:0,72:91.29:5923563:1.27:74,135:91.27:6018931:1.31:317,360:93.04:6782325:0.41:206,295:94.18:6165745:0.16:850,1143:92.89:3818213:0.25:74,1158:92.16:5492589:0.36:142,[1180:93.34:4264235:0.02:54
NKE_112219P92,15:90.85,15:89.28,23:90.19,23:89.55,22.0,22:89.86,22:89.88,22:89.48,21:90.4:7109962:2.33:6,24:89.81:4539815:2.33:0,24:90.05:3242598:2.31:3,24:89.5:3944034:1.96:1,24:91.29:5923563:1.46:18,35:91.27:6018931:1.49:196,81:93.04:6782325:0.54:399,U:94.18:6165745::,1034:92.89:3818213:0.42:378,1018:92.16:5492589:0.56:526,[1205:93.34:4264235:0.03:470
NKE_112219P92.5,60:90.85,60:89.28,60:90.19,58:89.55,58.0,58:89.86,58:89.88,58:89.48,58:90.4:7109962:3.05:0,58:89.81:4539815:3.05:0,58:90.05:3242598:3.05:0,58:89.5:3944034:2.31:1,58:91.29:5923563:2.18:3,58:91.27:6018931:1.81:8,62:93.04:6782325:0.75:134,100:94.18:6165745:0.34:223,613:92.89:3818213:0.57:341,667:92.16:5492589:0.65:516,[1004:93.34:4264235:0.01:415
