Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
NOVT_122019C45,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.36:135534:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019C50,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.36:135534:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019C55,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.36:135534:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019C60,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.36:135534:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019C65,1:87.37,1:84.66,1:82.2,1:81.64:118161:26.3:0,1:80.14:115331:26.3:0,1:79.6:132710:26.3:0,1:79.53:131975:26.3:0,1:79.79:210401:26.3:0,1:82.1:81872:26.3:0,1:83.19:84004:26.3:0,0:83.12:102159:26.3:0,1:85.36:135534:26.3:0,1:85.22:137990:26.3:0,[1:86.25:172721:26.3:0
NOVT_122019C70,1:87.37,1:84.66,1:82.2,1:81.64:118161:21.7:0,1:80.14:115331:21.7:0,1:79.6:132710:21.7:0,1:79.53:131975:21.7:0,1:79.79:210401:21.7:0,1:82.1:81872:21.7:0,1:83.19:84004:21.7:0,0:83.12:102159:21.7:0,1:85.36:135534:21.7:0,1:85.22:137990:21.7:0,[1:86.25:172721:21.7:0
NOVT_122019C75,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.36:135534:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019C80,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.36:135534:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019C85,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:2.15:6,0:83.12:102159:1.84:2,21:85.36:135534:2.75:48,68:85.22:137990:3.3:3,[68:86.25:172721:3.35:1
NOVT_122019C90,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.65:3,0:83.12:102159:0.65:0,8:85.36:135534:1.05:15,23:85.22:137990:1.3:3,[20:86.25:172721:1.3:0
