Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
NOVT_122019P45,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P50,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P55,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P60,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.2:10,10:82.1:81872:0.2:0,10:83.19:84004:0.2:0,0:83.12:102159:0.2:0,10:85.24:136162:0.2:0,10:85.22:137990:0.2:0,[10:86.25:172721:0.2:0
NOVT_122019P65,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P70,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.6:10,10:82.1:81872:0.6:0,10:83.19:84004:0.6:0,0:83.12:102159:0.6:0,10:85.24:136162:0.6:0,10:85.22:137990:0.6:0,[10:86.25:172721:0.6:0
NOVT_122019P75,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P80,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:3.75:3,3:82.1:81872:3.75:0,3:83.19:84004:3.75:0,0:83.12:102159:2.0:10,13:85.24:136162:2.0:0,13:85.22:137990:2.0:0,[13:86.25:172721:2.0:0
NOVT_122019P85,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:6.4:1,1:79.53:131975:6.4:0,1:79.79:210401:6.84:18,19:82.1:81872:6.84:0,19:83.19:84004:6.84:0,0:83.12:102159:6.84:0,19:85.24:136162:6.84:0,19:85.22:137990:6.84:0,[19:86.25:172721:6.84:0
NOVT_122019P90,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P95,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P100,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P105,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P110,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P115,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_122019P120,0:87.37,0:84.66,0:82.2,0:81.64:118161:0.0:0,0:80.14:115331:0.0:0,0:79.6:132710:0.0:0,0:79.53:131975:0.0:0,0:79.79:210401:0.0:0,0:82.1:81872:0.0:0,0:83.19:84004:0.0:0,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P100,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P105,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P110,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P115,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P120,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P40,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P45,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P50,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P55,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P60,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P65,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,10:85.24:136162:0.65:0,10:85.22:137990:0.65:0,[10:86.25:172721:0.65:0
NOVT_011720P70,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,10:85.24:136162:1.05:0,10:85.22:137990:1.05:0,[10:86.25:172721:1.05:0
NOVT_011720P75,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P80,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P85,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P90,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
NOVT_011720P95,U,U,U,U,U,U,U,U,U,U,0:83.12:102159:0.0:0,0:85.24:136162:0.0:0,0:85.22:137990:0.0:0,[0:86.25:172721:0.0:0
