Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
NOW_112219C217.5,0:241.04,0:249.95,0:247.26,0.0,0:245.8,0:241.86,0:241.35,0:240.89:1918786:0.0:0,0:248.45:1904769:0.0:0,0:248.55:1695719:0.0:0,0:252.53:1882593:0.0:0,0:253.94:1950451:0.0:0,0:253.85:1804883:0.0:0,0:259.96:2226990:0.0:0,0:266.31:3205150:0.0:0,0:282.99:6172602:0.0:0,0:279.12:4068806:0.0:0,0:279.98:2152093:0.0:0
NOW_112219C220,20:241.04,20:249.95,20:247.26,30.0,30:245.8,30:241.86,30:241.35,30:240.89:1918786:26.7:0,30:248.45:1904769:26.7:0,30:248.55:1695719:26.7:0,30:252.53:1882593:26.7:0,30:253.94:1950451:26.7:0,30:253.85:1804883:26.7:0,30:259.96:2226990:26.7:0,30:266.31:3205150:26.7:0,30:282.99:6172602:26.7:0,30:279.12:4068806:26.7:0,30:279.98:2152093:26.7:0
NOW_112219C222.5,2:241.04,2:249.95,2:247.26,2.0,2:245.8,2:241.86,2:241.35,2:240.89:1918786:19.66:0,2:248.45:1904769:19.66:0,2:248.55:1695719:19.66:0,2:252.53:1882593:19.66:0,2:253.94:1950451:19.66:0,2:253.85:1804883:19.66:0,2:259.96:2226990:19.66:0,2:266.31:3205150:19.66:0,2:282.99:6172602:19.66:0,1:279.12:4068806:19.66:0,1:279.98:2152093:19.66:0
NOW_112219C225,19:241.04,19:249.95,19:247.26,19.0,19:245.8,19:241.86,19:241.35,19:240.89:1918786:25.0:0,19:248.45:1904769:25.0:0,19:248.55:1695719:25.0:0,19:252.53:1882593:25.0:0,19:253.94:1950451:25.0:0,19:253.85:1804883:25.0:0,19:259.96:2226990:25.0:0,19:266.31:3205150:25.0:0,19:282.99:6172602:25.0:0,19:279.12:4068806:56.7:11,15:279.98:2152093:56.7:0
NOW_112219C227.5,2:241.04,2:249.95,2:247.26,2.0,2:245.8,2:241.86,4:241.35,4:240.89:1918786:16.0:2,5:248.45:1904769:16.0:0,5:248.55:1695719:16.0:0,5:252.53:1882593:16.0:0,5:253.94:1950451:16.0:0,5:253.85:1804883:16.0:0,5:259.96:2226990:16.0:0,5:266.31:3205150:16.0:0,5:282.99:6172602:16.0:0,5:279.12:4068806:16.0:0,5:279.98:2152093:16.0:0
NOW_112219C230,12:241.04,12:249.95,12:247.26,13.0,13:245.8,13:241.86,13:241.35,13:240.89:1918786:12.8:4,11:248.45:1904769:13.5:1,12:248.55:1695719:13.5:0,12:252.53:1882593:13.5:0,12:253.94:1950451:20.34:2,11:253.85:1804883:20.34:0,11:259.96:2226990:20.34:0,U:266.31:3205150:.:,11:282.99:6172602:20.34:0,11:279.12:4068806:20.34:0,11:279.98:2152093:20.34:0
NOW_112219C232.5,4:241.04,4:249.95,4:247.26,4.0,4:245.8,5:241.86,12:241.35,12:240.89:1918786:12.3:1,13:248.45:1904769:12.3:0,13:248.55:1695719:12.3:0,13:252.53:1882593:12.3:0,13:253.94:1950451:12.3:0,13:253.85:1804883:12.3:0,13:259.96:2226990:12.3:0,13:266.31:3205150:35.44:2,12:282.99:6172602:35.44:0,12:279.12:4068806:49.57:1,12:279.98:2152093:49.57:0
NOW_112219C235,17:241.04,17:249.95,17:247.26,17.0,17:245.8,17:241.86,17:241.35,17:240.89:1918786:9.8:1,18:248.45:1904769:9.6:8,22:248.55:1695719:14.7:15,30:252.53:1882593:17.45:8,26:253.94:1950451:17.45:0,26:253.85:1804883:17.45:0,26:259.96:2226990:21.71:1,26:266.31:3205150:21.71:0,26:282.99:6172602:21.71:0,26:279.12:4068806:21.71:0,26:279.98:2152093:21.71:0
NOW_112219C237.5,6:241.04,7:249.95,7:247.26,16.0,16:245.8,16:241.86,31:241.35,31:240.89:1918786:8.5:1,32:248.45:1904769:11.8:5,32:248.55:1695719:11.8:0,32:252.53:1882593:11.8:0,32:253.94:1950451:17.15:3,32:253.85:1804883:17.15:0,32:259.96:2226990:17.15:0,32:266.31:3205150:17.15:0,32:282.99:6172602:17.15:0,32:279.12:4068806:17.15:0,32:279.98:2152093:17.15:0
NOW_112219C240,30:241.04,34:249.95,37:247.26,33.0,32:245.8,28:241.86,31:241.35,32:240.89:1918786:8.5:1,31:248.45:1904769:9.9:17,34:248.55:1695719:9.9:0,34:252.53:1882593:13.15:12,34:253.94:1950451:14.8:27,33:253.85:1804883:14.7:7,30:259.96:2226990:19.35:1,U:266.31:3205150::,29:282.99:6172602:26.69:0,23:279.12:4068806:26.69:0,23:279.98:2152093:26.69:0
