Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
NOW_112219P217.5,0:241.04,0:249.95,0:247.26,0.0,0:245.8,10:241.86,10:241.35,10:240.89:1918786:0.65:1,11:248.45:1904769:0.65:0,11:248.55:1695719:0.65:0,11:252.53:1882593:0.65:0,11:253.94:1950451:0.65:0,11:253.85:1804883:0.65:0,11:259.96:2226990:0.65:0,U:266.31:3205150::,11:282.99:6172602:0.65:0,11:279.12:4068806:0.65:0,11:279.98:2152093:0.65:0
NOW_112219P220,76:241.04,76:249.95,75:247.26,83.0,83:245.8,78:241.86,78:241.35,77:240.89:1918786:1.11:0,77:248.45:1904769:0.4:41,62:248.55:1695719:0.2:8,68:252.53:1882593:0.09:10,67:253.94:1950451:0.1:1,67:253.85:1804883:0.1:0,67:259.96:2226990:0.1:0,67:266.31:3205150:0.1:0,U:282.99:6172602:U:U,67:279.12:4068806:0.1:0,67:279.98:2152093:0.1:0
NOW_112219P222.5,11:241.04,10:249.95,10:247.26,10.0,10:245.8,10:241.86,15:241.35,15:240.89:1918786:1.0:6,21:248.45:1904769:1.0:0,21:248.55:1695719:1.0:0,21:252.53:1882593:0.2:1,21:253.94:1950451:0.2:0,21:253.85:1804883:0.2:0,21:259.96:2226990:0.2:0,21:266.31:3205150:0.2:0,21:282.99:6172602:0.2:0,21:279.12:4068806:0.2:0,21:279.98:2152093:0.2:0
NOW_112219P225,85:241.04,84:249.95,84:247.26,84.0,84:245.8,89:241.86,94:241.35,94:240.89:1918786:1.28:23,100:248.45:1904769:0.75:1,100:248.55:1695719:0.36:32,132:252.53:1882593:0.2:10,132:253.94:1950451:0.2:0,132:253.85:1804883:0.2:5,134:259.96:2226990:0.2:0,U:266.31:3205150::,140:282.99:6172602:0.03:0,140:279.12:4068806:0.03:0,U:279.98:2152093:U:U
NOW_112219P227.5,35:241.04,35:249.95,39:247.26,45.0,43:245.8,63:241.86,63:241.35,63:240.89:1918786:1.55:0,63:248.45:1904769:0.9:19,71:248.55:1695719:0.35:3,69:252.53:1882593:0.3:10,69:253.94:1950451:0.3:0,69:253.85:1804883:0.3:0,69:259.96:2226990:0.3:0,U:266.31:3205150::,U:282.99:6172602:U:U,69:279.12:4068806:0.3:0,69:279.98:2152093:0.3:0
NOW_112219P230,75:241.04,75:249.95,71:247.26,71.0,61:245.8,61:241.86,67:241.35,70:240.89:1918786:2.45:22,72:248.45:1904769:1.05:14,78:248.55:1695719:0.62:10,78:252.53:1882593:0.62:0,78:253.94:1950451:0.15:1,77:253.85:1804883:0.15:0,77:259.96:2226990:0.1:20,U:266.31:3205150::,58:282.99:6172602:0.1:0,58:279.12:4068806:0.1:0,58:279.98:2152093:0.1:0
NOW_112219P232.5,2:241.04,2:249.95,3:247.26,4.0,10:245.8,19:241.86,19:241.35,19:240.89:1918786:4.1:0,19:248.45:1904769:1.65:4,21:248.55:1695719:0.95:27,48:252.53:1882593:0.5:10,48:253.94:1950451:0.35:1,48:253.85:1804883:0.35:0,48:259.96:2226990:0.1:5,48:266.31:3205150:0.15:6,54:282.99:6172602:0.15:0,54:279.12:4068806:0.15:0,54:279.98:2152093:0.15:0
NOW_112219P235,1:241.04,1:249.95,3:247.26,4.0,39:245.8,49:241.86,55:241.35,56:240.89:1918786:3.6:16,70:248.45:1904769:2.0:2,70:248.55:1695719:0.95:39,96:252.53:1882593:0.6:43,105:253.94:1950451:0.4:1,105:253.85:1804883:0.35:32,100:259.96:2226990:0.1:36,U:266.31:3205150::,93:282.99:6172602:0.08:28,93:279.12:4068806:0.08:0,93:279.98:2152093:0.08:0
NOW_112219P237.5,31:241.04,31:249.95,31:247.26,41.0,41:245.8,41:241.86,47:241.35,47:240.89:1918786:4.6:1,47:248.45:1904769:2.36:7,41:248.55:1695719:1.37:24,47:252.53:1882593:0.9:9,48:253.94:1950451:0.85:1,49:253.85:1804883:0.57:20,50:259.96:2226990:0.3:1,49:266.31:3205150:0.05:35,54:282.99:6172602:0.01:20,42:279.12:4068806:0.01:0,42:279.98:2152093:0.01:0
NOW_112219P240,41:241.04,40:249.95,42:247.26,46.0,44:245.8,46:241.86,51:241.35,52:240.89:1918786:5.5:16,68:248.45:1904769:3.0:52,107:248.55:1695719:1.85:18,119:252.53:1882593:1.0:285,308:253.94:1950451:1.14:11,309:253.85:1804883:0.8:15,300:259.96:2226990:0.25:42,282:266.31:3205150:0.21:13,284:282.99:6172602:0.13:0,284:279.12:4068806:0.13:0,U:279.98:2152093:U:U
NOW_112219P242.5,18:241.04,16:249.95,16:247.26,26.0,30:245.8,30:241.86,32:241.35,32:240.89:1918786:6.6:1,32:248.45:1904769:3.4:6,32:248.55:1695719:2.57:2,33:252.53:1882593:1.75:8,30:253.94:1950451:1.2:21,42:253.85:1804883:1.0:37,61:259.96:2226990:0.45:26,79:266.31:3205150:0.1:77,109:282.99:6172602:0.1:0,U:279.12:4068806:U:U,U:279.98:2152093:U:U
NOW_112219P245,14:241.04,14:249.95,25:247.26,41.0,26:245.8,39:241.86,38:241.35,45:240.89:1918786:8.95:0,45:248.45:1904769:4.75:16,47:248.55:1695719:4.75:0,47:252.53:1882593:2.35:24,57:253.94:1950451:2.2:9,60:253.85:1804883:1.65:54,64:259.96:2226990:0.5:248,258:266.31:3205150:0.16:44,240:282.99:6172602:0.11:0,240:279.12:4068806:0.11:0,240:279.98:2152093:0.11:0
