Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
NVMI_122019C12.5,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_122019C15,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_122019C17.5,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_122019C20,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_122019C22.5,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_122019C25,10:36.27:117855:4.3:0,10:36.44:70794:4.3:0,10:36.8:66070:4.3:0,10:36.61:59643:4.3:0,10:36.79:54004:4.3:0,10:37.35:71585:4.3:0,10:266.31:3205150:4.3:0,10:35.72:30412:4.3:0,10:34.44:47095:4.3:0,[10:34.12:25456:4.3:0
NVMI_122019C30,22:36.27:117855:1.68:0,22:36.44:70794:1.68:0,22:36.8:66070:1.68:0,22:36.61:59643:1.68:0,22:36.79:54004:1.68:0,22:37.35:71585:7.85:1,21:266.31:3205150:0.0:0:266.31:3205150:7.85:0,21:35.72:30412:7.85:0,21:34.44:47095:7.85:0,[21:34.12:25456:7.85:0
NVMI_122019C35,298:36.27:117855:1.5:0,298:36.44:70794:1.5:0,298:36.8:66070:2.6:11,309:36.61:59643:2.6:0,309:36.79:54004:2.35:3,312:37.35:71585:2.35:0,312:266.31:3205150:2.35:0,312:35.72:30412:2.35:0,312:34.44:47095:1.05:4,[314:34.12:25456:1.05:0
NVMI_122019C40,85:36.27:117855:0.4:30,115:36.44:70794:0.4:0,115:36.8:66070:0.15:50,165:36.61:59643:0.35:3,165:36.79:54004:0.25:4,169:37.35:71585:0.4:30,199:266.31:3205150:0.4:0,199:35.72:30412:0.2:3,202:34.44:47095:0.2:0,[202:34.12:25456:0.2:0
NVMI_122019C45,4:36.27:117855:0.1:0,4:36.44:70794:0.1:0,4:36.8:66070:0.1:0,4:36.61:59643:0.1:0,4:36.79:54004:0.1:0,4:37.35:71585:0.1:0,4:266.31:3205150:0.1:0,4:35.72:30412:0.1:0,4:34.44:47095:0.1:0,[4:34.12:25456:0.1:0
NVMI_011720C35,U,U,U,U,U,U,U,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720C45,U,U,U,U,U,U,U,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720C22.5,U,U,U,U,U,U,U,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720C20,U,U,U,U,U,U,U,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720C40,U,U,U,U,U,U,U,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720C25,U,U,U,U,U,U,U,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720C50,U,U,U,U,U,U,U,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720C55,U,U,U,U,U,U,U,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720C30,U,U,U,U,U,U,U,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
