Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
NVMI_122019P12.5,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_122019P15,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_122019P17.5,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_122019P20,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_122019P22.5,5:36.27:117855:0.25:0,5:36.44:70794:0.25:0,5:36.8:66070:0.25:0,5:36.61:59643:0.25:0,5:36.79:54004:0.25:0,5:37.35:71585:0.25:0,5:266.31:3205150:0.25:0,5:35.72:30412:0.25:0,5:34.44:47095:0.25:0,[5:34.12:25456:0.25:0
NVMI_122019P25,170:36.27:117855:0.04:0,170:36.44:70794:0.04:0,170:36.8:66070:0.04:0,170:36.61:59643:0.04:0,170:36.79:54004:0.04:0,170:37.35:71585:0.04:0,170:266.31:3205150:0.04:0,170:35.72:30412:0.04:0,170:34.44:47095:0.04:0,[170:34.12:25456:0.04:0
NVMI_122019P30,15:36.27:117855:0.35:0,15:36.44:70794:0.35:0,15:36.8:66070:0.35:0,15:36.61:59643:0.35:0,15:36.79:54004:0.35:0,15:37.35:71585:0.35:0,15:266.31:3205150:0.05:1,15:35.72:30412:0.05:0,15:34.44:47095:0.05:0,[15:34.12:25456:0.05:0
NVMI_122019P35,27:36.27:117855:0.7:1,27:36.44:70794:0.7:0,27:36.8:66070:0.7:0,27:36.61:59643:0.7:0,27:36.79:54004:0.7:0,27:37.35:71585:0.7:0,27:266.31:3205150:0.7:0,27:35.72:30412:0.7:0,27:34.44:47095:0.7:0,[27:34.12:25456:0.7:0
NVMI_122019P40,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_122019P45,0:36.27:117855:0.0:0,0:36.44:70794:0.0:0,0:36.8:66070:0.0:0,0:36.61:59643:0.0:0,0:36.79:54004:0.0:0,0:37.35:71585:0.0:0,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720P20,U,U,U,U,U,U,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720P22.5,U,U,U,U,U,U,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720P25,U,U,U,U,U,U,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720P30,U,U,U,U,U,U,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720P35,U,U,U,U,U,U,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720P40,U,U,U,U,U,U,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720P45,U,U,U,U,U,U,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720P50,U,U,U,U,U,U,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
NVMI_011720P55,U,U,U,U,U,U,0:266.31:3205150:0.0:0,0:35.72:30412:0.0:0,0:34.44:47095:0.0:0,[0:34.12:25456:0.0:0
