Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
OLED_112219C152.5,0:175.99,0:175.02,0:173.65,0:200.18,0.0,0:201.55,0:201.67,0:198.83,0:199.02:418060:0.0:0,0:199.88:416532:0.0:0,0:198.98:367329:0.0:0,0:203.63:635596:0.0:0,0:200.7:562956:0.0:0,0:199.44:241093:0.0:0,0:202.29:372397:0.0:0,0:202.68:234995:0.0:0,0:200.87:261563:0.0:0,0:197.65:239009:0.0:0,0:192.9:474505:0.0:0
OLED_112219C155,0:175.99,0:175.02,0:173.65,0:200.18,0.0,0:201.55,0:201.67,0:198.83,0:199.02:418060:0.0:0,0:199.88:416532:0.0:0,0:198.98:367329:0.0:0,0:203.63:635596:0.0:0,0:200.7:562956:0.0:0,0:199.44:241093:0.0:0,0:202.29:372397:0.0:0,0:202.68:234995:0.0:0,0:200.87:261563:0.0:0,0:197.65:239009:0.0:0,0:192.9:474505:0.0:0
OLED_112219C157.5,2:175.99,2:175.02,2:173.65,2:200.18,2.0,2:201.55,2:201.67,2:198.83,1:199.02:418060:42.68:1,0:199.88:416532:42.68:0,0:198.98:367329:42.68:0,0:203.63:635596:42.68:0,0:200.7:562956:42.68:0,0:199.44:241093:42.68:0,0:202.29:372397:42.68:0,U:202.68:234995::,0:200.87:261563:42.68:0,0:197.65:239009:42.68:0,0:192.9:474505:42.68:0
OLED_112219C160,0:175.99,0:175.02,0:173.65,10:200.18,0.0,0:201.55,0:201.67,0:198.83,0:199.02:418060:36.15:0,0:199.88:416532:36.15:0,0:198.98:367329:36.15:0,0:203.63:635596:36.15:0,0:200.7:562956:36.15:0,0:199.44:241093:36.15:0,0:202.29:372397:36.15:0,0:202.68:234995:36.15:0,0:200.87:261563:36.15:0,0:197.65:239009:36.15:0,0:192.9:474505:36.15:0
OLED_112219C162.5,0:175.99,1:175.02,1:173.65,1:200.18,1.0,1:201.55,1:201.67,1:198.83,1:199.02:418060:20.1:0,1:199.88:416532:20.1:0,1:198.98:367329:20.1:0,1:203.63:635596:20.1:0,1:200.7:562956:20.1:0,1:199.44:241093:20.1:0,1:202.29:372397:20.1:0,U:202.68:234995::,1:200.87:261563:20.1:0,1:197.65:239009:20.1:0,1:192.9:474505:20.1:0
OLED_112219C165,6:175.99,7:175.02,7:173.65,11:200.18,22.0,22:201.55,22:201.67,22:198.83,22:199.02:418060:34.0:0,22:199.88:416532:34.0:0,22:198.98:367329:34.0:0,22:203.63:635596:34.0:0,22:200.7:562956:34.0:0,22:199.44:241093:34.0:0,22:202.29:372397:34.0:0,22:202.68:234995:34.0:0,22:200.87:261563:34.0:0,22:197.65:239009:34.0:0,22:192.9:474505:34.0:0
OLED_112219C167.5,0:175.99,0:175.02,0:173.65,0:200.18,0.0,1:201.55,1:201.67,1:198.83,1:199.02:418060:31.5:0,1:199.88:416532:31.5:0,1:198.98:367329:31.5:0,1:203.63:635596:31.5:0,1:200.7:562956:31.5:0,1:199.44:241093:31.5:0,1:202.29:372397:31.5:0,U:202.68:234995::,1:200.87:261563:31.5:0,1:197.65:239009:33.0:1,1:192.9:474505:33.0:0
OLED_112219C170,1:175.99,1:175.02,1:173.65,1:200.18,2.0,2:201.55,2:201.67,2:198.83,2:199.02:418060:31.9:1,2:199.88:416532:31.9:0,2:198.98:367329:31.9:0,2:203.63:635596:31.9:0,2:200.7:562956:31.9:0,2:199.44:241093:31.9:0,2:202.29:372397:31.9:0,U:202.68:234995::,2:200.87:261563:31.9:0,2:197.65:239009:31.9:0,[2:192.9:474505:31.9:0
OLED_112219C172.5,0:175.99,0:175.02,0:173.65,2:200.18,1.0,1:201.55,1:201.67,1:198.83,1:199.02:418060:25.32:0,1:199.88:416532:25.32:0,1:198.98:367329:25.32:0,1:203.63:635596:25.32:0,1:200.7:562956:25.32:0,1:199.44:241093:25.32:0,1:202.29:372397:25.32:0,1:202.68:234995:25.32:0,1:200.87:261563:25.32:0,1:197.65:239009:25.32:0,[1:192.9:474505:25.32:0
OLED_112219C175,12:175.99,13:175.02,13:173.65,14:200.18,13.0,13:201.55,13:201.67,13:198.83,13:199.02:418060:25.41:0,13:199.88:416532:25.41:0,13:198.98:367329:25.41:0,13:203.63:635596:25.41:0,13:200.7:562956:22.3:1,13:199.44:241093:22.3:0,13:202.29:372397:22.3:0,13:202.68:234995:22.3:0,13:200.87:261563:22.3:0,13:197.65:239009:22.3:0,[13:192.9:474505:17.44:4
