Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
OLED_112219P152.5,8:175.99,8:175.02,8:173.65,8:200.18,8.0,8:201.55,8:201.67,8:198.83,8:199.02:418060:3.9:0,U:199.88:416532:.:,8:198.98:367329:3.9:0,8:203.63:635596:3.9:0,8:200.7:562956:3.9:0,8:199.44:241093:3.9:0,8:202.29:372397:3.9:0,8:202.68:234995:3.9:0,8:200.87:261563:3.9:0,8:197.65:239009:3.9:0,8:192.9:474505:3.9:0
OLED_112219P155,0:175.99,0:175.02,0:173.65,0:200.18,0.0,0:201.55,0:201.67,0:198.83,0:199.02:418060:4.34:0,0:199.88:416532:4.34:0,0:198.98:367329:4.34:0,0:203.63:635596:4.34:0,0:200.7:562956:4.34:0,0:199.44:241093:4.34:0,0:202.29:372397:4.34:0,0:202.68:234995:4.34:0,0:200.87:261563:4.34:0,0:197.65:239009:4.34:0,0:192.9:474505:4.34:0
OLED_112219P157.5,4:175.99,4:175.02,4:173.65,4:200.18,4.0,4:201.55,4:201.67,4:198.83,4:199.02:418060:13.0:0,4:199.88:416532:13.0:0,4:198.98:367329:13.0:0,4:203.63:635596:13.0:0,4:200.7:562956:13.0:0,4:199.44:241093:13.0:0,4:202.29:372397:13.0:0,4:202.68:234995:13.0:0,4:200.87:261563:13.0:0,U:197.65:239009:U:U,4:192.9:474505:13.0:0
OLED_112219P160,4:175.99,9:175.02,9:173.65,9:200.18,9.0,9:201.55,9:201.67,9:198.83,9:199.02:418060:5.9:0,9:199.88:416532:5.9:0,9:198.98:367329:5.9:0,9:203.63:635596:5.9:0,9:200.7:562956:5.9:0,9:199.44:241093:5.9:0,9:202.29:372397:5.9:0,9:202.68:234995:5.9:0,9:200.87:261563:5.9:0,U:197.65:239009:.:U,9:192.9:474505:5.9:0
OLED_112219P162.5,1:175.99,1:175.02,1:173.65,1:200.18,2.0,2:201.55,2:201.67,2:198.83,2:199.02:418060:0.9:0,2:199.88:416532:0.9:0,2:198.98:367329:0.05:1,2:203.63:635596:0.05:0,2:200.7:562956:0.05:0,2:199.44:241093:0.05:0,2:202.29:372397:0.05:0,2:202.68:234995:0.05:0,2:200.87:261563:0.05:0,2:197.65:239009:0.05:0,2:192.9:474505:0.05:0
OLED_112219P165,3:175.99,3:175.02,3:173.65,5:200.18,4.0,4:201.55,4:201.67,4:198.83,3:199.02:418060:0.27:1,3:199.88:416532:0.27:0,3:198.98:367329:0.27:0,3:203.63:635596:0.27:0,3:200.7:562956:0.27:0,3:199.44:241093:0.27:0,3:202.29:372397:0.27:0,3:202.68:234995:0.27:0,3:200.87:261563:0.27:0,3:197.65:239009:0.27:0,3:192.9:474505:0.27:0
OLED_112219P167.5,2:175.99,2:175.02,2:173.65,2:200.18,2.0,2:201.55,2:201.67,2:198.83,2:199.02:418060:0.23:0,2:199.88:416532:0.23:0,2:198.98:367329:0.23:0,2:203.63:635596:0.23:0,2:200.7:562956:0.23:0,2:199.44:241093:0.23:0,2:202.29:372397:0.23:0,U:202.68:234995::,2:200.87:261563:0.23:0,U:197.65:239009:U:U,2:192.9:474505:0.23:0
OLED_112219P170,10:175.99,10:175.02,10:173.65,10:200.18,44.0,40:201.55,142:201.67,142:198.83,141:199.02:418060:0.37:0,141:199.88:416532:0.37:0,141:198.98:367329:0.37:0,141:203.63:635596:0.4:3,141:200.7:562956:0.4:0,141:199.44:241093:0.4:0,141:202.29:372397:0.4:0,U:202.68:234995::,138:200.87:261563:0.03:0,138:197.65:239009:0.03:0,[138:192.9:474505:0.03:0
OLED_112219P172.5,17:175.99,17:175.02,17:173.65,17:200.18,37.0,37:201.55,37:201.67,37:198.83,37:199.02:418060:1.31:0,37:199.88:416532:0.45:2,36:198.98:367329:0.36:2,36:203.63:635596:0.36:0,36:200.7:562956:0.36:0,36:199.44:241093:0.36:0,36:202.29:372397:0.36:0,36:202.68:234995:0.36:0,36:200.87:261563:0.36:0,36:197.65:239009:0.36:0,[36:192.9:474505:0.36:0
OLED_112219P175,7:175.99,7:175.02,8:173.65,8:200.18,10.0,10:201.55,10:201.67,10:198.83,10:199.02:418060:0.43:7,11:199.88:416532:0.41:8,17:198.98:367329:0.41:0,17:203.63:635596:0.21:3,17:200.7:562956:0.21:0,17:199.44:241093:0.21:0,17:202.29:372397:0.21:0,17:202.68:234995:0.21:0,U:200.87:261563:U:U,17:197.65:239009:0.21:0,[17:192.9:474505:0.21:0
OLED_112219P177.5,1:175.99,2:175.02,2:173.65,2:200.18,2.0,2:201.55,12:201.67,12:198.83,12:199.02:418060:0.9:0,12:199.88:416532:0.9:0,12:198.98:367329:0.9:0,12:203.63:635596:0.9:0,12:200.7:562956:0.37:1,13:199.44:241093:0.26:1,14:202.29:372397:0.26:0,14:202.68:234995:0.26:0,14:200.87:261563:0.26:0,14:197.65:239009:0.26:0,[14:192.9:474505:0.26:0
OLED_112219P180,0:175.99,0:175.02,0:173.65,0:200.18,1.0,5:201.55,15:201.67,15:198.83,16:199.02:418060:0.8:1,17:199.88:416532:0.71:3,19:198.98:367329:0.6:2,19:203.63:635596:0.6:0,19:200.7:562956:0.6:0,19:199.44:241093:0.6:0,19:202.29:372397:0.6:0,19:202.68:234995:0.1:1,18:200.87:261563:0.11:0,18:197.65:239009:0.11:0,[18:192.9:474505:0.11:0
OLED_112219P182.5,0:175.99,0:175.02,0:173.65,0:200.18,0.0,0:201.55,0:201.67,0:198.83,5:199.02:418060:0.88:7,7:199.88:416532:0.88:0,7:198.98:367329:0.88:0,7:203.63:635596:0.88:0,7:200.7:562956:0.88:0,7:199.44:241093:0.88:0,7:202.29:372397:0.88:0,7:202.68:234995:0.88:0,27:200.87:261563:0.1:27,34:197.65:239009:0.1:0,[34:192.9:474505:0.1:0
OLED_112219P185,0:175.99,0:175.02,0:173.65,0:200.18,0.0,1:201.55,2:201.67,3:198.83,4:199.02:418060:1.5:0,4:199.88:416532:1.0:2,6:198.98:367329:0.93:2,8:203.63:635596:0.93:0,8:200.7:562956:0.8:3,7:199.44:241093:0.8:0,7:202.29:372397:0.28:17,19:202.68:234995:0.15:12,24:200.87:261563:0.15:0,24:197.65:239009:0.15:0,[24:192.9:474505:0.15:0
OLED_112219P187.5,0:175.99,0:175.02,0:173.65,0:200.18,0.0,4:201.55,17:201.67,17:198.83,17:199.02:418060:1.4:16,33:199.88:416532:1.49:1,33:198.98:367329:1.38:10,43:203.63:635596:1.38:0,43:200.7:562956:1.05:3,44:199.44:241093:1.05:0,44:202.29:372397:1.05:0,44:202.68:234995:0.25:16,46:200.87:261563:0.13:10,56:197.65:239009:0.13:7,[63:192.9:474505:0.16:50
OLED_112219P190,0:175.99,0:175.02,0:173.65,0:200.18,0.0,3:201.55,13:201.67,15:198.83,15:199.02:418060:2.1:0,15:199.88:416532:2.1:0,15:198.98:367329:1.75:10,25:203.63:635596:0.9:2,27:200.7:562956:1.3:6,32:199.44:241093:1.3:14,40:202.29:372397:0.5:13,50:202.68:234995:0.3:37,95:200.87:261563:0.3:19,110:197.65:239009:0.1:56,[136:192.9:474505:0.01:81
OLED_112219P192.5,0:175.99,0:175.02,0:173.65,1:200.18,1.0,1:201.55,6:201.67,6:198.83,6:199.02:418060:2.9:0,6:199.88:416532:2.9:0,6:198.98:367329:2.9:0,6:203.63:635596:1.1:1,7:200.7:562956:1.4:1,7:199.44:241093:1.95:6,13:202.29:372397:0.77:3,U:202.68:234995::,82:200.87:261563:0.66:20,72:197.65:239009:0.3:55,[121:192.9:474505:0.8:58
OLED_112219P195,0:175.99,0:175.02,0:173.65,0:200.18,0.0,3:201.55,8:201.67,8:198.83,8:199.02:418060:3.23:1,9:199.88:416532:3.23:0,9:198.98:367329:3.1:1,10:203.63:635596:1.47:16,21:200.7:562956:3.0:21,31:199.44:241093:2.5:27,47:202.29:372397:1.2:24,U:202.68:234995::,65:200.87:261563:0.85:2,65:197.65:239009:0.61:10,[69:192.9:474505:2.5:46
