Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
OLLI_122019C45,0:66.11,3:64.63,3:63.88,3.0,3:65.57,3:67.09,3:65.41,3:66.29:736182:21.4:0,3:67.07:411400:21.4:0,3:64.01:903185:21.4:0,3:64.385:638299:21.4:0,3:63.87:491218:21.4:0,3:64.49:478607:21.4:0,3:64.79:624163:21.4:0,3:202.68:234995:21.4:0,3:64.42:571172:21.4:0,3:63.19:925367:21.4:0,[3:62.31:820208:21.4:0
OLLI_122019C47.5,0:66.11,0:64.63,0:63.88,0.0,0:65.57,0:67.09,0:65.41,0:66.29:736182:0.0:0,0:67.07:411400:0.0:0,0:64.01:903185:0.0:0,0:64.385:638299:0.0:0,0:63.87:491218:0.0:0,0:64.49:478607:0.0:0,0:64.79:624163:0.0:0,0:202.68:234995:0.0:0,0:64.42:571172:0.0:0,0:63.19:925367:0.0:0,[0:62.31:820208:0.0:0
OLLI_122019C50,0:66.11,0:64.63,0:63.88,0.0,0:65.57,0:67.09,0:65.41,0:66.29:736182:0.0:0,0:67.07:411400:0.0:0,0:64.01:903185:0.0:0,0:64.385:638299:0.0:0,0:63.87:491218:0.0:0,0:64.49:478607:0.0:0,0:64.79:624163:0.0:0,U:202.68:234995::,0:64.42:571172:0.0:0,0:63.19:925367:0.0:0,[0:62.31:820208:0.0:0
OLLI_122019C55,0:66.11,0:64.63,0:63.88,0.0,0:65.57,0:67.09,0:65.41,0:66.29:736182:0.0:0,0:67.07:411400:0.0:0,0:64.01:903185:0.0:0,0:64.385:638299:0.0:0,0:63.87:491218:0.0:0,0:64.49:478607:0.0:0,0:64.79:624163:0.0:0,U:202.68:234995::,0:64.42:571172:0.0:0,0:63.19:925367:0.0:0,[0:62.31:820208:0.0:0
OLLI_122019C57.5,0:66.11,0:64.63,0:63.88,0.0,0:65.57,0:67.09,0:65.41,0:66.29:736182:0.0:0,0:67.07:411400:0.0:0,0:64.01:903185:0.0:0,0:64.385:638299:0.0:0,0:63.87:491218:0.0:0,0:64.49:478607:0.0:0,0:64.79:624163:0.0:0,U:202.68:234995::,0:64.42:571172:0.0:0,0:63.19:925367:0.0:0,[0:62.31:820208:0.0:0
OLLI_122019C60,2:66.11,5:64.63,5:63.88,5.0,5:65.57,5:67.09,5:65.41,5:66.29:736182:7.1:0,5:67.07:411400:7.1:0,5:64.01:903185:7.1:0,5:64.385:638299:7.1:0,5:63.87:491218:6.35:2,5:64.49:478607:6.7:2,4:64.79:624163:6.7:0,U:202.68:234995::,4:64.42:571172:6.9:8,10:63.19:925367:6.9:0,[10:62.31:820208:5.5:2
OLLI_122019C62.5,0:66.11,5:64.63,5:63.88,5.0,5:65.57,6:67.09,7:65.41,7:66.29:736182:6.6:2,7:67.07:411400:6.6:0,7:64.01:903185:5.2:41,44:64.385:638299:5.2:5,44:63.87:491218:4.64:31,75:64.49:478607:5.1:33,80:64.79:624163:5.7:1,U:202.68:234995::,185:64.42:571172:5.1:10,195:63.19:925367:5.1:0,[195:62.31:820208:4.12:102
OLLI_122019C65,24:66.11,24:64.63,31:63.88,31.0,31:65.57,45:67.09,47:65.41,87:66.29:736182:5.2:62,92:67.07:411400:5.2:5,92:64.01:903185:3.81:3,89:64.385:638299:3.93:3,88:63.87:491218:3.59:11,98:64.49:478607:3.92:21,111:64.79:624163:4.1:6,110:202.68:234995:4.0:129,243:64.42:571172:4.1:17,245:63.19:925367:3.17:1,[245:62.31:820208:2.83:6
OLLI_122019C67.5,32:66.11,233:64.63,339:63.88,339.0,339:65.57,343:67.09,344:65.41,344:66.29:736182:4.5:24,353:67.07:411400:3.9:1,353:64.01:903185:2.86:15,356:64.385:638299:2.86:0,356:63.87:491218:2.65:15,358:64.49:478607:2.65:7,360:64.79:624163:2.92:27,U:202.68:234995:::202.68:234995::,377:64.42:571172:2.75:0,377:63.19:925367:2.35:10,[383:62.31:820208:2.13:71
OLLI_122019C70,97:66.11,98:64.63,92:63.88,92.0,92:65.57,94:67.09,91:65.41,92:66.29:736182:2.94:1,92:67.07:411400:3.01:3,93:64.01:903185:2.0:13,96:64.385:638299:2.1:8,100:63.87:491218:1.88:2,100:64.49:478607:1.91:13,112:64.79:624163:2.05:17,118:202.68:234995:2.1:28,146:64.42:571172:2.05:16,159:63.19:925367:1.75:11,[170:62.31:820208:1.5:22
