Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
OLLI_122019P45,300:66.11,300:64.63,300:63.88,300.0,300:65.57,300:67.09,300:65.41,300:66.29:736182:0.08:0,300:67.07:411400:0.08:0,300:64.01:903185:0.08:0,300:64.385:638299:0.08:0,300:63.87:491218:0.08:0,300:64.49:478607:0.08:0,300:64.79:624163:0.08:0,300:202.68:234995:0.08:0,300:64.42:571172:0.08:0,300:63.19:925367:0.08:0,[300:62.31:820208:0.08:0
OLLI_122019P47.5,0:66.11,0:64.63,0:63.88,20.0,20:65.57,20:67.09,20:65.41,20:66.29:736182:0.32:0,20:67.07:411400:0.32:0,20:64.01:903185:0.32:0,20:64.385:638299:0.32:0,20:63.87:491218:0.32:0,20:64.49:478607:0.32:0,20:64.79:624163:0.32:0,20:202.68:234995:0.32:0,20:64.42:571172:0.32:1,21:63.19:925367:0.35:35,[56:62.31:820208:0.3:10
OLLI_122019P50,1:66.11,1:64.63,1:63.88,1.0,4:65.57,4:67.09,4:65.41,4:66.29:736182:0.55:0,4:67.07:411400:0.31:7,11:64.01:903185:0.31:0,11:64.385:638299:0.31:0,11:63.87:491218:0.31:0,11:64.49:478607:0.31:0,11:64.79:624163:0.31:0,11:202.68:234995:0.29:5,11:64.42:571172:0.4:11,20:63.19:925367:0.45:11,[31:62.31:820208:0.6:1
OLLI_122019P55,300:66.11,300:64.63,300:63.88,300.0,300:65.57,300:67.09,300:65.41,400:66.29:736182:1.05:0,400:67.07:411400:0.82:1,401:64.01:903185:1.05:17,415:64.385:638299:1.1:2,417:63.87:491218:1.17:7,424:64.49:478607:0.95:20,441:64.79:624163:0.95:0,441:202.68:234995:0.94:7,441:64.42:571172:1.0:1,442:63.19:925367:1.15:2,[442:62.31:820208:1.5:61
OLLI_122019P57.5,12:66.11,12:64.63,13:63.88,13.0,23:65.57,33:67.09,47:65.41,47:66.29:736182:1.23:0,47:67.07:411400:1.26:2,49:64.01:903185:1.6:2,51:64.385:638299:1.6:0,51:63.87:491218:1.6:0,51:64.49:478607:1.62:1,51:64.79:624163:1.36:1,52:202.68:234995:1.5:2,55:64.42:571172:1.5:0,55:63.19:925367:1.5:0,[55:62.31:820208:2.15:70
OLLI_122019P60,7:66.11,7:64.63,7:63.88,7.0,8:65.57,8:67.09,8:65.41,28:66.29:736182:1.73:1,29:67.07:411400:1.76:3,32:64.01:903185:2.35:29,61:64.385:638299:2.45:10,71:63.87:491218:2.35:14,77:64.49:478607:2.16:9,86:64.79:624163:2.05:4,90:202.68:234995:2.1:38,112:64.42:571172:2.1:6,115:63.19:925367:2.5:5,[115:62.31:820208:3.1:47
OLLI_122019P62.5,13:66.11,13:64.63,14:63.88,14.0,14:65.57,14:67.09,18:65.41,18:66.29:736182:2.38:1,18:67.07:411400:2.38:0,18:64.01:903185:3.2:6,17:64.385:638299:3.2:0,17:63.87:491218:3.6:29,38:64.49:478607:3.4:11,48:64.79:624163:3.0:22,65:202.68:234995:3.1:86,232:64.42:571172:3.22:19,247:63.19:925367:3.7:1,[248:62.31:820208:4.3:80
OLLI_122019P65,5:66.11,27:64.63,50:63.88,108.0,107:65.57,128:67.09,128:65.41,172:66.29:736182:3.5:16,182:67.07:411400:3.9:1,183:64.01:903185:4.7:3,184:64.385:638299:4.25:5,189:63.87:491218:4.9:24,209:64.49:478607:4.6:17,226:64.79:624163:4.1:38,261:202.68:234995:4.3:106,417:64.42:571172:4.5:20,432:63.19:925367:5.04:4,[432:62.31:820208:5.7:2019
OLLI_122019P67.5,88:66.11,108:64.63,126:63.88,126.0,126:65.57,146:67.09,156:65.41,156:66.29:736182:4.7:12,168:67.07:411400:4.7:0,168:64.01:903185:4.7:0,168:64.385:638299:4.7:0,168:63.87:491218:4.7:0,168:64.49:478607:6.0:5,168:64.79:624163:5.4:5,173:202.68:234995:5.4:0,173:64.42:571172:5.4:0,173:63.19:925367:7.0:5,[178:62.31:820208:7.0:0
OLLI_122019P70,6:66.11,6:64.63,6:63.88,6.0,6:65.57,6:67.09,17:65.41,17:66.29:736182:6.6:0,17:67.07:411400:6.6:0,17:64.01:903185:7.49:4,17:64.385:638299:7.49:0,17:63.87:491218:7.49:0,17:64.49:478607:7.53:16,33:64.79:624163:7.53:0,33:202.68:234995:7.53:0,33:64.42:571172:7.53:0,33:63.19:925367:8.5:4,[29:62.31:820208:9.2:133
OLLI_122019P75,0:66.11,0:64.63,0:63.88,0.0,0:65.57,0:67.09,0:65.41,0:66.29:736182:0.0:0,0:67.07:411400:0.0:0,0:64.01:903185:0.0:0,0:64.385:638299:0.0:0,0:63.87:491218:0.0:0,0:64.49:478607:0.0:0,0:64.79:624163:0.0:0,0:202.68:234995:0.0:0,0:64.42:571172:0.0:0,0:63.19:925367:0.0:0,[0:62.31:820208:0.0:0
OLLI_122019P80,0:66.11,0:64.63,0:63.88,0.0,0:65.57,0:67.09,0:65.41,0:66.29:736182:0.0:0,0:67.07:411400:0.0:0,0:64.01:903185:0.0:0,0:64.385:638299:15.55:5,5:63.87:491218:15.55:0,5:64.49:478607:15.55:0,5:64.79:624163:15.55:0,5:202.68:234995:15.55:0,5:64.42:571172:15.55:0,5:63.19:925367:15.55:0,[5:62.31:820208:15.55:0
