Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ON_122019C12,0:21.71,0:21.79,0:21.51,0:21.54:3489103:0.0:0,0:21.63:2639702:0.0:0,0:21.5:2149963:0.0:0,0:21.69:4257081:0.0:0,0:21.54:3112853:0.0:0,0:21.48:2410991:0.0:0,0:21.79:4792295:0.0:0,0:21.135:3350592:0.0:0,0:20.775:3109638:0.0:0,0:20.77:3092431:0.0:0,[0:20.81:2351796:0.0:0
ON_122019C13,0:21.71,0:21.79,0:21.51,0:21.54:3489103:0.0:0,0:21.63:2639702:0.0:0,0:21.5:2149963:0.0:0,0:21.69:4257081:0.0:0,0:21.54:3112853:0.0:0,0:21.48:2410991:0.0:0,0:21.79:4792295:0.0:0,0:21.135:3350592:0.0:0,0:20.775:3109638:0.0:0,0:20.77:3092431:0.0:0,[0:20.81:2351796:0.0:0
ON_122019C14,0:21.71,0:21.79,0:21.51,0:21.54:3489103:0.0:0,0:21.63:2639702:0.0:0,0:21.5:2149963:0.0:0,0:21.69:4257081:0.0:0,0:21.54:3112853:0.0:0,0:21.48:2410991:0.0:0,0:21.79:4792295:0.0:0,0:21.135:3350592:0.0:0,0:20.775:3109638:0.0:0,0:20.77:3092431:0.0:0,[0:20.81:2351796:0.0:0
ON_122019C15,0:21.71,0:21.79,0:21.51,0:21.54:3489103:0.0:0,0:21.63:2639702:0.0:0,0:21.5:2149963:0.0:0,0:21.69:4257081:0.0:0,0:21.54:3112853:0.0:0,0:21.48:2410991:0.0:0,0:21.79:4792295:0.0:0,0:21.135:3350592:0.0:0,0:20.775:3109638:0.0:0,0:20.77:3092431:0.0:0,[0:20.81:2351796:0.0:0
ON_122019C16,0:21.71,0:21.79,0:21.51,0:21.54:3489103:0.0:0,0:21.63:2639702:0.0:0,0:21.5:2149963:0.0:0,0:21.69:4257081:0.0:0,0:21.54:3112853:0.0:0,0:21.48:2410991:0.0:0,0:21.79:4792295:0.0:0,0:21.135:3350592:0.0:0,0:20.775:3109638:0.0:0,0:20.77:3092431:0.0:0,[0:20.81:2351796:0.0:0
ON_122019C17,0:21.71,0:21.79,0:21.51,0:21.54:3489103:0.0:0,0:21.63:2639702:0.0:0,0:21.5:2149963:0.0:0,0:21.69:4257081:0.0:0,0:21.54:3112853:0.0:0,0:21.48:2410991:0.0:0,0:21.79:4792295:0.0:0,0:21.135:3350592:0.0:0,0:20.775:3109638:0.0:0,0:20.77:3092431:0.0:0,[0:20.81:2351796:0.0:0
ON_122019C18,60:21.71,60:21.79,60:21.51,60:21.54:3489103:3.21:0,60:21.63:2639702:3.21:0,60:21.5:2149963:3.21:0,60:21.69:4257081:3.21:0,60:21.54:3112853:3.21:0,60:21.48:2410991:3.21:0,60:21.79:4792295:3.21:0,60:21.135:3350592:3.21:0,60:20.775:3109638:3.21:0,60:20.77:3092431:3.21:0,[60:20.81:2351796:3.21:0
ON_122019C19,25:21.71,25:21.79,25:21.51,25:21.54:3489103:3.08:2,25:21.63:2639702:3.08:0,25:21.5:2149963:3.08:0,25:21.69:4257081:3.08:0,25:21.54:3112853:3.08:0,25:21.48:2410991:3.08:0,25:21.79:4792295:3.08:0,25:21.135:3350592:2.54:10,35:20.775:3109638:2.54:0,35:20.77:3092431:2.54:0,[35:20.81:2351796:2.18:201
ON_122019C20,132:21.71,132:21.79,137:21.51,142:21.54:3489103:2.11:29,160:21.63:2639702:2.11:0,160:21.5:2149963:1.94:2,160:21.69:4257081:2.04:7,162:21.54:3112853:1.9:3,163:21.48:2410991:1.94:5,168:21.79:4792295:1.94:0,168:21.135:3350592:1.55:32,200:20.775:3109638:1.3:109,268:20.77:3092431:1.25:23,[268:20.81:2351796:1.37:160
ON_122019C21,150:21.71,155:21.79,148:21.51,168:21.54:3489103:1.48:2,168:21.63:2639702:1.32:6,174:21.5:2149963:1.3:10,184:21.69:4257081:1.46:5,186:21.54:3112853:1.26:3,184:21.48:2410991:1.2:1,185:21.79:4792295:1.35:19,203:21.135:3350592:0.92:32,223:20.775:3109638:0.8:14,223:20.77:3092431:0.8:0,[223:20.81:2351796:0.68:1
ON_122019C22,546:21.71,524:21.79,569:21.51,578:21.54:3489103:0.85:53,601:21.63:2639702:0.85:11,601:21.5:2149963:0.75:17,617:21.69:4257081:0.8:105,617:21.54:3112853:0.75:74,632:21.48:2410991:0.75:0,632:21.79:4792295:0.74:30,648:21.135:3350592:0.46:169,748:20.775:3109638:0.4:96,767:20.77:3092431:0.35:212,[859:20.81:2351796:0.3:5
ON_122019C23,223:21.71,258:21.79,308:21.51,309:21.54:3489103:0.56:2,309:21.63:2639702:0.45:20,319:21.5:2149963:0.4:48,351:21.69:4257081:0.45:72,401:21.54:3112853:0.35:540,935:21.48:2410991:0.35:0,935:21.79:4792295:0.38:119,1042:21.135:3350592:0.25:46,1226:20.775:3109638:0.15:113,1310:20.77:3092431:0.13:8,[1304:20.81:2351796:0.14:276
ON_122019C24,38:21.71,38:21.79,38:21.51,57:21.54:3489103:0.21:0,57:21.63:2639702:0.21:0,57:21.5:2149963:0.2:65,107:21.69:4257081:0.2:1,107:21.54:3112853:0.2:1,106:21.48:2410991:0.2:0,106:21.79:4792295:0.19:501,589:21.135:3350592:0.1:1,587:20.775:3109638:0.05:0,587:20.77:3092431:0.06:200,[787:20.81:2351796:0.05:1
ON_122019C25,2:21.71,1:21.79,31:21.51,30:21.54:3489103:0.15:11,41:21.63:2639702:0.15:0,41:21.5:2149963:0.15:0,41:21.69:4257081:0.1:9,50:21.54:3112853:0.1:0,50:21.48:2410991:0.1:0,50:21.79:4792295:0.1:0,50:21.135:3350592:0.1:0,51:20.775:3109638:0.25:0,51:20.77:3092431:0.03:2,[53:20.81:2351796:0.03:0
ON_122019C26,1:21.71,1:21.79,1:21.51,1:21.54:3489103:0.08:0,1:21.63:2639702:0.08:0,1:21.5:2149963:0.08:0,1:21.69:4257081:0.08:0,1:21.54:3112853:0.08:0,1:21.48:2410991:0.08:0,1:21.79:4792295:0.08:0,1:21.135:3350592:0.08:0,1:20.775:3109638:0.08:0,1:20.77:3092431:0.08:0,[1:20.81:2351796:0.08:0
ON_122019C27,0:21.71,0:21.79,8:21.51,8:21.54:3489103:0.03:4,4:21.63:2639702:0.03:0,4:21.5:2149963:0.03:0,4:21.69:4257081:0.03:0,4:21.54:3112853:0.03:0,4:21.48:2410991:0.03:0,4:21.79:4792295:0.03:0,4:21.135:3350592:0.03:0,4:20.775:3109638:0.03:0,4:20.77:3092431:0.03:0,[4:20.81:2351796:0.03:0
ON_011720C12,U,U,U,U,U,U,U,U,31:21.48:2410991:7.8:0,31:21.79:4792295:7.8:0,31:21.135:3350592:7.8:0,31:20.775:3109638:7.8:0,31:20.77:3092431:7.8:0,[31:20.81:2351796:7.8:0
ON_011720C13,U,U,U,U,U,U,U,U,92:21.48:2410991:8.25:0,92:21.79:4792295:8.25:0,92:21.135:3350592:8.25:0,92:20.775:3109638:8.25:0,92:20.77:3092431:8.25:0,[92:20.81:2351796:8.25:0
ON_011720C14,U,U,U,U,U,U,U,U,2:21.48:2410991:5.3:0,2:21.79:4792295:5.3:0,2:21.135:3350592:5.3:0,2:20.775:3109638:5.3:0,2:20.77:3092431:5.3:0,[2:20.81:2351796:5.3:0
ON_011720C15,U,U,U,U,U,U,U,U,116:21.48:2410991:6.6:0,116:21.79:4792295:6.6:0,116:21.135:3350592:6.6:0,116:20.775:3109638:6.6:0,116:20.77:3092431:6.6:0,[116:20.81:2351796:6.6:0
ON_011720C16,U,U,U,U,U,U,U,U,73:21.48:2410991:6.1:0,73:21.79:4792295:6.1:0,73:21.135:3350592:6.1:0,73:20.775:3109638:6.1:0,73:20.77:3092431:6.1:0,[73:20.81:2351796:6.1:0
ON_011720C17,U,U,U,U,U,U,U,U,391:21.48:2410991:5.1:0,391:21.79:4792295:5.1:0,391:21.135:3350592:5.1:0,391:20.775:3109638:4.1:1,392:20.77:3092431:4.1:0,[392:20.81:2351796:4.1:0
ON_011720C18,U,U,U,U,U,U,U,U,253:21.48:2410991:4.0:0,253:21.79:4792295:4.0:0,253:21.135:3350592:4.0:0,253:20.775:3109638:4.0:0,253:20.77:3092431:4.0:0,[253:20.81:2351796:4.0:0
ON_011720C19,U,U,U,U,U,U,U,U,317:21.48:2410991:3.2:0,317:21.79:4792295:3.2:8,325:21.135:3350592:3.2:0,325:20.775:3109638:3.2:0,325:20.77:3092431:2.32:3,[322:20.81:2351796:2.27:10
ON_011720C20,U,U,U,U,U,U,U,U,2766:21.48:2410991:2.2:5,2761:21.79:4792295:2.3:17,2762:21.135:3350592:1.8:128,3632:20.775:3109638:1.85:42,3613:20.77:3092431:1.6:12,[3601:20.81:2351796:1.7:91
ON_011720C21,U,U,U,U,U,U,U,U,1312:21.48:2410991:1.55:0,1312:21.79:4792295:1.65:3,1313:21.135:3350592:1.29:174,1463:20.775:3109638:1.0:81,1508:20.77:3092431:1.05:56,[1524:20.81:2351796:1.08:8
ON_011720C22,U,U,U,U,U,U,U,U,630:21.48:2410991:1.0:10,636:21.79:4792295:1.05:11,646:21.135:3350592:0.85:57,686:20.775:3109638:0.8:2,686:20.77:3092431:0.62:155,[788:20.81:2351796:0.6:60
ON_011720C23,U,U,U,U,U,U,U,U,1810:21.48:2410991:0.65:25,1819:21.79:4792295:0.64:39,1804:21.135:3350592:0.56:10,1947:20.775:3109638:0.45:11,1949:20.77:3092431:0.45:0,[1949:20.81:2351796:0.45:0
ON_011720C24,U,U,U,U,U,U,U,U,406:21.48:2410991:0.5:0,406:21.79:4792295:0.5:0,406:21.135:3350592:0.25:2,408:20.775:3109638:0.22:90,420:20.77:3092431:0.22:0,[420:20.81:2351796:0.22:0
ON_011720C25,U,U,U,U,U,U,U,U,2289:21.48:2410991:0.2:11,2289:21.79:4792295:0.22:54,2237:21.135:3350592:0.16:97,2312:20.775:3109638:0.14:0,2312:20.77:3092431:0.14:0,[2312:20.81:2351796:0.14:0
