Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ON_122019P12,0:21.71,0:21.79,0:21.51,0:21.54:3489103:0.0:0,0:21.63:2639702:0.0:0,0:21.5:2149963:0.0:0,0:21.69:4257081:0.0:0,0:21.54:3112853:0.0:0,0:21.48:2410991:0.0:0,0:21.79:4792295:0.0:0,0:21.135:3350592:0.0:0,0:20.77:3115679:0.0:0,0:20.77:3092431:0.0:0,[0:20.81:2351796:0.0:0
ON_122019P13,3:21.71,3:21.79,3:21.51,3:21.54:3489103:0.08:0,3:21.63:2639702:0.08:0,3:21.5:2149963:0.08:0,3:21.69:4257081:0.08:0,3:21.54:3112853:0.08:0,3:21.48:2410991:0.08:0,3:21.79:4792295:0.08:0,3:21.135:3350592:0.08:0,3:20.77:3115679:0.08:0,3:20.77:3092431:0.08:0,[3:20.81:2351796:0.08:0
ON_122019P14,10:21.71,10:21.79,10:21.51,10:21.54:3489103:0.03:0,10:21.63:2639702:0.03:0,10:21.5:2149963:0.03:0,10:21.69:4257081:0.03:0,10:21.54:3112853:0.03:0,10:21.48:2410991:0.03:0,10:21.79:4792295:0.03:0,10:21.135:3350592:0.03:0,10:20.77:3115679:0.03:0,10:20.77:3092431:0.03:0,[10:20.81:2351796:0.03:0
ON_122019P15,60:21.71,60:21.79,60:21.51,60:21.54:3489103:0.05:0,60:21.63:2639702:0.05:0,60:21.5:2149963:0.05:0,60:21.69:4257081:0.05:0,60:21.54:3112853:0.03:4,64:21.48:2410991:0.03:0,64:21.79:4792295:0.03:0,64:21.135:3350592:0.03:0,64:20.77:3115679:0.03:0,64:20.77:3092431:0.03:0,[64:20.81:2351796:0.03:0
ON_122019P16,50:21.71,49:21.79,49:21.51,49:21.54:3489103:0.05:0,49:21.63:2639702:0.05:0,49:21.5:2149963:0.05:0,49:21.69:4257081:0.05:0,49:21.54:3112853:0.05:0,49:21.48:2410991:0.05:0,49:21.79:4792295:0.05:0,49:21.135:3350592:0.05:0,47:20.77:3115679:0.03:0,47:20.77:3092431:0.03:0,[47:20.81:2351796:0.03:0
ON_122019P17,20:21.71,20:21.79,20:21.51,20:21.54:3489103:0.09:10,10:21.63:2639702:0.09:0,10:21.5:2149963:0.09:0,10:21.69:4257081:0.09:0,10:21.54:3112853:0.07:1,10:21.48:2410991:0.07:0,10:21.79:4792295:0.07:0,10:21.135:3350592:0.07:0,10:20.77:3115679:0.07:0,10:20.77:3092431:0.11:1,[10:20.81:2351796:0.11:0
ON_122019P18,40:21.71,40:21.79,40:21.51,40:21.54:3489103:0.3:0,40:21.63:2639702:0.3:0,40:21.5:2149963:0.14:10,44:21.69:4257081:0.14:0,44:21.54:3112853:0.14:0,44:21.48:2410991:0.14:0,44:21.79:4792295:0.06:16,44:21.135:3350592:0.06:0,44:20.77:3115679:0.06:0,44:20.77:3092431:0.06:0,[44:20.81:2351796:0.06:0
ON_122019P19,24:21.71,27:21.79,33:21.51,33:21.54:3489103:0.24:1,33:21.63:2639702:0.24:0,33:21.5:2149963:0.2:10,43:21.69:4257081:0.2:5,48:21.54:3112853:0.2:0,48:21.48:2410991:0.18:1,49:21.79:4792295:0.18:0,49:21.135:3350592:0.15:30,79:20.77:3115679:0.25:155,221:20.77:3092431:0.22:2,[221:20.81:2351796:0.22:1
ON_122019P20,148:21.71,148:21.79,152:21.51,175:21.54:3489103:0.48:0,175:21.63:2639702:0.48:0,175:21.5:2149963:0.48:0,175:21.69:4257081:0.35:2,176:21.54:3112853:0.35:24,156:21.48:2410991:0.35:0,156:21.79:4792295:0.27:6,160:21.135:3350592:0.37:126,254:20.77:3115679:0.5:5,259:20.77:3092431:0.5:3,[259:20.81:2351796:0.41:50
ON_122019P21,602:21.71,602:21.79,602:21.51,619:21.54:3489103:0.67:15,634:21.63:2639702:0.67:0,634:21.5:2149963:0.7:10,644:21.69:4257081:0.63:10,644:21.54:3112853:0.62:30,674:21.48:2410991:0.65:25,699:21.79:4792295:0.53:52,715:21.135:3350592:0.75:123,808:20.77:3115679:0.8:7,810:20.77:3092431:0.86:30,[810:20.81:2351796:0.77:2
