Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ORA_122019C30,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019C35,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019C40,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019C45,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019C50,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019C55,0:75.35,0:77.31,0:76.56,2.0,2:75.19,2:76.08,2:76.33,2:76.87:256729:22.7:0,2:76.25:144829:22.7:0,2:75.05:225600:22.7:0,2:75.0:151759:22.7:0,2:75.64:201933:22.7:0,2:75.97:165257:22.7:0,2:76.45:92295:22.7:0,0:76.58:110910:22.7:0,2:76.13:95465:22.7:0,2:76.0:80707:22.7:0,[2:76.46:126692:22.7:0
ORA_122019C60,0:75.35,0:77.31,0:76.56,4.0,4:75.19,4:76.08,4:76.33,4:76.87:256729:8.14:0,4:76.25:144829:8.14:0,4:75.05:225600:8.14:0,4:75.0:151759:8.14:0,4:75.64:201933:8.14:0,4:75.97:165257:8.14:0,4:76.45:92295:8.14:0,0:76.58:110910:8.14:0,4:76.13:95465:8.14:0,4:76.0:80707:8.14:0,[4:76.46:126692:8.14:0
ORA_122019C65,0:75.35,0:77.31,0:76.56,22.0,22:75.19,22:76.08,22:76.33,22:76.87:256729:10.0:0,22:76.25:144829:10.0:0,22:75.05:225600:10.0:0,22:75.0:151759:10.0:0,22:75.64:201933:10.0:0,22:75.97:165257:10.0:0,22:76.45:92295:10.0:0,0:76.58:110910:10.0:0,22:76.13:95465:10.0:0,22:76.0:80707:10.0:0,[22:76.46:126692:10.0:0
ORA_122019C70,0:75.35,13:77.31,0:76.56,34.0,34:75.19,34:76.08,31:76.33,31:76.87:256729:7.09:0,31:76.25:144829:7.09:0,31:75.05:225600:7.09:0,31:75.0:151759:7.09:0,31:75.64:201933:7.09:0,31:75.97:165257:7.09:0,31:76.45:92295:7.09:0,0:76.58:110910:7.18:10,18:76.13:95465:7.3:0,18:76.0:80707:6.3:10,[8:76.46:126692:6.3:0
ORA_122019C75,0:75.35,0:77.31,0:76.56,20.0,20:75.19,21:76.08,21:76.33,21:76.87:256729:4.5:1,21:76.25:144829:4.5:0,21:75.05:225600:4.5:0,21:75.0:151759:2.3:5,16:75.64:201933:2.3:0,16:75.97:165257:2.3:0,16:76.45:92295:2.3:0,0:76.58:110910:2.3:0,16:76.13:95465:2.3:0,16:76.0:80707:2.3:0,[16:76.46:126692:2.3:0
