Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ORA_122019P30,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P35,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P40,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P45,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P50,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P55,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P60,0:75.35,0:77.31,0:76.56,2.0,2:75.19,2:76.08,2:76.33,2:76.87:256729:0.05:15,17:76.25:144829:0.05:0,17:75.05:225600:0.05:0,17:75.0:151759:0.05:0,17:75.64:201933:0.05:0,17:75.97:165257:0.05:0,17:76.45:92295:0.05:0,0:76.58:110910:0.05:0,17:76.13:95465:0.05:0,17:76.0:80707:0.05:0,[17:76.46:126692:0.05:0
ORA_122019P65,0:75.35,0:77.31,0:76.56,11.0,11:75.19,11:76.08,11:76.33,11:76.87:256729:0.3:10,1:76.25:144829:0.3:0,1:75.05:225600:0.3:0,1:75.0:151759:0.3:0,1:75.64:201933:0.3:0,1:75.97:165257:0.3:0,1:76.45:92295:0.3:0,0:76.58:110910:0.3:0,1:76.13:95465:0.3:0,1:76.0:80707:0.3:0,[1:76.46:126692:0.3:0
ORA_122019P70,0:75.35,0:77.31,0:76.56,3.0,3:75.19,3:76.08,3:76.33,4:76.87:256729:1.29:0,4:76.25:144829:1.29:0,4:75.05:225600:0.75:3,4:75.0:151759:0.75:0,4:75.64:201933:0.75:0,4:75.97:165257:0.75:0,4:76.45:92295:0.75:0,0:76.58:110910:0.75:0,4:76.13:95465:0.75:0,4:76.0:80707:0.75:0,[4:76.46:126692:0.75:0
ORA_122019P75,0:75.35,0:77.31,0:76.56,6.0,6:75.19,6:76.08,7:76.33,8:76.87:256729:2.59:0,8:76.25:144829:2.59:0,8:75.05:225600:2.59:0,8:75.0:151759:1.9:5,8:75.64:201933:1.9:0,8:75.97:165257:1.9:0,8:76.45:92295:1.9:0,0:76.58:110910:1.9:0,8:76.13:95465:1.35:1,9:76.0:80707:1.35:0,[9:76.46:126692:1.35:0
ORA_122019P80,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P85,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P90,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P95,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P100,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_122019P105,0:75.35,0:77.31,0:76.56,0.0,0:75.19,0:76.08,0:76.33,0:76.87:256729:0.0:0,0:76.25:144829:0.0:0,0:75.05:225600:0.0:0,0:75.0:151759:0.0:0,0:75.64:201933:0.0:0,0:75.97:165257:0.0:0,0:76.45:92295:0.0:0,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P100,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P105,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P110,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P115,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P40,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P45,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P50,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P55,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P60,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P65,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P70,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P75,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P80,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P85,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P90,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
ORA_011720P95,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:110910:0.0:0,0:76.13:95465:0.0:0,0:76.0:80707:0.0:0,[0:76.46:126692:0.0:0
