Symbol,20191101,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PAYC_122019C160,5.0,5:222.0:432142:51.5:0,5:226.62:469544:51.5:0,5:230.8:584627:51.5:0,5:232.75:516811:51.5:0,5:235.26:551512:51.5:0,5:259.96:1222432:51.5:0,5:261.46:1038881:51.5:0,5:263.31:618457:51.5:0
PAYC_122019C165,2.0,2:222.0:432142:47.0:0,2:226.62:469544:47.0:0,2:230.8:584627:47.0:0,2:232.75:516811:47.0:0,2:235.26:551512:70.0:2,0:259.96:1222432:70.0:0,0:261.46:1038881:70.0:0,0:263.31:618457:70.0:0
PAYC_122019C170,1.0,1:222.0:432142:32.51:0,1:226.62:469544:32.51:0,1:230.8:584627:32.51:0,1:232.75:516811:32.51:0,1:235.26:551512:32.51:0,1:259.96:1222432:32.51:0,1:261.46:1038881:32.51:0,1:263.31:618457:32.51:0
PAYC_122019C175,1.0,1:222.0:432142:32.21:0,1:226.62:469544:32.21:0,1:230.8:584627:32.21:0,1:232.75:516811:32.21:0,1:235.26:551512:32.21:0,1:259.96:1222432:81.38:1,1:261.46:1038881:81.38:0,U:263.31:618457:U:U
PAYC_122019C180,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:53.9:2,2:235.26:551512:56.32:2,2:259.96:1222432:56.32:0,2:261.46:1038881:56.32:0,U:263.31:618457:U:U
PAYC_122019C185,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,0:259.96:1222432:0.0:0,0:261.46:1038881:0.0:0,[0:263.31:618457:0.0:0
PAYC_122019C190,7.0,12:222.0:432142:32.1:0,12:226.62:469544:33.4:5,9:230.8:584627:33.4:0,9:232.75:516811:33.4:0,9:235.26:551512:33.4:0,9:259.96:1222432:33.4:0,9:261.46:1038881:33.4:0,[9:263.31:618457:33.4:0
PAYC_122019C195,30.0,29:222.0:432142:22.06:0,29:226.62:469544:22.06:0,29:230.8:584627:22.06:0,29:232.75:516811:36.5:1,29:235.26:551512:42.1:10,29:259.96:1222432:42.1:0,29:261.46:1038881:42.1:0,[29:263.31:618457:42.1:0
PAYC_122019C200,19.0,22:222.0:432142:24.36:5,25:226.62:469544:24.36:0,25:230.8:584627:31.4:2,23:232.75:516811:32.74:21,37:235.26:551512:38.1:17,57:259.96:1222432:60.5:21,52:261.46:1038881:60.5:0,[52:263.31:618457:61.1:2
PAYC_122019C210,50.0,51:222.0:432142:16.51:2,50:226.62:469544:16.5:1,50:230.8:584627:22.65:6,50:232.75:516811:23.6:3,49:235.26:551512:23.6:0,46:259.96:1222432:32.67:0,46:261.46:1038881:52.7:2,[46:263.31:618457:52.7:0
PAYC_122019C220,80.0,111:222.0:432142:9.9:3,109:226.62:469544:12.45:35,128:230.8:584627:14.9:14,128:232.75:516811:15.25:38,108:235.26:551512:18.6:9,87:259.96:1222432:39.6:45,88:261.46:1038881:39.6:0,[88:263.31:618457:41.5:1
PAYC_122019C230,22.0,79:222.0:432142:5.22:23,97:226.62:469544:7.2:63,141:230.8:584627:8.9:37,146:232.75:516811:9.0:61,183:235.26:551512:11.19:24,156:259.96:1222432:32.0:146,197:261.46:1038881:32.1:25,[190:263.31:618457:32.4:1
PAYC_122019C240,20.0,87:222.0:432142:2.26:3,87:226.62:469544:3.1:83,146:230.8:584627:4.5:50,174:232.75:516811:4.6:87,257:235.26:551512:5.95:72,314:259.96:1222432:23.63:150,285:261.46:1038881:24.5:6,[282:263.31:618457:23.8:8
PAYC_122019C250,30.0,47:222.0:432142:1.0:7,51:226.62:469544:1.2:2,52:230.8:584627:1.88:22,62:232.75:516811:1.56:36,75:235.26:551512:2.7:77,181:259.96:1222432:16.82:202,220:261.46:1038881:16.1:67,[222:263.31:618457:15.8:22
PAYC_122019C260,11.0,11:222.0:432142:0.4:60,64:226.62:469544:0.4:0,64:230.8:584627:0.47:2,65:232.75:516811:0.47:0,65:235.26:551512:1.28:60,103:259.96:1222432:10.5:308,191:261.46:1038881:10.0:494,[579:263.31:618457:9.3:46
PAYC_122019C270,5.0,5:222.0:432142:0.15:0,5:226.62:469544:0.15:0,5:230.8:584627:0.15:0,5:232.75:516811:0.15:0,5:235.26:551512:0.35:1,15:259.96:1222432:6.1:594,431:261.46:1038881:5.5:93,[445:263.31:618457:5.5:73
PAYC_122019C280,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,1:259.96:1222432:3.09:195,143:261.46:1038881:2.55:47,[155:263.31:618457:2.55:57
PAYC_122019C290,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,0:259.96:1222432:1.45:98,89:261.46:1038881:1.09:56,[110:263.31:618457:1.0:53
PAYC_122019C300,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,0:259.96:1222432:0.5:15,15:261.46:1038881:0.4:58,[73:263.31:618457:0.35:41
PAYC_122019C310,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,0:259.96:1222432:0.0:0,0:261.46:1038881:0.0:0,[0:263.31:618457:0.0:0
