Symbol,20191101,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PAYC_122019P160,122.0,112:222.0:432142:0.4:0,112:226.62:469544:0.4:0,112:230.8:584627:0.4:0,112:232.75:516811:0.4:0,112:235.26:551512:0.16:10,97:259.94:1222887:0.57:96,127:261.46:1038881:0.76:96,52:263.31:618457:0.76:0
PAYC_122019P165,8.0,11:222.0:432142:0.2:1,10:226.62:469544:0.2:0,10:230.8:584627:0.2:0,10:232.75:516811:0.2:0,10:235.26:551512:0.2:0,10:259.94:1222887:0.22:45,52:261.46:1038881:0.09:45,52:263.31:618457:0.09:0
PAYC_122019P170,13.0,70:222.0:432142:0.46:0,70:226.62:469544:0.46:0,70:230.8:584627:0.15:15,56:232.75:516811:0.24:5,56:235.26:551512:0.06:21,56:259.94:1222887:0.1:0,56:261.46:1038881:0.1:0,56:263.31:618457:0.08:8
PAYC_122019P175,8.0,37:222.0:432142:0.82:0,37:226.62:469544:0.36:40,65:230.8:584627:0.25:6,60:232.75:516811:0.35:5,55:235.26:551512:0.35:0,55:259.94:1222887:0.35:0,55:261.46:1038881:0.1:59,73:263.31:618457:0.1:0
PAYC_122019P180,18.0,27:222.0:432142:0.9:0,27:226.62:469544:0.9:0,27:230.8:584627:0.9:0,27:232.75:516811:0.9:0,27:235.26:551512:0.2:1,23:259.94:1222887:0.01:0,23:261.46:1038881:0.1:5,22:263.31:618457:0.1:0
PAYC_122019P185,59.0,66:222.0:432142:0.82:14,77:226.62:469544:0.82:0,77:230.8:584627:0.42:3,77:232.75:516811:0.42:0,77:235.26:551512:0.22:3,75:259.94:1222887:0.15:2,73:261.46:1038881:0.15:0,[73:263.31:618457:0.15:0
PAYC_122019P190,26.0,43:222.0:432142:1.13:6,46:226.62:469544:1.0:21,59:230.8:584627:0.62:2,58:232.75:516811:0.62:0,58:235.26:551512:0.34:29,42:259.94:1222887:0.16:7,41:261.46:1038881:0.2:4,[38:263.31:618457:0.15:3
PAYC_122019P195,13.0,54:222.0:432142:1.5:2,53:226.62:469544:1.41:1,53:230.8:584627:0.82:3,52:232.75:516811:0.67:6,52:235.26:551512:0.67:0,52:259.94:1222887:1.57:32,84:261.46:1038881:2.35:33,[84:263.31:618457:0.16:5
PAYC_122019P200,45.0,95:222.0:432142:2.17:33,103:226.62:469544:1.8:64,162:230.8:584627:1.15:30,161:232.75:516811:0.8:7,159:235.26:551512:0.67:20,143:259.94:1222887:0.55:35,144:261.46:1038881:0.35:27,[127:263.31:618457:0.25:4
PAYC_122019P210,8.0,58:222.0:432142:4.17:32,87:226.62:469544:3.3:16,93:230.8:584627:2.25:27,104:232.75:516811:1.8:42,131:235.26:551512:1.5:41,162:259.94:1222887:0.75:33,147:261.46:1038881:0.52:24,[139:263.31:618457:0.52:0
PAYC_122019P220,4.0,33:222.0:432142:8.11:3,34:226.62:469544:6.2:55,69:230.8:584627:4.53:72,97:232.75:516811:3.8:32,108:235.26:551512:2.8:35,124:259.94:1222887:0.87:73,156:261.46:1038881:0.65:38,[188:263.31:618457:0.45:39
PAYC_122019P230,3.0,10:222.0:432142:15.68:0,10:226.62:469544:11.8:22,32:230.8:584627:8.24:38,64:232.75:516811:7.3:70,90:235.26:551512:5.9:47,127:259.94:1222887:1.81:168,194:261.46:1038881:1.2:54,[202:263.31:618457:0.97:17
PAYC_122019P240,3.0,43:222.0:432142:20.05:23,66:226.62:469544:20.05:0,66:230.8:584627:20.05:0,66:232.75:516811:12.1:35,98:235.26:551512:10.5:21,130:259.94:1222887:2.95:157,172:261.46:1038881:2.37:67,[159:263.31:618457:2.04:43
PAYC_122019P250,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:21.2:1,1:235.26:551512:21.2:0,1:259.94:1222887:5.2:180,141:261.46:1038881:4.66:45,[173:263.31:618457:4.1:48
PAYC_122019P260,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:24.3:1,1:259.94:1222887:9.18:41,31:261.46:1038881:8.3:37,[55:263.31:618457:8.0:37
PAYC_122019P270,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,0:259.94:1222887:14.6:7,7:261.46:1038881:15.51:3,[10:263.31:618457:12.99:7
PAYC_122019P280,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,0:259.94:1222887:27.29:2,2:261.46:1038881:27.29:0,[2:263.31:618457:21.28:2
PAYC_122019P290,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,0:259.94:1222887:0.0:0,0:261.46:1038881:0.0:0,[0:263.31:618457:0.0:0
PAYC_122019P300,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,0:259.94:1222887:0.0:0,0:261.46:1038881:0.0:0,[0:263.31:618457:0.0:0
PAYC_122019P310,0.0,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,0:259.94:1222887:0.0:0,0:261.46:1038881:0.0:0,[0:263.31:618457:0.0:0
PAYC_122019P320,U,0:222.0:432142:0.0:0,0:226.62:469544:0.0:0,0:230.8:584627:0.0:0,0:232.75:516811:0.0:0,0:235.26:551512:0.0:0,0:259.94:1222887:0.0:0,0:261.46:1038881:0.0:0,[0:263.31:618457:0.0:0
PAYC_011720P170,U,U,U,22:230.8:584627:1.25:0,22:232.75:516811:1.25:0,22:235.26:551512:1.25:0,22:259.94:1222887:1.25:0,22:261.46:1038881:1.25:0,22:263.31:618457:0.2:2
PAYC_011720P175,U,U,U,40:230.8:584627:1.15:0,40:232.75:516811:1.15:0,40:235.26:551512:1.15:0,40:259.94:1222887:1.15:0,40:261.46:1038881:1.15:0,40:263.31:618457:1.15:0
