Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PCG_112219P1,1:5.03,11:6.14,11:6.17,11.0,11:7.27,11:8.0,11:6.92,11:6.02:25410185:0.05:0,11:6.48:15299705:0.05:0,11:6.26:11538189:0.05:0,11:7.06:27248022:0.05:0,11:6.92:18122246:0.05:0,11:6.7:12942086:0.05:0,11:7.42:18449801:0.05:0,U:7.09:24981911::,11:7.08:10587719:0.01:0,11:7.01:11269051:0.01:0,11:7.31:15209120:0.01:0
PCG_112219P1.5,0:5.03,0:6.14,0:6.17,0.0,0:7.27,0:8.0,0:6.92,0:6.02:25410185:0.0:0,0:6.48:15299705:0.0:0,0:6.26:11538189:0.0:0,0:7.06:27248022:0.0:0,0:6.92:18122246:0.0:0,0:6.7:12942086:0.0:0,0:7.42:18449801:0.0:0,U:7.09:24981911::,U:7.08:10587719:U:U,0:7.01:11269051:0.0:0,0:7.31:15209120:0.0:0
PCG_112219P2,21:5.03,23:6.14,38:6.17,38.0,38:7.27,38:8.0,38:6.92,38:6.02:25410185:0.05:1,38:6.48:15299705:0.05:0,38:6.26:11538189:0.05:0,38:7.06:27248022:0.05:0,38:6.92:18122246:0.05:0,38:6.7:12942086:0.05:0,38:7.42:18449801:0.05:0,U:7.09:24981911::,38:7.08:10587719:0.05:0,38:7.01:11269051:0.05:0,38:7.31:15209120:0.05:0
PCG_112219P2.5,2:5.03,3:6.14,7:6.17,7.0,7:7.27,7:8.0,7:6.92,7:6.02:25410185:0.05:0,7:6.48:15299705:0.05:0,7:6.26:11538189:0.05:0,7:7.06:27248022:0.06:1,6:6.92:18122246:0.06:0,6:6.7:12942086:0.06:0,6:7.42:18449801:0.06:0,6:7.09:24981911:0.06:0,6:7.08:10587719:0.06:0,6:7.01:11269051:0.06:0,[6:7.31:15209120:0.06:0
PCG_112219P3,114:5.03,116:6.14,112:6.17,113.0,119:7.27,793:8.0,793:6.92,793:6.02:25410185:0.13:1,792:6.48:15299705:0.1:1,792:6.26:11538189:0.01:1,793:7.06:27248022:0.01:0,793:6.92:18122246:0.02:2,793:6.7:12942086:0.02:0,793:7.42:18449801:0.02:0,793:7.09:24981911:0.02:0,793:7.08:10587719:0.02:0,793:7.01:11269051:0.02:0,[793:7.31:15209120:0.02:0
PCG_112219P3.5,41:5.03,168:6.14,167:6.17,167.0,167:7.27,167:8.0,167:6.92,215:6.02:25410185:0.2:20,221:6.48:15299705:0.1:11,222:6.26:11538189:0.14:83,273:7.06:27248022:0.06:114,297:6.92:18122246:0.02:22,297:6.7:12942086:0.02:1,297:7.42:18449801:0.01:179,354:7.09:24981911:0.01:27,382:7.08:10587719:0.01:1,382:7.01:11269051:0.01:1,[382:7.31:15209120:0.01:0
PCG_112219P4,76:5.03,83:6.14,134:6.17,135.0,284:7.27,281:8.0,294:6.92,300:6.02:25410185:0.24:10,308:6.48:15299705:0.21:46,318:6.26:11538189:0.13:136,364:7.06:27248022:0.1:145,477:6.92:18122246:0.03:162,553:6.7:12942086:0.02:28,541:7.42:18449801:0.03:27,550:7.09:24981911:0.01:460,753:7.08:10587719:0.01:41,787:7.01:11269051:0.01:0,[787:7.31:15209120:0.01:0
PCG_112219P4.5,159:5.03,211:6.14,182:6.17,194.0,194:7.27,195:8.0,195:6.92,195:6.02:25410185:0.39:150,332:6.48:15299705:0.3:3,335:6.26:11538189:0.25:81,389:7.06:27248022:0.13:110,489:6.92:18122246:0.07:2,489:6.7:12942086:0.06:255,714:7.42:18449801:0.05:30,744:7.09:24981911:0.03:21,756:7.08:10587719:0.01:9,765:7.01:11269051:0.01:4,[761:7.31:15209120:0.01:0
PCG_112219P5,132:5.03,151:6.14,158:6.17,162.0,163:7.27,181:8.0,172:6.92,193:6.02:25410185:0.5:46,185:6.48:15299705:0.4:5,186:6.26:11538189:0.33:31,215:7.06:27248022:0.18:51,258:6.92:18122246:0.13:38,259:6.7:12942086:0.12:53,287:7.42:18449801:0.04:117,378:7.09:24981911:0.05:4386,4072:7.08:10587719:0.02:251,4021:7.01:11269051:0.01:35,[4022:7.31:15209120:0.01:0
PCG_112219P5.5,133:5.03,143:6.14,193:6.17,193.0,205:7.27,304:8.0,312:6.92,234:6.02:25410185:0.7:95,233:6.48:15299705:0.54:48,232:6.26:11538189:0.49:90,288:7.06:27248022:0.23:186,424:6.92:18122246:0.2:258,586:6.7:12942086:0.16:500,879:7.42:18449801:0.07:71,865:7.09:24981911:0.08:1048,1831:7.08:10587719:0.02:138,1844:7.01:11269051:0.01:41,[1831:7.31:15209120:0.01:10
PCG_112219P6,334:5.03,354:6.14,355:6.17,359.0,378:7.27,414:8.0,414:6.92,1826:6.02:25410185:0.97:79,1834:6.48:15299705:0.69:38,1841:6.26:11538189:0.65:68,1877:7.06:27248022:0.35:80,1920:6.92:18122246:0.25:707,2578:6.7:12942086:0.27:160,2637:7.42:18449801:0.13:303,2761:7.09:24981911:0.14:3570,4641:7.08:10587719:0.05:595,4810:7.01:11269051:0.02:196,[4767:7.31:15209120:0.01:28
PCG_112219P6.5,240:5.03,240:6.14,291:6.17,321.0,331:7.27,331:8.0,336:6.92,344:6.02:25410185:1.17:22,339:6.48:15299705:0.88:26,339:6.26:11538189:0.95:47,354:7.06:27248022:0.54:218,415:6.92:18122246:0.48:145,503:6.7:12942086:0.39:54,506:7.42:18449801:0.18:283,717:7.09:24981911:0.27:963,1751:7.08:10587719:0.12:645,1863:7.01:11269051:0.06:376,[1816:7.31:15209120:0.01:104
