Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PEP_112219P127,7:136.57,7:136.9,7:137.17,7.0,27:135.16,63:134.01,63:134.44,63:133.32:3338730:0.18:0,63:133.13:2602217:0.2:45,100:132.39:2214064:0.2:0,100:131.98:3235402:0.2:0,100:133.29:3166613:0.09:2,98:133.33:2140997:0.09:0,98:133.81:3642008:0.06:10,106:134.06:3619873:0.08:1,121:133.55:1944797:0.02:0,121:133.91:3391172:0.02:0,[121:134.07:3014859:0.02:0
PEP_112219P128,100:136.57,100:136.9,100:137.17,100.0,100:135.16,100:134.01,100:134.44,105:133.32:3338730:0.24:1,105:133.13:2602217:0.25:14,107:132.39:2214064:0.25:0,107:131.98:3235402:0.21:11,118:133.29:3166613:0.12:2,118:133.33:2140997:0.12:0,118:133.81:3642008:0.09:30,134:134.06:3619873:0.03:1,134:133.55:1944797:0.03:0,134:133.91:3391172:0.03:0,[134:134.07:3014859:0.01:30
PEP_112219P129,29:136.57,46:136.9,46:137.17,46.0,46:135.16,46:134.01,46:134.44,46:133.32:3338730:0.32:8,54:133.13:2602217:0.33:31,63:132.39:2214064:0.41:4,64:131.98:3235402:0.32:21,83:133.29:3166613:0.17:11,73:133.33:2140997:0.16:1,73:133.81:3642008:0.09:72,125:134.06:3619873:0.03:1,125:133.55:1944797:0.08:4,125:133.91:3391172:0.08:0,[125:134.07:3014859:0.08:0
PEP_112219P130,124:136.57,176:136.9,176:137.17,176.0,176:135.16,182:134.01,188:134.44,205:133.32:3338730:0.44:7,209:133.13:2602217:0.48:18,215:132.39:2214064:0.52:24,227:131.98:3235402:0.54:28,244:133.29:3166613:0.25:40,243:133.33:2140997:0.2:43,257:133.81:3642008:0.12:107,359:134.06:3619873:0.08:9,360:133.55:1944797:0.05:0,360:133.91:3391172:0.01:2,[359:134.07:3014859:0.01:1
PEP_112219P131,44:136.57,70:136.9,70:137.17,67.0,70:135.16,97:134.01,99:134.44,99:133.32:3338730:0.7:10,99:133.13:2602217:0.71:29,103:132.39:2214064:0.72:29,113:131.98:3235402:0.86:17,127:133.29:3166613:0.4:30,137:133.33:2140997:0.36:43,157:133.81:3642008:0.19:43,179:134.06:3619873:0.14:20,188:133.55:1944797:0.07:10,186:133.91:3391172:0.03:36,[156:134.07:3014859:0.01:12
PEP_112219P132,47:136.57,67:136.9,70:137.17,70.0,76:135.16,85:134.01,89:134.44,88:133.32:3338730:0.96:18,103:133.13:2602217:1.11:34,120:132.39:2214064:1.11:157,113:131.98:3235402:1.14:46,122:133.29:3166613:0.62:48,127:133.33:2140997:0.52:38,142:133.81:3642008:0.32:127,225:134.06:3619873:0.26:81,245:133.55:1944797:0.15:16,251:133.91:3391172:0.04:120,[351:134.07:3014859:0.03:131
PEP_112219P133,32:136.57,124:136.9,124:137.17,124.0,149:135.16,152:134.01,155:134.44,162:133.32:3338730:1.37:128,209:133.13:2602217:1.37:35,207:132.39:2214064:1.54:14,216:131.98:3235402:1.75:1,215:133.29:3166613:0.94:62,224:133.33:2140997:0.81:116,302:133.81:3642008:0.55:39,311:134.06:3619873:0.49:150,513:133.55:1944797:0.33:16,507:133.91:3391172:0.17:67,[479:134.07:3014859:0.02:58
PEP_112219P134,45:136.57,50:136.9,51:137.17,51.0,61:135.16,68:134.01,73:134.44,107:133.32:3338730:1.89:73,143:133.13:2602217:2.0:25,142:132.39:2214064:2.17:17,145:131.98:3235402:2.45:6,147:133.29:3166613:1.34:21,140:133.33:2140997:1.27:39,140:133.81:3642008:1.01:106,233:134.06:3619873:0.84:125,331:133.55:1944797:0.77:441,656:133.91:3391172:0.42:73,[622:134.07:3014859:0.03:518
PEP_112219P135,32:136.57,48:136.9,48:137.17,49.0,48:135.16,49:134.01,48:134.44,67:133.32:3338730:1.86:1,68:133.13:2602217:2.56:26,93:132.39:2214064:3.16:4,93:131.98:3235402:3.25:5,95:133.29:3166613:1.96:68,131:133.33:2140997:2.21:33,158:133.81:3642008:1.89:60,180:134.06:3619873:1.1:140,222:133.55:1944797:1.55:22,216:133.91:3391172:1.1:13,[211:134.07:3014859:0.99:122
PEP_112219P136,27:136.57,45:136.9,42:137.17,36.0,45:135.16,55:134.01,63:134.44,62:133.32:3338730:2.79:22,65:133.13:2602217:3.25:29,89:132.39:2214064:3.25:0,89:131.98:3235402:3.25:0,89:133.29:3166613:2.76:1,90:133.33:2140997:2.92:3,91:133.81:3642008:2.92:0,91:134.06:3619873:2.12:51,112:133.55:1944797:2.37:63,140:133.91:3391172:2.37:10,[140:134.07:3014859:1.94:32
