Symbol,20191029,20191030,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PFE_112219C33.5,10:29:2019,5:38.48,0:36.93:11900287:4.15:0,0:36.97:12644366:4.15:0,0:36.6:24554579:4.15:0,0:36.55:23893614:4.15:0,0:37.28:34345742:3.9:2,2:134.06:3619873:3.75:2,2:37.1:13082409:3.75:0,2:37.74:19869602:3.75:0,[2:38.33:24233217:3.75:0
PFE_112219C34,10:29:2019,0:38.48,0:36.93:11900287:4.65:0,0:36.97:12644366:4.65:0,0:36.6:24554579:4.65:0,0:36.55:23893614:4.65:0,0:37.28:34345742:4.65:0,0:134.06:3619873:4.65:0,0:37.1:13082409:4.65:0,0:37.74:19869602:4.65:0,[0:38.33:24233217:4.65:0
PFE_112219C34.5,10:29:2019,6:38.48,0:36.93:11900287:3.8:0,0:36.97:12644366:3.8:0,0:36.6:24554579:3.8:0,0:36.55:23893614:3.8:0,0:37.28:34345742:3.8:0,0:134.06:3619873:3.8:0,0:37.1:13082409:3.8:0,0:37.74:19869602:3.8:0,[0:38.33:24233217:3.8:0
PFE_112219C35,10:29:2019,6:38.48,0:36.93:11900287:2.58:0,0:36.97:12644366:2.58:0,0:36.6:24554579:1.54:2,2:36.55:23893614:1.54:0,2:37.28:34345742:1.54:0,2:134.06:3619873:1.54:0,2:37.1:13082409:1.54:0,2:37.74:19869602:1.54:0,[2:38.33:24233217:1.54:0
PFE_112219C35.5,10:29:2019,109:38.48,0:36.93:11900287:1.43:4,4:36.97:12644366:1.43:0,4:36.6:24554579:1.2:5,9:36.55:23893614:1.1:2,9:37.28:34345742:1.96:19,U:134.06:3619873::,7:37.1:13082409:1.93:0,7:37.74:19869602:1.93:0,[7:38.33:24233217:1.93:0
PFE_112219C36,10:29:2019,80:38.48,3:36.93:11900287:1.01:32,35:36.97:12644366:1.61:1,35:36.6:24554579:0.79:130,132:36.55:23893614:0.66:310,265:37.28:34345742:1.32:100,184:134.06:3619873:1.23:17,176:37.1:13082409:1.07:191,331:37.74:19869602:1.62:287,[194:38.33:24233217:1.62:0
PFE_112219C36.5,10:29:2019,783:38.48,34:36.93:11900287:0.65:73,50:36.97:12644366:0.67:33,56:36.6:24554579:0.43:157,117:36.55:23893614:0.35:188,223:37.28:34345742:0.87:202,U:134.06:3619873::,243:37.1:13082409:0.65:274,456:37.74:19869602:1.28:273,[261:38.33:24233217:1.84:38
PFE_112219C37,10:29:2019,2205:38.48,2364:36.93:11900287:0.35:239,2474:36.97:12644366:0.34:642,2599:36.6:24554579:0.21:2178,2504:36.55:23893614:0.1:289,2674:37.28:34345742:0.48:1150,2858:134.06:3619873:0.37:1394,3249:37.1:13082409:0.25:981,3125:37.74:19869602:0.71:1408,[2570:38.33:24233217:1.35:635
PFE_112219C37.5,10:29:2019,122:38.48,637:36.93:11900287:0.15:122,649:36.97:12644366:0.15:882,1241:36.6:24554579:0.06:1329,1158:36.55:23893614:0.04:1118,1406:37.28:34345742:0.22:3275,2563:134.06:3619873:0.13:3228,2158:37.1:13082409:0.05:2569,3033:37.74:19869602:0.3:3165,[1923:38.33:24233217:0.87:621
PFE_112219C38,10:29:2019,748:38.48,993:36.93:11900287:0.05:48,1019:36.97:12644366:0.07:138,979:36.6:24554579:0.03:243,938:36.55:23893614:0.01:15,933:37.28:34345742:0.07:1165,1342:134.06:3619873:0.04:3227,4212:37.1:13082409:0.02:1127,4821:37.74:19869602:0.04:4836,[5377:38.33:24233217:0.4:5156
