Symbol,20191030,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PFE_112219P33.5,228:38.48,578:36.93:11900287:0.03:0,578:36.97:12644366:0.03:0,578:36.6:24554579:0.03:0,578:36.55:23893614:0.03:0,578:37.28:34345742:0.01:20,578:134.06:3619873:0.01:0,578:37.08:13118292:0.01:0,578:37.74:19869602:0.01:0,[578:38.33:24233217:0.01:0
PFE_112219P34,84:38.48,493:36.93:11900287:0.01:1,493:36.97:12644366:0.01:0,493:36.6:24554579:0.01:0,493:36.55:23893614:0.01:0,493:37.28:34345742:0.01:0,493:134.06:3619873:0.01:0,493:37.08:13118292:0.01:0,493:37.74:19869602:0.01:0,[493:38.33:24233217:0.01:0
PFE_112219P34.5,78:38.48,73:36.93:11900287:0.06:0,73:36.97:12644366:0.06:0,73:36.6:24554579:0.03:1,74:36.55:23893614:0.01:1,73:37.28:34345742:0.02:1,73:134.06:3619873:0.02:0,73:37.08:13118292:0.02:0,73:37.74:19869602:0.02:0,[73:38.33:24233217:0.02:0
PFE_112219P35,121:38.48,145:36.93:11900287:0.05:0,145:36.97:12644366:0.05:0,145:36.6:24554579:0.05:1,146:36.55:23893614:0.04:133,246:37.28:34345742:0.01:30,241:134.06:3619873:0.02:21,242:37.08:13118292:0.02:0,242:37.74:19869602:0.01:25,[239:38.33:24233217:0.01:8
PFE_112219P35.5,266:38.48,359:36.93:11900287:0.08:6,359:36.97:12644366:0.05:5,359:36.6:24554579:0.09:3,360:36.55:23893614:0.07:14,374:37.28:34345742:0.02:62,410:134.06:3619873:0.02:1,411:37.08:13118292:0.02:9,409:37.74:19869602:0.02:0,[409:38.33:24233217:0.02:0
PFE_112219P36,246:38.48,276:36.93:11900287:0.11:134,331:36.97:12644366:0.09:34,359:36.6:24554579:0.14:101,416:36.55:23893614:0.17:58,455:37.28:34345742:0.03:96,476:134.06:3619873:0.03:153,486:37.08:13118292:0.02:50,450:37.74:19869602:0.02:0,[450:38.33:24233217:0.01:2
PFE_112219P36.5,141:38.48,217:36.93:11900287:0.23:109,309:36.97:12644366:0.19:44,333:36.6:24554579:0.27:255,357:36.55:23893614:0.31:45,363:37.28:34345742:0.09:166,449:134.06:3619873:0.07:225,542:37.08:13118292:0.03:80,606:37.74:19869602:0.02:199,[651:38.33:24233217:0.02:0
PFE_112219P37,33:38.48,1819:36.93:11900287:0.42:59,1836:36.97:12644366:0.38:47,1836:36.6:24554579:0.57:122,1902:36.55:23893614:0.63:35,1917:37.28:34345742:0.2:543,1996:134.06:3619873:0.19:778,2391:37.08:13118292:0.16:560,2546:37.74:19869602:0.01:1686,[2263:38.33:24233217:0.01:2
PFE_112219P37.5,0:38.48,295:36.93:11900287:0.75:15,308:36.97:12644366:0.63:3,308:36.6:24554579:0.93:3,305:36.55:23893614:1.0:27,327:37.28:34345742:0.46:799,615:134.06:3619873:0.46:283,707:37.08:13118292:0.5:192,712:37.74:19869602:0.08:360,[844:38.33:24233217:0.02:40
PFE_112219P38,335:38.48,346:36.93:11900287:1.01:0,346:36.97:12644366:1.04:4,346:36.6:24554579:1.39:6,346:36.55:23893614:1.55:18,355:37.28:34345742:0.78:21,352:134.06:3619873:0.97:121,438:37.08:13118292:0.85:172,375:37.74:19869602:0.32:516,[543:38.33:24233217:0.01:242
PFE_112219P38.5,28:38.48,104:36.93:11900287:1.51:0,104:36.97:12644366:1.51:0,104:36.6:24554579:1.51:0,0:36.55:23893614:1.97:1,1:37.28:34345742:1.08:7,6:134.06:3619873:1.08:0,6:37.08:13118292:1.32:5,1:37.74:19869602:0.67:2,[2:38.33:24233217:0.18:185
PFE_112219P39,11:38.48,42:36.93:11900287:1.9:0,42:36.97:12644366:1.9:0,42:36.6:24554579:2.57:2,0:36.55:23893614:2.57:0,0:37.28:34345742:1.72:88,37:134.06:3619873:1.95:28,0:37.08:13118292:1.92:189,3:37.74:19869602:1.92:0,[3:38.33:24233217:1.92:0
PFE_112219P39.5,21:38.48,41:36.93:11900287:1.37:0,41:36.97:12644366:1.37:0,41:36.6:24554579:1.37:0,0:36.55:23893614:1.37:0,0:37.28:34345742:1.37:0,0:134.06:3619873:1.37:0,0:37.08:13118292:2.38:134,0:37.74:19869602:2.38:0,[0:38.33:24233217:2.38:0
PFE_112219P40,104:38.48,0:36.93:11900287:1.77:0,0:36.97:12644366:1.77:0,0:36.6:24554579:1.77:0,0:36.55:23893614:1.77:0,0:37.28:34345742:1.77:0,0:134.06:3619873:1.77:0,0:37.08:13118292:1.77:0,0:37.74:19869602:1.77:0,[0:38.33:24233217:1.77:0
PFE_112219P40.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112219P41,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112219P41.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112219P42.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112219P43.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,U:37.08:13118292:U:U,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112919P33.5,1:38.48,1:36.93:11900287:0.05:0,1:36.97:12644366:0.05:0,1:36.6:24554579:0.05:0,1:36.55:23893614:0.05:0,1:37.28:34345742:0.05:0,1:134.06:3619873:0.05:0,1:37.08:13118292:0.05:0,1:37.74:19869602:0.05:0,[1:38.33:24233217:0.01:1
PFE_112919P34,315:38.48,801:36.93:11900287:0.04:1,801:36.97:12644366:0.04:0,801:36.6:24554579:0.04:0,801:36.55:23893614:0.04:60,801:37.28:34345742:0.01:80,721:134.06:3619873:0.01:0,721:37.08:13118292:0.01:0,721:37.74:19869602:0.01:0,[721:38.33:24233217:0.01:0
PFE_112919P34.5,48:38.48,48:36.93:11900287:0.22:0,48:36.97:12644366:0.22:0,48:36.6:24554579:0.05:6,52:36.55:23893614:0.05:0,52:37.28:34345742:0.05:0,52:134.06:3619873:0.05:0,46:37.08:13118292:0.02:0,46:37.74:19869602:0.02:0,[46:38.33:24233217:0.02:0
PFE_112919P35,60:38.48,1689:36.93:11900287:0.07:3,1689:36.97:12644366:0.06:9,1689:36.6:24554579:0.09:1,1689:36.55:23893614:0.09:0,1689:37.28:34345742:0.04:16,1693:134.06:3619873:0.03:1,1694:37.08:13118292:0.02:1,1694:37.74:19869602:0.02:0,[1694:38.33:24233217:0.02:0
PFE_112919P35.5,143:38.48,154:36.93:11900287:0.13:0,154:36.97:12644366:0.13:0,154:36.6:24554579:0.12:9,155:36.55:23893614:0.12:0,155:37.28:34345742:0.04:4,151:134.06:3619873:0.04:0,141:37.08:13118292:0.03:30,154:37.74:19869602:0.03:0,[154:38.33:24233217:0.03:0
PFE_112919P36,698:38.48,688:36.93:11900287:0.17:9,687:36.97:12644366:0.17:0,687:36.6:24554579:0.21:15,696:36.55:23893614:0.23:22,695:37.28:34345742:0.07:4,693:134.06:3619873:0.09:31,717:37.08:13118292:0.07:5,720:37.74:19869602:0.02:11,[725:38.33:24233217:0.02:12
PFE_112919P36.5,603:38.48,644:36.93:11900287:0.29:34,637:36.97:12644366:0.29:0,637:36.6:24554579:0.34:1271,1752:36.55:23893614:0.36:11,1753:37.28:34345742:0.16:61,1743:134.06:3619873:0.18:67,1781:37.08:13118292:0.14:97,1869:37.74:19869602:0.05:529,[1358:38.33:24233217:0.01:24
PFE_112919P37,85:38.48,1417:36.93:11900287:0.51:2,1418:36.97:12644366:0.42:4,1417:36.6:24554579:0.59:1,1417:36.55:23893614:0.62:20,1427:37.28:34345742:0.26:255,1649:134.06:3619873:0.29:45,1617:37.08:13118292:0.31:104,1643:37.74:19869602:0.1:747,[1172:38.33:24233217:0.03:83
PFE_112919P37.5,7:38.48,120:36.93:11900287:0.73:0,120:36.97:12644366:0.74:39,141:36.6:24554579:1.08:5,146:36.55:23893614:1.01:5,146:37.28:34345742:0.42:11,154:134.06:3619873:0.59:8,184:37.08:13118292:0.59:29,184:37.74:19869602:0.23:130,[201:38.33:24233217:0.06:234
PFE_112919P38,18:38.48,599:36.93:11900287:1.1:0,599:36.97:12644366:1.09:1,599:36.6:24554579:1.4:1,599:36.55:23893614:1.4:0,599:37.28:34345742:0.72:4,599:134.06:3619873:0.91:14,604:37.08:13118292:1.0:13,605:37.74:19869602:0.48:122,[619:38.33:24233217:0.15:919
PFE_112919P38.5,18:38.48,43:36.93:11900287:1.55:0,43:36.97:12644366:1.55:0,43:36.6:24554579:1.55:0,41:36.55:23893614:1.79:10,38:37.28:34345742:1.26:2,40:134.06:3619873:1.26:0,40:37.08:13118292:1.26:0,40:37.74:19869602:0.79:4,[40:38.33:24233217:0.36:2026
PFE_112919P39,15:38.48,41:36.93:11900287:1.76:0,41:36.97:12644366:1.76:0,41:36.6:24554579:1.76:0,0:36.55:23893614:1.76:0,0:37.28:34345742:2.08:1,1:134.06:3619873:2.08:0,1:37.08:13118292:2.08:0,0:37.74:19869602:1.72:2,[2:38.33:24233217:0.72:204
PFE_112919P39.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112919P40,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112919P40.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112919P41,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112919P41.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112919P42,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112919P42.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,U:37.08:13118292:U:U,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_112919P43.5,0:38.48,0:36.93:11900287:0.0:0,0:36.97:12644366:0.0:0,0:36.6:24554579:0.0:0,0:36.55:23893614:0.0:0,0:37.28:34345742:0.0:0,0:134.06:3619873:0.0:0,0:37.08:13118292:0.0:0,0:37.74:19869602:0.0:0,[0:38.33:24233217:0.0:0
PFE_120619P33.5,3:38.48,56:36.93:11900287:0.07:0,56:36.97:12644366:0.07:0,56:36.6:24554579:0.07:0,56:36.55:23893614:0.07:0,56:37.28:34345742:0.07:0,56:134.06:3619873:0.07:0,56:37.08:13118292:0.07:0,56:37.74:19869602:0.07:0,[56:38.33:24233217:0.07:0
PFE_120619P34,6:38.48,356:36.93:11900287:0.05:236,582:36.97:12644366:0.06:20,602:36.6:24554579:0.05:18,620:36.55:23893614:0.05:5,621:37.28:34345742:0.03:50,621:134.06:3619873:0.03:3,620:37.08:13118292:0.03:0,620:37.74:19869602:0.03:0,[620:38.33:24233217:0.03:0
PFE_120619P34.5,7:38.48,12:36.93:11900287:0.12:0,12:36.97:12644366:0.12:0,12:36.6:24554579:0.1:4,15:36.55:23893614:0.09:30,43:37.28:34345742:0.05:6,40:134.06:3619873:0.05:0,40:37.08:13118292:0.05:0,40:37.74:19869602:0.05:0,[40:38.33:24233217:0.01:4
PFE_120619P35,5:38.48,18:36.93:11900287:0.14:0,18:36.97:12644366:0.1:3,20:36.6:24554579:0.12:1,21:36.55:23893614:0.13:1,22:37.28:34345742:0.06:3,21:134.06:3619873:0.06:0,21:37.08:13118292:0.04:1,21:37.74:19869602:0.04:0,[21:38.33:24233217:0.04:0
PFE_120619P35.5,11:38.48,54:36.93:11900287:0.21:0,54:36.97:12644366:0.21:0,54:36.6:24554579:0.22:22,76:36.55:23893614:0.2:17,93:37.28:34345742:0.08:1,93:134.06:3619873:0.08:0,93:37.08:13118292:0.08:0,93:37.74:19869602:0.05:1,[93:38.33:24233217:0.05:10
PFE_120619P36,19:38.48,136:36.93:11900287:0.26:18,154:36.97:12644366:0.22:1,155:36.6:24554579:0.29:12,163:36.55:23893614:0.31:62,193:37.28:34345742:0.16:28,199:134.06:3619873:0.15:34,216:37.08:13118292:0.13:27,237:37.74:19869602:0.08:9,[230:38.33:24233217:0.03:9
PFE_120619P36.5,2:38.48,149:36.93:11900287:0.38:33,152:36.97:12644366:0.35:1,152:36.6:24554579:0.55:62,190:36.55:23893614:0.48:108,237:37.28:34345742:0.21:235,379:134.06:3619873:0.3:5,655:37.08:13118292:0.25:25,678:37.74:19869602:0.15:16,[664:38.33:24233217:0.05:104
PFE_120619P37,18:38.48,145:36.93:11900287:0.58:38,108:36.97:12644366:0.51:10,111:36.6:24554579:0.51:0,111:36.55:23893614:0.76:2,110:37.28:34345742:0.36:16,118:134.06:3619873:0.42:56,153:37.08:13118292:0.43:48,164:37.74:19869602:0.22:24,[181:38.33:24233217:0.1:133
PFE_120619P37.5,0:38.48,1557:36.93:11900287:0.94:38,1568:36.97:12644366:0.78:28,1568:36.6:24554579:1.01:17,1561:36.55:23893614:1.01:0,1561:37.28:34345742:1.01:0,1561:134.06:3619873:0.64:12,1565:37.08:13118292:0.64:0,1565:37.74:19869602:0.35:17,[1565:38.33:24233217:0.16:197
