Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PLXS_122019C35,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,0:37.08:13118292:0.0:0,U:0:0:U:U,[0:75.57:129143:0.0:0
PLXS_122019C40,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,0:37.08:13118292:0.0:0,U:0:0:U:U,[0:75.57:129143:0.0:0
PLXS_122019C45,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:134.06:3619873:0.0:0:76.58:200199:.:,0:37.08:13118292:0.0:0,U:0:0:U:U,[0:75.57:129143:0.0:0
PLXS_122019C50,2:73.61,2:75.31,2:75.34,2:74.89:185708:8.16:0,2:74.94:126396:8.16:0,2:74.85:93693:8.16:0,2:75.195:142903:8.16:0,2:74.99:150582:8.16:0,2:74.48:157077:8.16:0,2:75.98:485141:8.16:0,U:76.58:200199::,2:37.08:13118292:8.16:0,U:0:0:U:U,[2:75.57:129143:8.16:0
PLXS_122019C55,1:73.61,1:75.31,1:75.34,1:74.89:185708:11.0:0,1:74.94:126396:11.0:0,1:74.85:93693:11.0:0,1:75.195:142903:11.0:0,1:74.99:150582:11.0:0,1:74.48:157077:11.0:0,1:75.98:485141:11.0:0,U:76.58:200199::,1:37.08:13118292:11.0:0,U:0:0:U:U,[1:75.57:129143:11.0:0
PLXS_122019C60,59:73.61,59:75.31,59:75.34,59:74.89:185708:3.2:0,59:74.94:126396:3.2:0,59:74.85:93693:3.2:0,59:75.195:142903:3.2:0,59:74.99:150582:3.2:0,59:74.48:157077:3.2:0,59:75.98:485141:3.2:0,U:76.58:200199::,59:37.08:13118292:3.2:0,U:0:0:U:U,[59:75.57:129143:3.2:0
PLXS_122019C65,201:73.61,201:75.31,189:75.34,189:74.89:185708:11.0:0,189:74.94:126396:11.0:0,189:74.85:93693:11.0:0,189:75.195:142903:11.0:0,189:74.99:150582:11.0:0,189:74.48:157077:11.0:0,189:75.98:485141:11.0:0,U:76.58:200199::,189:37.08:13118292:11.0:0,U:0:0:U:U,[189:75.57:129143:11.0:0
PLXS_122019C70,59:73.61,59:75.31,59:75.34,59:74.89:185708:1.35:0,59:74.94:126396:1.35:0,59:74.85:93693:1.35:0,59:75.195:142903:1.35:0,59:74.99:150582:1.35:0,59:74.48:157077:1.35:0,59:75.98:485141:1.35:0,U:76.58:200199::,59:37.08:13118292:1.35:0,U:0:0:U:U,[59:75.57:129143:1.35:0
PLXS_122019C75,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:2.22:1,1:75.195:142903:2.22:0,1:74.99:150582:2.22:0,1:74.48:157077:2.22:0,1:75.98:485141:2.22:0,U:76.58:200199::,1:37.08:13118292:3.5:2,U:0:0:U:U,[3:75.57:129143:3.5:0
PLXS_122019C80,4:73.61,4:75.31,4:75.34,4:74.89:185708:0.36:0,4:74.94:126396:0.36:0,4:74.85:93693:0.47:1,5:75.195:142903:0.47:0,5:74.99:150582:0.47:0,5:74.48:157077:0.47:0,5:75.98:485141:0.47:0,U:76.58:200199::,5:37.08:13118292:U:U:37.08:13118292:0.47:0,5:0:0:0.47:0,[5:75.57:129143:0.47:0
PLXS_122019C85,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,0:37.08:13118292:0.0:0,U:37.74:19869602:0.0:0:0:0:.:U,[0:75.57:129143:0.0:0
PLXS_122019C90,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,0:37.08:13118292:0.0:0,U:0:0:U:U,[0:75.57:129143:0.0:0
PLXS_122019C95,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,0:37.08:13118292:0.0:0,U:0:0:U:U,[0:75.57:129143:0.0:0
PLXS_122019C100,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,0:37.08:13118292:0.0:0,U:0:0:U:U,[0:75.57:129143:0.0:0
PLXS_011720C55,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C100,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C90,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C70,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C80,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C110,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C105,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C60,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C65,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C40,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C95,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C45,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C75,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C85,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
PLXS_011720C50,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.57:129143:0.0:0
