Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PLXS_122019P35,6:73.61,6:75.31,6:75.34,6:74.89:185708:0.15:0,6:74.94:126396:0.15:0,6:74.85:93693:0.15:0,6:75.195:142903:0.15:0,6:74.99:150582:0.15:0,6:74.48:157077:0.15:0,6:75.98:485141:0.15:0,U:76.58:200199::,6:77.03:121817:0.15:0,6:76.85:132833:0.15:0,[6:75.57:129143:0.15:0
PLXS_122019P40,3:73.61,3:75.31,3:75.34,3:74.89:185708:0.63:0,3:74.94:126396:0.63:0,3:74.85:93693:0.63:0,3:75.195:142903:0.63:0,3:74.99:150582:0.63:0,3:74.48:157077:0.63:0,3:75.98:485141:0.63:0,U:76.58:200199::,3:77.03:121817:0.63:0,3:76.85:132833:0.63:0,[3:75.57:129143:0.63:0
PLXS_122019P45,12:73.61,12:75.31,12:75.34,12:74.89:185708:0.87:0,12:74.94:126396:0.87:0,12:74.85:93693:0.87:0,12:75.195:142903:0.87:0,12:74.99:150582:0.87:0,12:74.48:157077:0.87:0,12:75.98:485141:0.87:0,U:76.58:200199::,12:77.03:121817:0.87:0,12:76.85:132833:0.87:0,[12:75.57:129143:0.87:0
PLXS_122019P50,10:73.61,10:75.31,10:75.34,10:74.89:185708:1.53:0,10:74.94:126396:1.53:0,10:74.85:93693:1.53:0,10:75.195:142903:1.53:0,10:74.99:150582:1.53:0,10:74.48:157077:1.53:0,10:75.98:485141:1.53:0,U:76.58:200199:::76.58:200199::,10:77.03:121817:1.53:0,10:76.85:132833:1.53:0,[10:75.57:129143:1.53:0
PLXS_122019P55,2:73.61,2:75.31,2:75.34,2:74.89:185708:0.1:0,2:74.94:126396:0.1:0,2:74.85:93693:0.1:0,2:75.195:142903:0.1:0,2:74.99:150582:0.1:0,2:74.48:157077:0.1:0,2:75.98:485141:0.1:0,U:76.58:200199::,2:77.03:121817:0.1:0,2:76.85:132833:0.1:0,[2:75.57:129143:0.1:0
PLXS_122019P60,2:73.61,2:75.31,2:75.34,2:74.89:185708:0.25:0,2:74.94:126396:0.25:0,2:74.85:93693:0.25:0,2:75.195:142903:0.25:0,2:74.99:150582:0.25:0,2:74.48:157077:0.25:0,2:75.98:485141:0.25:0,U:76.58:200199::,2:77.03:121817:0.25:0,2:76.85:132833:0.25:0,[2:75.57:129143:0.25:0
PLXS_122019P65,3:73.61,3:75.31,3:75.34,3:74.89:185708:10.16:0,3:74.94:126396:10.16:0,3:74.85:93693:10.16:0,3:75.195:142903:10.16:0,3:74.99:150582:10.16:0,3:74.48:157077:10.16:0,3:75.98:485141:10.16:0,U:76.58:200199::,3:77.03:121817:10.16:0,3:76.85:132833:10.16:0,[3:75.57:129143:10.16:0
PLXS_122019P70,2:73.61,2:75.31,2:75.34,2:74.89:185708:7.3:0,2:74.94:126396:7.3:0,2:74.85:93693:7.3:0,2:75.195:142903:7.3:0,2:74.99:150582:7.3:0,2:74.48:157077:7.3:0,2:75.98:485141:7.3:0,U:76.58:200199::,2:77.03:121817:7.3:0,2:76.85:132833:0.4:3,[5:75.57:129143:0.4:0
PLXS_122019P75,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,1:77.03:121817:1.3:0,1:76.85:132833:1.3:0,[1:75.57:129143:1.45:2
PLXS_122019P80,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_122019P85,0:73.61,0:75.31,0:75.34,0:74.89:185708:29.68:0,0:74.94:126396:29.68:0,0:74.85:93693:29.68:0,0:75.195:142903:29.68:0,0:74.99:150582:29.68:0,0:74.48:157077:29.68:0,0:75.98:485141:29.68:0,U:76.58:200199::,0:77.03:121817:29.68:0,0:76.85:132833:29.68:0,[0:75.57:129143:29.68:0
PLXS_122019P90,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_122019P95,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_122019P100,0:73.61,0:75.31,0:75.34,0:74.89:185708:0.0:0,0:74.94:126396:0.0:0,0:74.85:93693:0.0:0,0:75.195:142903:0.0:0,0:74.99:150582:0.0:0,0:74.48:157077:0.0:0,0:75.98:485141:0.0:0,U:76.58:200199::,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P100,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P40,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P70,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P90,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P110,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P75,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:3.2:1
PLXS_011720P60,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P80,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P105,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P50,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P85,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P95,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P55,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P65,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
PLXS_011720P45,U,U,U,U,U,U,U,U,U,U,U,0:77.03:121817:0.0:0,0:76.85:132833:0.0:0,[0:75.57:129143:0.0:0
