Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PNR_122019C20,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,U:76.58:200199::,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019C22.5,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,U:76.58:200199:::76.58:200199::,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019C25,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019C30,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019C35,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019C40,33:41.55,99:41.8,99:41.79,99:41.47,102.0,103:42.75,103:43.15,103:42.93,103:43.15:1008814:3.6:0,103:43.37:1016612:3.6:0,103:43.13:610995:3.6:0,103:43.14:1013713:3.6:0,103:43.05:793209:3.6:0,103:43.09:883633:3.5:2,103:43.48:644609:3.65:2,U:76.58:200199::,103:43.24:434379:3.4:0,103:43.36:734050:3.4:0,[103:43.73:715786:3.4:0
PNR_122019C45,11:41.55,11:41.8,11:41.79,13:41.47,9.0,18:42.75,894:43.15,896:42.93,898:43.15:1008814:0.5:1,898:43.37:1016612:0.55:7,893:43.13:610995:0.55:0,893:43.14:1013713:0.45:233,1126:43.05:793209:0.4:72,1198:43.09:883633:0.4:0,1198:43.48:644609:0.38:28,1226:76.58:200199:0.4:283,1238:43.24:434379:0.4:0,1238:43.36:734050:0.35:2,[1236:43.73:715786:0.4:10
PNR_122019C50,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019C55,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_011720C60,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_011720C25,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_011720C55,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_011720C35,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_011720C45,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,34:43.24:434379:0.73:0,34:43.36:734050:0.75:1,[34:43.73:715786:0.75:0
PNR_011720C50,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_011720C22.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_011720C40,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_011720C30,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:43.24:434379:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
