Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
PNR_122019P20,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434485:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019P22.5,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434485:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019P25,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434485:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019P30,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434485:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019P35,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434485:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019P40,8:41.55,34:41.8,34:41.79,34:41.47,33.0,33:42.75,42:43.15,42:42.93,42:43.15:1008814:0.3:1,41:43.37:1016612:0.3:0,41:43.13:610995:0.3:0,41:43.14:1013713:0.3:0,41:43.05:793209:0.3:5,41:43.09:883633:0.3:0,41:43.48:644609:0.3:0,41:76.58:200199:0.23:1,98:43.24:434485:0.2:0,98:43.36:734050:0.25:2,[99:43.73:715786:0.25:0
PNR_122019P45,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,1:43.24:434485:2.0:0,1:43.36:734050:2.0:0,[1:43.73:715786:2.0:0
PNR_122019P50,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434485:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_122019P55,0:41.55,0:41.8,0:41.79,0:41.47,0.0,0:42.75,0:43.15,0:42.93,0:43.15:1008814:0.0:0,0:43.37:1016612:0.0:0,0:43.13:610995:0.0:0,0:43.14:1013713:0.0:0,0:43.05:793209:0.0:0,0:43.09:883633:0.0:0,0:43.48:644609:0.0:0,0:76.58:200199:0.0:0,0:43.24:434485:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
PNR_011720P22.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:76.58:200199:0.0:0,0:43.24:434485:0.0:0,0:43.36:734050:0.0:0,[0:43.73:715786:0.0:0
