Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QCOM_112219C77,153:81.66,153:81.44,153:80.44,153.0,153:85.09,154:85.46,74:84.63,U:89.98:30244396::,75:91.84:11249754:13.95:0,75:90.97:9210124:13.95:0,75:90.47:9410476:13.95:0,75:90.48:8793134:13.95:0,75:90.81:25467179:13.95:0,75:90.48:10367010:13.95:0,75:85.59:10577307:13.95:0,75:85.11:10178477:13.95:0,75:84.89:6166205:13.95:0
QCOM_112219C77.5,5:81.66,5:81.44,5:80.44,5.0,5:85.09,5:85.46,5:84.63,5:89.98:30244396:6.28:0,5:91.84:11249754:6.28:0,5:90.97:9210124:6.28:0,5:90.47:9410476:13.05:23,24:90.48:8793134:12.4:4,28:90.81:25467179:12.4:0,U:90.48:10367010::,28:85.59:10577307:8.97:4,28:85.11:10178477:8.97:0,28:84.89:6166205:7.4:3
QCOM_112219C78,119:81.66,119:81.44,119:80.44,129.0,124:85.09,124:85.46,126:84.63,127:89.98:30244396:14.25:6,126:91.84:11249754:14.25:0,126:90.97:9210124:14.25:0,126:90.47:9410476:14.25:0,126:90.48:8793134:14.25:0,126:90.81:25467179:14.25:0,126:90.48:10367010:12.0:1,126:85.59:10577307:8.25:2,126:85.11:10178477:8.25:0,126:84.89:6166205:8.25:0
QCOM_112219C78.5,4:81.66,2:81.44,6:80.44,10.0,36:85.09,36:85.46,32:84.63,40:89.98:30244396:13.59:8,40:91.84:11249754:13.59:0,40:90.97:9210124:13.59:0,40:90.47:9410476:13.59:0,40:90.48:8793134:13.59:0,40:90.81:25467179:14.4:11,U:90.48:10367010::,U:85.59:10577307:U:U,48:85.11:10178477:14.4:0,48:84.89:6166205:14.4:0
QCOM_112219C79,15:81.66,15:81.44,15:80.44,15.0,15:85.09,15:85.46,15:84.63,15:89.98:30244396:13.15:1,15:91.84:11249754:13.44:0,15:90.97:9210124:13.44:0,15:90.47:9410476:13.44:0,15:90.48:8793134:11.1:2,13:90.81:25467179:11.1:0,13:90.48:10367010:11.1:0,13:85.59:10577307:11.1:0,13:85.11:10178477:11.1:0,13:84.89:6166205:6.1:1
QCOM_112219C79.5,0:81.66,0:81.44,0:80.44,0.0,0:85.09,5:85.46,5:84.63,U:89.98:30244396::,3:91.84:11249754:6.35:0,3:90.97:9210124:6.35:0,3:90.47:9410476:6.35:0,3:90.48:8793134:6.35:0,3:90.81:25467179:6.35:0,3:90.48:10367010:6.35:0,3:85.59:10577307:6.35:0,3:85.11:10178477:6.35:0,3:84.89:6166205:6.35:0
QCOM_112219C80,319:81.66,309:81.44,308:80.44,652.0,645:85.09,643:85.46,643:84.63,640:89.98:30244396:12.16:120,599:91.84:11249754:11.91:44,639:90.97:9210124:11.38:31,669:90.47:9410476:11.38:0,669:90.48:8793134:11.38:0,669:90.81:25467179:10.92:11,669:90.48:10367010:10.29:92,627:85.59:10577307:5.67:2,625:85.11:10178477:5.67:0,[625:84.89:6166205:5.3:83
QCOM_112219C80.5,124:81.66,114:81.44,114:80.44,118.0,115:85.09,108:85.46,108:84.63,110:89.98:30244396:5.77:0,110:91.84:11249754:5.77:0,110:90.97:9210124:5.77:0,110:90.47:9410476:5.77:0,110:90.48:8793134:5.77:0,110:90.81:25467179:5.77:0,110:90.48:10367010:5.77:0,109:85.59:10577307:5.55:2,109:85.11:10178477:5.55:0,[109:84.89:6166205:4.65:19
QCOM_112219C81,412:81.66,412:81.44,412:80.44,412.0,424:85.09,304:85.46,303:84.63,296:89.98:30244396:11.18:200,171:91.84:11249754:10.57:0,171:90.97:9210124:9.76:6,172:90.47:9410476:9.76:0,172:90.48:8793134:9.76:0,172:90.81:25467179:9.76:0,172:90.48:10367010:9.52:2,171:85.59:10577307:5.12:9,171:85.11:10178477:4.3:35,[188:84.89:6166205:3.95:12
QCOM_112219C81.5,12:81.66,12:81.44,12:80.44,12.0,25:85.09,25:85.46,25:84.63,25:89.98:30244396:4.25:0,25:91.84:11249754:10.9:10,24:90.97:9210124:10.9:0,24:90.47:9410476:10.9:0,24:90.48:8793134:10.9:0,24:90.81:25467179:10.9:0,24:90.48:10367010:10.9:0,24:85.59:10577307:10.9:0,24:85.11:10178477:10.9:0,[24:84.89:6166205:3.65:20
QCOM_112219C82,35:81.66,35:81.44,40:80.44,42.0,43:85.09,44:85.46,44:84.63,45:89.98:30244396:4.95:0,45:91.84:11249754:4.95:0,45:90.97:9210124:4.95:0,45:90.47:9410476:4.95:0,45:90.48:8793134:8.0:1,45:90.81:25467179:8.0:0,U:90.48:10367010::,45:85.59:10577307:4.06:8,40:85.11:10178477:3.25:12,[51:84.89:6166205:2.79:47
QCOM_112219C82.5,6:81.66,11:81.44,13:80.44,16.0,15:85.09,20:85.46,20:84.63,20:89.98:30244396:8.92:5,15:91.84:11249754:9.75:0,15:90.97:9210124:8.85:5,20:90.47:9410476:8.85:0,20:90.48:8793134:7.62:10,26:90.81:25467179:7.62:0,26:90.48:10367010:7.9:3,28:85.59:10577307:5.34:0,28:85.11:10178477:2.65:27,[40:84.89:6166205:2.24:2
QCOM_112219C83,50:81.66,61:81.44,81:80.44,81.0,232:85.09,231:85.46,231:84.63,229:89.98:30244396:7.3:203,79:91.84:11249754:8.8:46,79:90.97:9210124:8.83:20,62:90.47:9410476:7.5:3,59:90.48:8793134:6.9:1,59:90.81:25467179:6.9:0,U:90.48:10367010::,56:85.59:10577307:4.35:0,56:85.11:10178477:2.41:82,[96:84.89:6166205:1.9:29
QCOM_112219C83.5,173:81.66,173:81.44,174:80.44,174.0,155:85.09,156:85.46,146:84.63,149:89.98:30244396:8.65:3,146:91.84:11249754:8.45:1,145:90.97:9210124:8.45:0,145:90.47:9410476:6.75:20,152:90.48:8793134:6.75:0,152:90.81:25467179:6.75:0,152:90.48:10367010:6.75:0,283:85.59:10577307:3.3:119,341:85.11:10178477:1.75:124,[377:84.89:6166205:1.79:110
QCOM_112219C84,214:81.66,217:81.44,220:80.44,316.0,302:85.09,311:85.46,311:84.63,307:89.98:30244396:8.5:110,198:91.84:11249754:7.83:2,199:90.97:9210124:7.83:0,199:90.47:9410476:7.83:0,199:90.48:8793134:7.83:0,199:90.81:25467179:7.83:0,U:90.48:10367010:.8:,350:85.59:10577307:2.13:61,350:85.11:10178477:1.34:77,[401:84.89:6166205:1.23:363
QCOM_112219C84.5,1:81.66,2:81.44,2:80.44,2.0,73:85.09,74:85.46,74:84.63,80:89.98:30244396:7.35:13,82:91.84:11249754:7.24:12,92:90.97:9210124:7.24:0,92:90.47:9410476:6.2:7,85:90.48:8793134:6.05:2,85:90.81:25467179:6.05:0,85:90.48:10367010:5.35:29,97:85.59:10577307:1.97:21,102:85.11:10178477:0.98:135,[109:84.89:6166205:0.4:678
QCOM_112219C85,1495:81.66,1499:81.44,1500:80.44,1500.0,1505:85.09,1522:85.46,1570:84.63,1653:89.98:30244396:5.8:148,1576:91.84:11249754:7.28:8,1571:90.97:9210124:7.28:0,1571:90.47:9410476:5.83:12,1575:90.48:8793134:5.65:12,1569:90.81:25467179:6.1:70,1567:90.48:10367010:6.27:12,1600:85.59:10577307:1.16:137,1669:85.11:10178477:0.72:1390,[2305:84.89:6166205:0.02:2780
QCOM_112219C85.5,0:81.66,0:81.44,0:80.44,0.0,0:85.09,121:85.46,127:84.63,156:89.98:30244396:6.76:31,134:91.84:11249754:6.9:1,135:90.97:9210124:6.9:0,135:90.47:9410476:6.08:6,138:90.48:8793134:5.31:3,140:90.81:25467179:5.31:0,140:90.48:10367010:5.4:9,134:85.59:10577307:0.98:110,147:85.11:10178477:0.48:2033,[1433:84.89:6166205:0.01:803
QCOM_112219C86,1:81.66,1:81.44,2:80.44,2.0,2:85.09,133:85.46,148:84.63,151:89.98:30244396:5.15:146,132:91.84:11249754:6.58:5,137:90.97:9210124:5.86:5,133:90.47:9410476:5.1:318,375:90.48:8793134:4.4:15,377:90.81:25467179:5.5:6,377:90.48:10367010:4.05:12,657:85.59:10577307:0.75:1067,1375:85.11:10178477:0.29:1535,[1483:84.89:6166205:0.01:3094
QCOM_112219C86.5,1:81.66,2:81.44,2:80.44,2.0,3:85.09,5:85.46,10:84.63,7:89.98:30244396:6.15:1,8:91.84:11249754:4.7:0,8:90.97:9210124:4.7:0,8:90.47:9410476:4.7:0,8:90.48:8793134:3.94:2,10:90.81:25467179:4.95:34,41:90.48:10367010:4.2:40,51:85.59:10577307:0.89:253,185:85.11:10178477:0.18:556,[503:84.89:6166205:0.01:268
QCOM_112919C77,2:81.66,2:81.44,2:80.44,5.0,5:85.09,5:85.46,5:84.63,5:89.98:30244396:5.2:0,8:91.84:11249754:15.6:0,8:90.97:9210124:15.6:0,8:90.47:9410476:15.6:0,8:90.48:8793134:13.7:1,8:90.81:25467179:13.7:0,U:90.48:10367010::,8:85.59:10577307:12.45:0,8:85.11:10178477:12.45:0,8:84.89:6166205:12.45:0
QCOM_112919C77.5,4:81.66,4:81.44,4:80.44,4.0,4:85.09,4:85.46,4:84.63,4:89.98:30244396:6.4:0,4:91.84:11249754:6.4:0,4:90.97:9210124:6.4:0,4:90.47:9410476:6.4:0,4:90.48:8793134:6.4:0,4:90.81:25467179:6.4:0,U:90.48:10367010::,4:85.59:10577307:6.4:0,4:85.11:10178477:6.4:0,4:84.89:6166205:6.4:0
QCOM_112919C78,23:81.66,23:81.44,23:80.44,23.0,23:85.09,42:85.46,42:84.63,U:89.98:30244396:.:,32:91.84:11249754:12.87:0,32:90.97:9210124:12.87:0,32:90.47:9410476:12.87:0,32:90.48:8793134:12.87:0,32:90.81:25467179:12.87:0,32:90.48:10367010:12.87:0,32:85.59:10577307:8.53:9,32:85.11:10178477:8.53:0,32:84.89:6166205:8.53:0
QCOM_112919C78.5,9:81.66,9:81.44,9:80.44,9.0,9:85.09,9:85.46,9:84.63,9:89.98:30244396:13.83:10,10:91.84:11249754:12.3:0,10:90.97:9210124:12.3:0,10:90.47:9410476:12.3:0,10:90.48:8793134:12.3:0,10:90.81:25467179:12.3:0,10:90.48:10367010:12.3:0,10:85.59:10577307:12.3:0,10:85.11:10178477:12.3:0,10:84.89:6166205:12.3:0
