Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QCOM_112219P77,22:81.66,26:81.44,26:80.44,26.0,26:85.09,28:85.46,28:84.63,45:89.98:30244396:0.09:9,116:91.84:11249754:0.12:0,116:90.97:9210124:0.12:0,116:90.47:9410476:0.12:0,116:90.48:8793134:0.12:0,116:90.81:25467179:0.12:0,U:90.48:10367010::,106:85.59:10577307:0.02:10,105:85.11:10178477:0.02:0,105:84.89:6166205:0.02:0
QCOM_112219P77.5,8:81.66,9:81.44,9:80.44,10.0,10:85.09,18:85.46,18:84.63,21:89.98:30244396:0.39:1,20:91.84:11249754:0.39:0,20:90.97:9210124:0.39:0,20:90.47:9410476:0.39:0,20:90.48:8793134:0.39:0,20:90.81:25467179:0.39:0,20:90.48:10367010:0.39:0,20:85.59:10577307:0.39:0,U:85.11:10178477:U:U,20:84.89:6166205:0.39:0
QCOM_112219P78,35:81.66,37:81.44,37:80.44,37.0,50:85.09,50:85.46,60:84.63,69:89.98:30244396:0.1:13,63:91.84:11249754:0.12:1,62:90.97:9210124:0.12:0,62:90.47:9410476:0.12:0,62:90.48:8793134:0.12:0,62:90.81:25467179:0.12:0,62:90.48:10367010:0.05:1,61:85.59:10577307:0.02:10,U:85.11:10178477:U:U,53:84.89:6166205:0.02:0
QCOM_112219P78.5,6:81.66,6:81.44,6:80.44,36.0,36:85.09,36:85.46,36:84.63,44:89.98:30244396:0.11:1,43:91.84:11249754:0.11:0,43:90.97:9210124:0.11:0,43:90.47:9410476:0.11:0,43:90.48:8793134:0.07:8,43:90.81:25467179:0.07:0,43:90.48:10367010:0.07:0,43:85.59:10577307:0.07:0,U:85.11:10178477:U:U,43:84.89:6166205:0.07:0
QCOM_112219P79,38:81.66,39:81.44,39:80.44,43.0,44:85.09,45:85.46,52:84.63,60:89.98:30244396:0.14:22,50:91.84:11249754:0.14:0,50:90.97:9210124:0.14:0,50:90.47:9410476:0.05:25,67:90.48:8793134:0.05:0,67:90.81:25467179:0.05:0,67:90.48:10367010:0.24:10,77:85.59:10577307:0.24:0,U:85.11:10178477:U:U,77:84.89:6166205:0.24:0
QCOM_112219P79.5,10:81.66,20:81.44,20:80.44,20.0,22:85.09,22:85.46,22:84.63,23:89.98:30244396:0.15:15,17:91.84:11249754:0.19:0,17:90.97:9210124:0.08:2,17:90.47:9410476:0.08:0,17:90.48:8793134:0.08:0,17:90.81:25467179:0.08:0,U:90.48:10367010:.:,37:85.59:10577307:0.05:0,37:85.11:10178477:0.03:4,41:84.89:6166205:0.03:0
QCOM_112219P80,20:81.66,20:81.44,20:80.44,125.0,160:85.09,200:85.46,208:84.63,282:89.98:30244396:0.17:36,286:91.84:11249754:0.08:25,265:90.97:9210124:0.09:53,277:90.47:9410476:0.14:2,275:90.48:8793134:0.08:1,275:90.81:25467179:0.08:0,275:90.48:10367010:0.02:31,417:85.59:10577307:0.01:3,414:85.11:10178477:0.03:27,[440:84.89:6166205:0.02:1
QCOM_112219P80.5,25:81.66,25:81.44,25:80.44,25.0,25:85.09,25:85.46,37:84.63,30:89.98:30244396:1.26:0,30:91.84:11249754:1.26:0,30:90.97:9210124:1.26:0,30:90.47:9410476:1.26:0,30:90.48:8793134:1.26:0,30:90.81:25467179:0.05:46,51:90.48:10367010:0.06:1,67:85.59:10577307:0.01:1,67:85.11:10178477:0.01:0,[67:84.89:6166205:0.01:0
QCOM_112219P81,29:81.66,29:81.44,29:80.44,29.0,49:85.09,56:85.46,58:84.63,59:89.98:30244396:0.21:71,225:91.84:11249754:0.19:0,225:90.97:9210124:0.19:0,225:90.47:9410476:0.12:10,215:90.48:8793134:0.16:50,265:90.81:25467179:0.05:4,U:90.48:10367010::,287:85.59:10577307:0.02:1,286:85.11:10178477:0.02:36,[274:84.89:6166205:0.02:0
QCOM_112219P81.5,0:81.66,3:81.44,3:80.44,3.0,3:85.09,6:85.46,8:84.63,9:89.98:30244396:0.22:5,15:91.84:11249754:0.12:1,14:90.97:9210124:0.12:0,14:90.47:9410476:0.12:0,14:90.48:8793134:0.1:22,33:90.81:25467179:0.1:0,U:90.48:10367010::,U:85.59:10577307:U:U,112:85.11:10178477:0.04:71,[142:84.89:6166205:0.04:0
