Symbol,20191104,20191106,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QQQ_112219C192.5,70:200.2649,70:199.76,78:201.23:15155921:8.67:2,78:200.96:10128652:8.67:0,78:201.54:14695374:9.69:2,80:201.59:15792836:9.69:0,80:201.43:16903669:9.69:0,80:202.91:18151654:10.15:3,83:203.07:18408797:10.92:22,77:202.07:32364255:8.69:3,76:201.7:17883581:9.1:1,75:201.83:17186554:9.19:6
QQQ_112219C193,815:200.2649,645:199.76,654:201.23:15155921:8.43:54,677:200.96:10128652:7.58:12,675:201.54:14695374:8.66:16,663:201.59:15792836:8.75:40,623:201.43:16903669:8.68:54,626:202.91:18151654:9.42:30,625:203.07:18408797:10.28:70,538:202.07:32364255:8.91:15,U:201.7:17883581:U:U,516:201.83:17186554:8.75:110
QQQ_112219C194,926:200.2649,918:199.76,1009:201.23:15155921:7.21:103,1001:200.96:10128652:7.31:199,937:201.54:14695374:7.82:13,935:201.59:15792836:7.64:30,934:201.43:16903669:7.45:47,921:202.91:18151654:8.4:121,920:203.07:18408797:9.08:75,871:202.07:32364255:8.25:151,786:201.7:17883581:7.77:82,752:201.83:17186554:7.6:84
QQQ_112219C195,951:200.2649,946:199.76,1075:201.23:15155921:6.92:68,1098:200.96:10128652:6.46:13,1099:201.54:14695374:6.86:15,1092:201.59:15792836:6.53:10,1085:201.43:16903669:6.77:164,1000:202.91:18151654:7.87:199,1013:203.07:18408797:8.18:109,997:202.07:32364255:6.9:109,941:201.7:17883581:6.65:43,913:201.83:17186554:6.69:101
QQQ_112219C196,970:200.2649,1001:199.76,943:201.23:15155921:5.81:80,940:200.96:10128652:5.69:255,1116:201.54:14695374:6.01:100,1141:201.59:15792836:5.98:62,1094:201.43:16903669:5.64:6,1098:202.91:18151654:6.46:47,1108:203.07:18408797:7.21:67,1015:202.07:32364255:5.95:179,914:201.7:17883581:5.7:54,[911:201.83:17186554:5.75:99
QQQ_112219C197,849:200.2649,862:199.76,865:201.23:15155921:4.59:46,869:200.96:10128652:4.72:26,878:201.54:14695374:5.08:113,897:201.59:15792836:4.94:102,941:201.43:16903669:5.0:162,987:202.91:18151654:5.52:463,1025:203.07:18408797:6.07:99,1006:202.07:32364255:4.88:209,920:201.7:17883581:4.71:28,[913:201.83:17186554:4.87:212
QQQ_112219C197.5,1382:200.2649,1018:199.76,937:201.23:15155921:4.2:97,928:200.96:10128652:4.21:1,928:201.54:14695374:4.66:63,946:201.59:15792836:4.62:19,947:201.43:16903669:4.55:129,968:202.91:18151654:5.46:112,1029:203.07:18408797:5.54:82,1019:202.07:32364255:4.5:68,991:201.7:17883581:4.4:89,[998:201.83:17186554:4.32:149
QQQ_112219C198,1148:200.2649,1317:199.76,1267:201.23:15155921:4.0:14,1256:200.96:10128652:3.94:17,1268:201.54:14695374:4.31:36,1253:201.59:15792836:4.29:54,1256:201.43:16903669:4.13:157,1208:202.91:18151654:4.95:296,1312:203.07:18408797:5.15:297,1067:202.07:32364255:4.18:379,1143:201.7:17883581:3.75:130,[1072:201.83:17186554:3.76:237
QQQ_112219C199,861:200.2649,1735:199.76,515:201.23:15155921:3.38:296,639:200.96:10128652:3.23:548,729:201.54:14695374:3.49:94,678:201.59:15792836:3.47:101,730:201.43:16903669:3.36:401,948:202.91:18151654:3.98:705,1334:203.07:18408797:4.51:160,1279:202.07:32364255:2.93:357,1212:201.7:17883581:2.71:527,[886:201.83:17186554:2.87:284
QQQ_112219C200,2371:200.2649,2886:199.76,2851:201.23:15155921:2.81:642,3082:200.96:10128652:2.52:1668,3129:201.54:14695374:2.83:529,3173:201.59:15792836:2.72:723,3451:201.43:16903669:2.63:4380,6917:202.91:18151654:3.25:1444,7135:203.07:18408797:3.42:648,6994:202.07:32364255:2.4:2834,6708:201.7:17883581:1.91:2262,[6082:201.83:17186554:1.84:3056
QQQ_112219C201,682:200.2649,1222:199.76,1228:201.23:15155921:2.14:716,1371:200.96:10128652:1.88:1443,1764:201.54:14695374:2.22:3144,3289:201.59:15792836:1.89:2736,3482:201.43:16903669:1.98:3516,4264:202.91:18151654:2.46:2823,4022:203.07:18408797:2.58:1084,3918:202.07:32364255:1.65:8845,5377:201.7:17883581:1.1:8081,[6585:201.83:17186554:0.88:15190
QQQ_112219C202,1980:200.2649,2068:199.76,5074:201.23:15155921:1.61:739,5533:200.96:10128652:1.38:822,5726:201.54:14695374:1.61:3797,5816:201.59:15792836:1.47:3719,5002:201.43:16903669:1.38:6179,8413:202.91:18151654:1.77:2769,8940:203.07:18408797:1.83:5086,9367:202.07:32364255:0.95:9123,11438:201.7:17883581:0.47:30375,[17167:201.83:17186554:0.01:29041
QQQ_112219C202.5,1038:200.2649,997:199.76,1761:201.23:15155921:1.25:238,1799:200.96:10128652:1.16:317,1886:201.54:14695374:1.34:669,2287:201.59:15792836:1.22:388,2503:201.43:16903669:1.13:731,2733:202.91:18151654:1.45:2799,3487:203.07:18408797:1.48:6512,4566:202.07:32364255:0.63:11247,9253:201.7:17883581:0.28:9467,[7730:201.83:17186554:0.01:3749
QQQ_112219C203,542:200.2649,1029:199.76,2108:201.23:15155921:1.15:1004,2857:200.96:10128652:0.94:727,3253:201.54:14695374:1.12:1376,4258:201.59:15792836:0.98:2242,3684:201.43:16903669:0.9:22911,21885:202.91:18151654:1.17:4977,22832:203.07:18408797:1.17:4042,24240:202.07:32364255:0.44:13849,26965:201.7:17883581:0.15:5279,[26855:201.83:17186554:0.01:2516
QQQ_112219C204,265:200.2649,309:199.76,496:201.23:15155921:0.75:132,567:200.96:10128652:0.64:272,805:201.54:14695374:0.74:1277,1224:201.59:15792836:0.61:676,1776:201.43:16903669:0.56:442,1763:202.91:18151654:0.71:2711,2603:203.07:18408797:0.67:10966,11012:202.07:32364255:0.16:9715,11627:201.7:17883581:0.03:2552,[11757:201.83:17186554:0.01:8302
QQQ_112219C205,316:200.2649,873:199.76,1115:201.23:15155921:0.5:229,1175:200.96:10128652:0.4:333,1240:201.54:14695374:0.44:1442,2473:201.59:15792836:0.4:1777,2376:201.43:16903669:0.33:377,2567:202.91:18151654:0.4:3124,3926:203.07:18408797:0.33:4264,5145:202.07:32364255:0.06:9836,7939:201.7:17883581:0.01:7789,[9390:201.83:17186554:0.01:582
QQQ_112219C206,133:200.2649,200:199.76,198:201.23:15155921:0.33:108,265:200.96:10128652:0.24:42,267:201.54:14695374:0.28:304,472:201.59:15792836:0.23:151,524:201.43:16903669:0.17:208,654:202.91:18151654:0.19:1342,1287:203.07:18408797:0.15:1650,2804:202.07:32364255:0.02:1263,3035:201.7:17883581:0.01:431,[3013:201.83:17186554:0.01:123
QQQ_112219C207,129:200.2649,181:199.76,224:201.23:15155921:0.18:63,266:200.96:10128652:0.15:29,252:201.54:14695374:0.19:43,263:201.59:15792836:0.12:58,288:201.43:16903669:0.09:292,375:202.91:18151654:0.09:352,479:203.07:18408797:0.06:419,876:202.07:32364255:0.01:458,949:201.7:17883581:0.01:14,[938:201.83:17186554:0.01:45
QQQ_112219C207.5,89:200.2649,97:199.76,101:201.23:15155921:0.17:2,101:200.96:10128652:0.17:0,101:201.54:14695374:0.14:9,107:201.59:15792836:0.11:4,111:201.43:16903669:0.07:32,128:202.91:18151654:0.07:50,145:203.07:18408797:0.04:38,196:202.07:32364255:0.01:17,182:201.7:17883581:0.01:0,[182:201.83:17186554:0.01:0
QQQ_112219C208,60:200.2649,76:199.76,86:201.23:15155921:0.12:6,88:200.96:10128652:0.1:18,104:201.54:14695374:0.1:28,118:201.59:15792836:0.09:21,139:201.43:16903669:0.06:29,149:202.91:18151654:0.05:93,172:203.07:18408797:0.04:76,263:202.07:32364255:0.01:19,257:201.7:17883581:0.01:20,[238:201.83:17186554:0.01:8
QQQ_112919C193.5,793:200.2649,773:199.76,801:201.23:15155921:7.27:0,801:200.96:10128652:7.27:0,801:201.54:14695374:7.27:0,801:201.59:15792836:7.27:0,801:201.43:16903669:7.27:0,801:202.91:18151654:9.25:3,802:203.07:18408797:9.25:0,802:202.07:32364255:8.16:10,802:201.7:17883581:8.5:8,802:201.83:17186554:8.19:6
QQQ_112919C194,938:200.2649,921:199.76,920:201.23:15155921:7.6:119,831:200.96:10128652:7.76:130,803:201.54:14695374:8.51:31,803:201.59:15792836:7.84:1,803:201.43:16903669:7.15:11,793:202.91:18151654:8.88:67,803:203.07:18408797:9.61:16,800:202.07:32364255:7.31:10,804:201.7:17883581:7.96:5,807:201.83:17186554:7.85:30
QQQ_112919C194.5,681:200.2649,696:199.76,728:201.23:15155921:7.29:72,800:200.96:10128652:7.04:1,800:201.54:14695374:8.17:2,801:201.59:15792836:7.45:11,812:201.43:16903669:7.45:0,812:202.91:18151654:8.31:10,812:203.07:18408797:9.13:13,803:202.07:32364255:9.13:0,803:201.7:17883581:7.49:4,807:201.83:17186554:7.39:29
QQQ_112919C195,1390:200.2649,1505:199.76,1523:201.23:15155921:6.63:87,1517:200.96:10128652:6.87:2,1516:201.54:14695374:7.69:1,1517:201.59:15792836:6.83:25,1520:201.43:16903669:7.12:108,1451:202.91:18151654:8.1:54,1434:203.07:18408797:8.4:12,1458:202.07:32364255:7.17:59,1478:201.7:17883581:7.01:42,1505:201.83:17186554:6.95:37
QQQ_112919C196,1714:200.2649,1833:199.76,1837:201.23:15155921:6.19:26,1823:200.96:10128652:5.95:49,1833:201.54:14695374:6.7:3,1835:201.59:15792836:6.27:67,1855:201.43:16903669:6.12:11,1856:202.91:18151654:6.82:143,1854:203.07:18408797:7.35:51,1816:202.07:32364255:6.21:62,1828:201.7:17883581:5.9:25,[1840:201.83:17186554:5.71:29
