Symbol,20191104,20191106,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QQQ_112219P192.5,654:200.2649,950:199.76,684:201.23:15155921:0.3:20,700:200.96:10128652:0.29:21,719:201.54:14695374:0.22:26,711:201.59:15792836:0.19:5,711:201.43:16903669:0.19:710,1037:202.91:18151654:0.07:140,U:203.07:18408797::,1001:202.07:32364255:0.02:15,U:0:0:U:U,1007:201.83:17186554:0.01:10
QQQ_112219P193,2078:200.2649,2081:199.76,2245:201.23:15155921:0.33:272,2257:200.96:10128652:0.29:152,2239:201.54:14695374:0.24:105,2328:201.59:15792836:0.22:5740,5492:201.43:16903669:0.17:3048,7658:202.91:18151654:0.07:869,U:203.07:18408797::,8259:202.07:32364255:0.03:812,7938:0:0:0.01:30,7935:201.83:17186554:0.01:0
QQQ_112219P194,883:200.2649,844:199.76,1224:201.23:15155921:0.49:27,1237:200.96:10128652:0.37:158,1239:201.54:14695374:0.32:155,1286:201.59:15792836:0.28:205,1357:201.43:16903669:0.23:859,1738:202.91:18151654:0.09:1155,2072:203.07:18408797:0.05:489,2111:202.07:32364255:0.05:1546,3228:0:0:0.01:832,3441:201.83:17186554:0.01:2
QQQ_112219P195,1490:200.2649,2378:199.76,4007:201.23:15155921:0.48:505,4084:200.96:10128652:0.44:1825,5417:201.54:14695374:0.4:7821,10364:201.59:15792836:0.34:6568,14410:201.43:16903669:0.28:809,14283:202.91:18151654:0.11:1755,14579:203.07:18408797:0.06:1020,14927:202.07:32364255:0.06:1878,15214:0:0:0.01:50,15313:201.83:17186554:0.01:87
QQQ_112219P196,1209:200.2649,1135:199.76,1260:201.23:15155921:0.58:238,1335:200.96:10128652:0.54:247,1383:201.54:14695374:0.47:737,1893:201.59:15792836:0.44:4983,5378:201.43:16903669:0.4:987,5773:202.91:18151654:0.13:1327,5408:203.07:18408797:0.08:461,5890:202.07:32364255:0.08:1343,6048:0:0:0.01:315,[5881:201.83:17186554:0.01:140
QQQ_112219P197,1034:200.2649,1148:199.76,1538:201.23:15155921:0.75:563,1571:200.96:10128652:0.74:473,1546:201.54:14695374:0.58:1218,2022:201.59:15792836:0.55:734,2183:201.43:16903669:0.48:602,2141:202.91:18151654:0.18:1668,U:203.07:18408797::,2888:202.07:32364255:0.1:362,2899:0:0:0.02:501,[2936:201.83:17186554:0.01:598
QQQ_112219P197.5,294:200.2649,351:199.76,561:201.23:15155921:0.83:83,592:200.96:10128652:0.77:131,538:201.54:14695374:0.68:1004,1301:201.59:15792836:0.71:30,1308:201.43:16903669:0.57:82,1348:202.91:18151654:0.22:4249,4500:203.07:18408797:0.13:328,4578:202.07:32364255:0.12:263,4575:0:0:0.03:884,[4614:201.83:17186554:0.01:4047
QQQ_112219P198,996:200.2649,2378:199.76,2889:201.23:15155921:0.92:729,2916:200.96:10128652:0.89:11971,3760:201.54:14695374:0.77:1679,14452:201.59:15792836:0.7:10877,12922:201.43:16903669:0.62:3213,13061:202.91:18151654:0.26:5093,14072:203.07:18408797:0.14:1671,15027:202.07:32364255:0.11:11424,13920:0:0:0.04:6040,[16947:201.83:17186554:0.01:3444
QQQ_112219P199,549:200.2649,723:199.76,4921:201.23:15155921:1.14:673,4797:200.96:10128652:1.15:22183,24812:201.54:14695374:0.93:22591,45441:201.59:15792836:1.0:9281,51973:201.43:16903669:0.84:2431,52076:202.91:18151654:0.38:5973,48985:203.07:18408797:0.22:4694,44383:202.07:32364255:0.21:4793,U:0:0:U:U,[22067:201.83:17186554:0.01:2336
QQQ_112219P200,832:200.2649,1364:199.76,3023:201.23:15155921:1.44:1012,3200:200.96:10128652:1.45:1485,3544:201.54:14695374:1.2:12438,10603:201.59:15792836:1.18:11891,16429:201.43:16903669:1.09:9195,19698:202.91:18151654:0.53:8529,22798:203.07:18408797:0.32:19298,U:202.07:32364255:U:U,16925:0:0:0.16:15934,[24803:201.83:17186554:0.01:14678
