Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QRVO_122019C77.5,24:101.51,24:101.3,24:101.4,24:101.31:2462422:18.4:0,24:104.04:2864169:18.4:0,24:102.29:2180731:18.4:0,24:102.58:1931119:18.4:0,24:103.89:2260723:18.4:0,24:103.7:1079263:18.4:0,24:103.75:941415:26.35:2,24:103.25:1241671:26.35:0,23:101.9:969545:25.6:0,23:100.9:1311767:24.2:1,[22:101.72:1137907:24.2:0
QRVO_122019C80,33:101.51,33:101.3,33:101.4,33:101.31:2462422:21.9:0,33:104.04:2864169:21.9:0,33:102.29:2180731:21.9:0,33:102.58:1931119:21.9:0,33:103.89:2260723:21.9:0,33:103.7:1079263:23.75:8,34:103.75:941415:23.75:0,34:103.25:1241671:23.75:0,34:101.9:969545:23.75:0,34:100.9:1311767:23.75:0,[34:101.72:1137907:23.75:0
QRVO_122019C82.5,19:101.51,17:101.3,17:101.4,17:101.31:2462422:18.0:0,17:104.04:2864169:20.88:10,17:102.29:2180731:20.88:0,17:102.58:1931119:20.88:0,17:103.89:2260723:20.88:0,17:103.7:1079263:20.88:0,17:103.75:941415:20.88:0,17:103.25:1241671:20.88:0,17:101.9:969545:20.88:0,17:100.9:1311767:20.88:0,[17:101.72:1137907:20.88:0
QRVO_122019C85,52:101.51,52:101.3,50:101.4,49:101.31:2462422:17.26:0,49:104.04:2864169:18.4:1,48:102.29:2180731:18.4:0,48:102.58:1931119:18.4:0,48:103.89:2260723:18.4:0,48:103.7:1079263:19.21:7,48:103.75:941415:19.21:0,48:103.25:1241671:19.21:0,48:101.9:969545:19.21:0,48:100.9:1311767:19.21:0,[48:101.72:1137907:19.21:0
QRVO_122019C87.5,68:101.51,68:101.3,67:101.4,67:101.31:2462422:14.76:0,67:104.04:2864169:14.76:0,67:102.29:2180731:14.76:0,67:102.58:1931119:14.76:0,67:103.89:2260723:14.76:0,67:103.7:1079263:14.76:0,67:103.75:941415:14.76:0,67:103.25:1241671:14.76:0,67:101.9:969545:14.76:0,67:100.9:1311767:14.76:0,[67:101.72:1137907:14.76:0
QRVO_122019C90,1169:101.51,1125:101.3,1125:101.4,1120:101.31:2462422:13.3:4,1121:104.04:2864169:13.9:71,1117:102.29:2180731:13.6:502,655:102.58:1931119:12.6:150,569:103.89:2260723:14.2:599,516:103.7:1079263:14.2:0,516:103.75:941415:14.07:3,516:103.25:1241671:14.07:0,516:101.9:969545:12.5:3,516:100.9:1311767:12.07:1,[515:101.72:1137907:12.13:1
QRVO_122019C92.5,0:101.51,0:101.3,2:101.4,2:101.31:2462422:10.4:0,2:104.04:2864169:10.4:0,2:102.29:2180731:10.4:0,2:102.58:1931119:10.4:0,2:103.89:2260723:10.4:0,2:103.7:1079263:10.4:0,2:103.75:941415:12.1:3,5:103.25:1241671:12.1:0,5:101.9:969545:12.1:0,5:100.9:1311767:12.1:0,[5:101.72:1137907:9.6:1
QRVO_122019C95,726:101.51,565:101.3,544:101.4,723:101.31:2462422:8.3:553,592:104.04:2864169:10.3:11,591:102.29:2180731:8.52:224,762:102.58:1931119:8.54:3,762:103.89:2260723:10.1:3,760:103.7:1079263:9.6:3,763:103.75:941415:9.37:1,763:103.25:1241671:10.0:2,761:101.9:969545:10.0:0,761:100.9:1311767:10.0:0,[761:101.72:1137907:7.67:3
QRVO_122019C97.5,0:101.51,8:101.3,8:101.4,8:101.31:2462422:6.85:5,8:104.04:2864169:8.0:5,10:102.29:2180731:7.07:5,11:102.58:1931119:6.87:5,16:103.89:2260723:7.7:10,23:103.7:1079263:7.87:6,23:103.75:941415:7.66:11,34:103.25:1241671:7.47:1,33:101.9:969545:7.0:10,33:100.9:1311767:7.0:0,[33:101.72:1137907:7.0:0
QRVO_122019C100,318:101.51,475:101.3,486:101.4,489:101.31:2462422:4.9:78,495:104.04:2864169:6.65:270,725:102.29:2180731:5.3:170,716:102.58:1931119:4.94:204,753:103.89:2260723:6.01:35,724:103.7:1079263:6.0:30,722:103.75:941415:5.62:58,765:103.25:1241671:5.3:124,729:101.9:969545:4.9:93,693:100.9:1311767:3.7:77,[648:101.72:1137907:4.0:39
QRVO_122019C105,146:101.51,226:101.3,219:101.4,221:101.31:2462422:2.5:62,246:104.04:2864169:3.8:110,339:102.29:2180731:2.55:98,322:102.58:1931119:2.71:24,336:103.89:2260723:3.3:88,398:103.7:1079263:3.08:37,422:103.75:941415:2.9:302,613:103.25:1241671:2.55:152,717:101.9:969545:1.85:100,761:100.9:1311767:1.5:45,[771:101.72:1137907:1.6:50
QRVO_122019C110,25:101.51,420:101.3,432:101.4,439:101.31:2462422:1.05:6,439:104.04:2864169:1.8:236,621:102.29:2180731:1.2:57,609:102.58:1931119:1.2:87,615:103.89:2260723:1.44:148,641:103.7:1079263:1.4:212,641:103.75:941415:1.16:149,645:103.25:1241671:1.08:9,526:101.9:969545:0.76:16,533:100.9:1311767:0.51:8,[534:101.72:1137907:0.5:6
QRVO_122019C115,10:101.51,19:101.3,17:101.4,17:101.31:2462422:0.41:7,22:104.04:2864169:0.75:13,29:102.29:2180731:0.5:11,31:102.58:1931119:0.45:5,35:103.89:2260723:0.41:83,66:103.7:1079263:0.5:57,111:103.75:941415:0.3:73,138:103.25:1241671:0.35:23,169:101.9:969545:0.25:22,188:100.9:1311767:0.12:5,[184:101.72:1137907:0.15:17
QRVO_011720C100,U,U,U,U,U,U,U,U,1956:103.7:1079263:7.5:24,1965:103.75:941415:7.3:23,1974:103.25:1241671:7.2:1,1977:101.9:969545:7.0:2,1978:100.9:1311767:5.3:19,[1985:101.72:1137907:5.5:4
QRVO_011720C105,U,U,U,U,U,U,U,U,360:103.7:1079263:4.5:37,363:103.75:941415:4.24:9,363:103.25:1241671:4.0:50,398:101.9:969545:3.4:24,394:100.9:1311767:2.8:8,[396:101.72:1137907:3.1:13
