Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
QRVO_122019P77.5,4:101.51,4:101.3,4:101.4,4:101.31:2462422:0.38:0,4:104.04:2864169:0.38:0,4:102.29:2180731:0.38:0,4:102.58:1931119:0.38:0,4:103.89:2260723:0.38:0,4:103.7:1079263:0.38:0,4:103.75:941415:0.05:1,3:103.25:1241671:0.05:0,3:101.9:969545:0.05:0,3:100.9:1311767:0.05:0,[3:101.72:1137907:0.05:0
QRVO_122019P80,53:101.51,53:101.3,52:101.4,50:101.31:2462422:0.05:0,50:104.04:2864169:0.05:0,50:102.29:2180731:0.05:0,50:102.58:1931119:0.05:0,50:103.89:2260723:0.05:0,50:103.7:1079263:0.05:0,50:103.75:941415:0.05:0,50:103.25:1241671:0.05:0,50:101.9:969545:0.05:0,50:100.9:1311767:0.05:0,[50:101.72:1137907:0.05:0
QRVO_122019P82.5,13:101.51,13:101.3,13:101.4,13:101.31:2462422:0.32:50,63:104.04:2864169:0.32:0,63:102.29:2180731:0.32:0,63:102.58:1931119:0.32:0,63:103.89:2260723:0.32:0,63:103.7:1079263:0.32:0,63:103.75:941415:0.32:0,63:103.25:1241671:0.32:0,63:101.9:969545:0.32:0,63:100.9:1311767:0.32:0,[63:101.72:1137907:0.32:0
QRVO_122019P85,164:101.51,262:101.3,272:101.4,272:101.31:2462422:0.37:52,321:104.04:2864169:0.37:0,321:102.29:2180731:0.05:3,321:102.58:1931119:0.05:0,321:103.89:2260723:0.05:0,321:103.7:1079263:0.05:0,321:103.75:941415:0.05:0,321:103.25:1241671:0.05:0,321:101.9:969545:0.05:0,321:100.9:1311767:0.05:0,[321:101.72:1137907:0.2:102
QRVO_122019P87.5,35:101.51,58:101.3,60:101.4,60:101.31:2462422:0.55:1,60:104.04:2864169:0.55:0,60:102.29:2180731:0.35:10,70:102.58:1931119:0.33:1,69:103.89:2260723:0.45:67,134:103.7:1079263:0.45:0,134:103.75:941415:0.45:0,134:103.25:1241671:0.45:0,134:101.9:969545:0.45:0,134:100.9:1311767:0.45:0,[134:101.72:1137907:0.45:0
QRVO_122019P90,90:101.51,102:101.3,165:101.4,166:101.31:2462422:0.77:2,166:104.04:2864169:0.56:27,148:102.29:2180731:0.63:11,144:102.58:1931119:0.58:64,200:103.89:2260723:0.45:73,266:103.7:1079263:0.38:2,266:103.75:941415:0.31:13,276:103.25:1241671:0.4:2,276:101.9:969545:0.39:42,295:100.9:1311767:0.42:11,[285:101.72:1137907:0.4:5
QRVO_122019P92.5,0:101.51,45:101.3,108:101.4,113:101.31:2462422:1.15:4,113:104.04:2864169:0.82:77,114:102.29:2180731:0.92:11,123:102.58:1931119:0.85:20,136:103.89:2260723:0.7:84,200:103.7:1079263:0.64:4,202:103.75:941415:0.6:2,204:103.25:1241671:0.65:5,204:101.9:969545:0.68:1,205:100.9:1311767:0.8:10,[215:101.72:1137907:0.8:0
QRVO_122019P95,81:101.51,124:101.3,142:101.4,142:101.31:2462422:1.7:40,162:104.04:2864169:1.2:27,175:102.29:2180731:1.37:8,174:102.58:1931119:1.25:9,180:103.89:2260723:1.02:50,219:103.7:1079263:0.98:10,222:103.75:941415:0.9:1337,1286:103.25:1241671:0.9:1,1308:101.9:969545:0.74:6,1304:100.9:1311767:1.2:22,[1304:101.72:1137907:0.98:152
QRVO_122019P97.5,0:101.51,11:101.3,15:101.4,15:101.31:2462422:2.3:4,19:104.04:2864169:1.65:15,20:102.29:2180731:1.94:5,22:102.58:1931119:1.85:5,22:103.89:2260723:1.55:14,30:103.7:1079263:1.35:13,34:103.75:941415:1.35:11,44:103.25:1241671:1.45:20,54:101.9:969545:1.3:0,54:100.9:1311767:1.84:13,[59:101.72:1137907:1.55:8
QRVO_122019P100,22:101.51,103:101.3,115:101.4,117:101.31:2462422:3.36:41,140:104.04:2864169:2.44:113,233:102.29:2180731:2.76:176,315:102.58:1931119:2.65:100,365:103.89:2260723:2.07:269,469:103.7:1079263:2.05:74,487:103.75:941415:2.0:69,503:103.25:1241671:2.15:1158,1129:101.9:969545:2.4:262,1062:100.9:1311767:2.71:58,[1077:101.72:1137907:2.39:98
QRVO_122019P105,1:101.51,39:101.3,37:101.4,55:101.31:2462422:5.9:5,59:104.04:2864169:4.44:22,79:102.29:2180731:5.3:32,97:102.58:1931119:5.3:3,99:103.89:2260723:4.1:169,254:103.7:1079263:4.15:42,291:103.75:941415:4.2:99,320:103.25:1241671:4.22:37,345:101.9:969545:4.8:45,405:100.9:1311767:5.2:5,[405:101.72:1137907:4.94:16
QRVO_122019P110,1:101.51,3:101.3,3:101.4,3:101.31:2462422:9.6:24,25:104.04:2864169:7.6:11,34:102.29:2180731:8.97:71,93:102.58:1931119:8.8:1,93:103.89:2260723:8.8:0,93:103.7:1079263:8.8:0,93:103.75:941415:6.6:1,93:103.25:1241671:6.6:0,93:101.9:969545:8.2:39,126:100.9:1311767:8.2:0,[126:101.72:1137907:8.2:0
QRVO_122019P115,1:101.51,0:101.3,0:101.4,0:101.31:2462422:16.2:0,0:104.04:2864169:16.2:0,0:102.29:2180731:12.6:205,205:102.58:1931119:12.6:0,205:103.89:2260723:12.6:0,205:103.7:1079263:12.6:0,205:103.75:941415:12.6:0,205:103.25:1241671:12.6:0,205:101.9:969545:12.6:0,205:100.9:1311767:12.6:0,[205:101.72:1137907:12.6:0
