Symbol,20191028,20191029,20191030,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RDFN_122019P12,0:18.29,0:18.15,0:17.81,0.0,0:18.37,0:18.885,0:18.54,0:17.95:4133678:0.0:0,0:20.19:3352746:0.0:0,0:20.76:1701802:0.0:0,0:20.41:1043924:0.0:0,0:20.08:1218601:0.0:0,0:20.35:1706942:0.0:0,0:20.3:1143737:0.0:0,0:20.14:917198:0.0:0,0:20.495:2033383:0.0:0,0:20.67:2434260:0.0:0,[0:20.09:961638:0.0:0
RDFN_122019P13,0:18.29,0:18.15,0:17.81,0.0,0:18.37,0:18.885,0:18.54,0:17.95:4133678:0.0:0,0:20.19:3352746:0.0:0,0:20.76:1701802:0.0:0,0:20.41:1043924:0.0:0,0:20.08:1218601:0.0:0,0:20.35:1706942:0.0:0,0:20.3:1143737:0.0:0,0:20.14:917198:0.0:0,0:20.495:2033383:0.0:0,0:20.67:2434260:0.0:0,[0:20.09:961638:0.0:0
RDFN_122019P14,0:18.29,20:18.15,20:17.81,20.0,20:18.37,20:18.885,20:18.54,20:17.95:4133678:0.26:0,20:20.19:3352746:0.26:0,20:20.76:1701802:0.26:0,20:20.41:1043924:0.26:0,20:20.08:1218601:0.26:0,20:20.35:1706942:0.26:0,20:20.3:1143737:0.26:0,20:20.14:917198:0.26:0,20:20.495:2033383:0.26:0,20:20.67:2434260:0.26:0,[20:20.09:961638:0.26:0
RDFN_122019P15,0:18.29,0:18.15,6:17.81,12.0,12:18.37,12:18.885,12:18.54,21:17.95:4133678:0.2:3,24:20.19:3352746:0.2:0,24:20.76:1701802:4.42:3,24:20.41:1043924:0.17:2,26:20.08:1218601:0.17:0,26:20.35:1706942:0.17:0,26:20.3:1143737:0.08:6,26:20.14:917198:0.08:0,26:20.495:2033383:0.08:0,26:20.67:2434260:0.08:0,[26:20.09:961638:0.08:0
RDFN_122019P16,0:18.29,1:18.15,1:17.81,3.0,3:18.37,3:18.885,3:18.54,3:17.95:4133678:0.45:188,181:20.19:3352746:0.21:3,182:20.76:1701802:0.21:0,182:20.41:1043924:0.21:0,182:20.08:1218601:0.21:0,182:20.35:1706942:0.21:0,182:20.3:1143737:0.21:0,182:20.14:917198:0.08:1,191:20.495:2033383:0.08:0,191:20.67:2434260:0.08:0,[191:20.09:961638:0.08:0
RDFN_122019P17,1:18.29,1:18.15,1:17.81,28.0,28:18.37,28:18.885,27:18.54,27:17.95:4133678:0.7:56,64:20.19:3352746:0.16:22,50:20.76:1701802:0.25:23,53:20.41:1043924:0.25:0,53:20.08:1218601:0.23:25,56:20.35:1706942:0.25:4,56:20.3:1143737:0.18:16,50:20.14:917198:0.18:0,50:20.495:2033383:0.18:0,50:20.67:2434260:0.18:0,[50:20.09:961638:0.2:1
RDFN_122019P18,30:18.29,30:18.15,30:17.81,38.0,38:18.37,38:18.885,38:18.54,61:17.95:4133678:1.13:69,93:20.19:3352746:0.38:40,97:20.76:1701802:0.38:0,97:20.41:1043924:0.31:5,100:20.08:1218601:0.4:85,155:20.35:1706942:0.32:105,255:20.3:1143737:0.25:11,261:20.14:917198:0.26:101,372:20.495:2033383:0.3:0,372:20.67:2434260:0.2:31,[368:20.09:961638:0.2:0
RDFN_122019P19,0:18.29,0:18.15,0:17.81,0.0,0:18.37,0:18.885,0:18.54,10:17.95:4133678:1.65:0,10:20.19:3352746:0.63:13,21:20.76:1701802:0.5:53,61:20.41:1043924:0.5:0,61:20.08:1218601:0.5:0,61:20.35:1706942:0.5:0,61:20.3:1143737:0.5:0,61:20.14:917198:0.55:1,60:20.495:2033383:0.55:0,60:20.67:2434260:0.55:0,[60:20.09:961638:0.5:22
RDFN_122019P20,0:18.29,3:18.15,3:17.81,3.0,3:18.37,3:18.885,23:18.54,28:17.95:4133678:2.3:1,27:20.19:3352746:0.95:63,48:20.76:1701802:0.8:34,82:20.41:1043924:0.85:16,98:20.08:1218601:1.05:17,89:20.35:1706942:1.05:0,89:20.3:1143737:0.81:20,109:20.14:917198:0.85:20,132:20.495:2033383:0.9:0,132:20.67:2434260:0.64:4,[133:20.09:961638:0.84:27
RDFN_122019P21,0:18.29,0:18.15,0:17.81,0.0,0:18.37,0:18.885,0:18.54,0:17.95:4133678:2.2:1,1:20.19:3352746:2.2:0,1:20.76:1701802:2.2:0,1:20.41:1043924:2.2:0,1:20.08:1218601:2.2:0,1:20.35:1706942:1.35:10,11:20.3:1143737:1.35:0,11:20.14:917198:1.5:27,38:20.495:2033383:1.4:1,38:20.67:2434260:1.4:0,[38:20.09:961638:1.52:11
