Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RDNT_122019C2.5,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_122019C5,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_122019C7.5,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_122019C10,34:16.14:98171:6.2:0,34:15.53:186459:6.2:0,34:15.81:148068:6.2:0,34:15.87:198034:6.2:0,34:17.99:3519887:6.2:0,34:17.81:1259107:6.2:0,34:18.25:1164182:6.2:0,34:18.95:1008390:6.2:0,[34:18.41:764539:6.2:0
RDNT_122019C12.5,160:16.14:98171:3.6:100,64:15.53:186459:3.6:0,64:15.81:148068:3.6:0,64:15.87:198034:3.6:0,64:17.99:3519887:5.5:60,53:17.81:1259107:5.5:0,53:18.25:1164182:5.5:0,53:18.95:1008390:5.5:0,[50:18.41:764539:5.5:0
RDNT_122019C15,284:16.14:98171:1.5:26,284:15.53:186459:0.85:29,256:15.81:148068:1.0:2,256:15.87:198034:1.1:2,258:17.99:3519887:3.01:13,252:17.81:1259107:3.2:2,252:18.25:1164182:3.25:5,253:18.95:1008390:4.1:7,[250:18.41:764539:3.8:4
RDNT_122019C17.5,96:16.14:98171:0.25:11,107:15.53:186459:0.1:21,126:15.81:148068:0.1:0,126:15.87:198034:0.1:5,131:17.99:3519887:0.95:119,95:17.81:1259107:0.85:32,115:18.25:1164182:1.15:16,102:18.95:1008390:1.3:4,[98:18.41:764539:1.1:8
RDNT_122019C20,11:16.14:98171:0.1:0,11:15.53:186459:0.1:0,11:15.81:148068:0.1:0,11:15.87:198034:0.1:0,11:17.99:3519887:0.15:210,219:17.81:1259107:0.15:109,179:18.25:1164182:0.2:685,580:18.95:1008390:0.35:395,[888:18.41:764539:0.3:4
RDNT_122019C22.5,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_122019C25,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720C10,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720C12.5,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720C15,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720C17.5,U,U,U,U,U,0:17.81:1259107:3.1:15,18:18.25:1164182:0.95:0,18:18.95:1008390:0.95:0,[18:18.41:764539:1.95:4
RDNT_011720C2.5,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720C20,U,U,U,U,U,0:17.81:1259107:0.25:86,86:18.25:1164182:0.25:0,86:18.95:1008390:0.5:1,[87:18.41:764539:0.5:0
RDNT_011720C22.5,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720C25,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720C30,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720C5,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720C7.5,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.25:1164182:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
