Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RDNT_122019P2.5,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_122019P5,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_122019P7.5,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_122019P10,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_122019P12.5,233:16.14:98171:0.4:0,233:15.53:186459:0.4:0,233:15.81:148068:0.4:0,233:15.87:198034:0.4:0,233:17.99:3519887:0.05:50,279:17.81:1259107:0.05:0,277:18.26:1164282:0.05:0,277:18.95:1008390:0.05:0,[277:18.41:764539:0.05:0
RDNT_122019P15,15:16.14:98171:0.3:6,21:15.53:186459:0.35:12,22:15.81:148068:0.35:0,22:15.87:198034:0.35:0,22:17.99:3519887:0.05:10,32:17.81:1259107:0.03:10,32:18.26:1164282:0.1:0,32:18.95:1008390:0.1:0,[32:18.41:764539:0.1:0
RDNT_122019P17.5,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.4:84,84:17.81:1259107:0.55:180,215:18.26:1164282:0.6:0,215:18.95:1008390:0.3:1,[214:18.41:764539:0.3:0
RDNT_122019P20,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:2.2:14,11:17.81:1259107:2.2:0,11:18.26:1164282:2.2:0,11:18.95:1008390:2.2:0,[11:18.41:764539:2.2:0
RDNT_122019P22.5,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,1:18.26:1164282:4.2:1,1:18.95:1008390:4.2:0,[1:18.41:764539:4.2:0
RDNT_122019P25,0:16.14:98171:0.0:0,0:15.53:186459:0.0:0,0:15.81:148068:0.0:0,0:15.87:198034:0.0:0,0:17.99:3519887:0.0:0,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720P10,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720P12.5,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720P15,U,U,U,U,U,0:17.81:1259107:0.0:0,200:18.26:1164282:0.15:20,220:18.95:1008390:0.15:0,[220:18.41:764539:0.15:0
RDNT_011720P17.5,U,U,U,U,U,0:17.81:1259107:0.0:0,60:18.26:1164282:1.0:0,60:18.95:1008390:0.6:209,[241:18.41:764539:0.6:0
RDNT_011720P2.5,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720P20,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:1.7:300,[300:18.41:764539:1.6:200
RDNT_011720P22.5,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720P25,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720P30,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720P5,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
RDNT_011720P7.5,U,U,U,U,U,0:17.81:1259107:0.0:0,0:18.26:1164282:0.0:0,0:18.95:1008390:0.0:0,[0:18.41:764539:0.0:0
