Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RH_112219C162.5,0:186.5,0:187.11,0:184.94,0:181.7,0.0,0:173.29,0:172.68,0:173.1,0:175.26:761276:0.0:0,0:175.04:500320:0.0:0,0:174.71:377580:12.5:3,2:174.49:335307:12.5:0,2:172.98:581827:12.5:0,2:175.22:561811:12.5:0,2:188.47:2942377:12.5:0,U:187.55:1316671::,2:189.76:1276665:12.5:0,2:195.08:1681857:34.36:2,1:195.54:1083390:34.36:0
RH_112219C165,0:186.5,0:187.11,0:184.94,0:181.7,0.0,0:173.29,0:172.68,0:173.1,0:175.26:761276:0.0:0,0:175.04:500320:0.0:0,0:174.71:377580:0.0:0,0:174.49:335307:11.0:2,2:172.98:581827:11.0:0,2:175.22:561811:11.2:7,9:188.47:2942377:24.43:9,3:187.55:1316671:24.43:0,3:189.76:1276665:24.43:0,3:195.08:1681857:24.43:0,3:195.54:1083390:24.43:0
RH_112219C167.5,0:186.5,0:187.11,0:184.94,0:181.7,0.0,0:173.29,3:172.68,3:173.1,3:175.26:761276:12.5:0,3:175.04:500320:12.5:0,3:174.71:377580:9.3:2,3:174.49:335307:9.1:2,5:172.98:581827:9.1:0,5:175.22:561811:8.9:2,7:188.47:2942377:21.98:2,7:187.55:1316671:21.98:0,7:189.76:1276665:21.98:0,7:195.08:1681857:21.98:0,7:195.54:1083390:21.98:0
RH_112219C170,0:186.5,0:187.11,0:184.94,0:181.7,0.0,0:173.29,1:172.68,1:173.1,1:175.26:761276:9.5:3,2:175.04:500320:9.5:0,2:174.71:377580:9.5:0,2:174.49:335307:9.5:0,2:172.98:581827:9.5:0,2:175.22:561811:6.75:22,19:188.47:2942377:15.25:5,19:187.55:1316671:15.25:0,24:189.76:1276665:19.9:3,21:195.08:1681857:27.5:10,14:195.54:1083390:27.5:0
RH_112219C172.5,0:186.5,0:187.11,0:184.94,0:181.7,0.0,0:173.29,4:172.68,14:173.1,78:175.26:761276:7.67:78,62:175.04:500320:7.67:0,62:174.71:377580:6.2:54,97:174.49:335307:5.31:114,200:172.98:581827:4.76:12,206:175.22:561811:5.5:121,155:188.47:2942377:13.12:6,150:187.55:1316671:16.6:41,161:189.76:1276665:15.44:1,160:195.08:1681857:15.44:0,[151:195.54:1083390:15.44:0
RH_112219C175,2:186.5,2:187.11,2:184.94,2:181.7,2.0,4:173.29,7:172.68,16:173.1,22:175.26:761276:7.4:1,22:175.04:500320:5.0:1,23:174.71:377580:4.9:40,53:174.49:335307:4.2:23,61:172.98:581827:3.5:63,53:175.22:561811:3.91:42,64:188.47:2942377:14.4:46,91:187.55:1316671:14.2:44,96:189.76:1276665:14.25:25,77:195.08:1681857:14.25:0,[77:195.54:1083390:21.0:2
RH_112219C177.5,1:186.5,1:187.11,2:184.94,2:181.7,7.0,8:173.29,13:172.68,13:173.1,15:175.26:761276:4.99:64,73:175.04:500320:4.3:2,75:174.71:377580:3.8:44,112:174.49:335307:3.2:5,112:172.98:581827:2.33:14,119:175.22:561811:2.65:39,125:188.47:2942377:12.0:90,71:187.55:1316671:10.28:13,103:189.76:1276665:13.3:13,103:195.08:1681857:20.85:9,[102:195.54:1083390:19.58:10
RH_112219C180,1:186.5,1:187.11,6:184.94,6:181.7,10.0,10:173.29,12:172.68,14:173.1,14:175.26:761276:3.83:70,70:175.04:500320:3.5:3,70:174.71:377580:2.81:16,71:174.49:335307:2.81:0,71:172.98:581827:1.61:15,84:175.22:561811:1.85:83,158:188.47:2942377:9.16:274,212:187.55:1316671:8.33:137,225:189.76:1276665:11.68:50,221:195.08:1681857:14.9:77,[194:195.54:1083390:15.6:44
RH_112219C182.5,3:186.5,3:187.11,5:184.94,5:181.7,9.0,9:173.29,9:172.68,14:173.1,14:175.26:761276:3.5:1,15:175.04:500320:2.65:3,16:174.71:377580:2.15:13,21:174.49:335307:2.15:0,21:172.98:581827:1.1:131,117:175.22:561811:1.15:15,122:188.47:2942377:8.39:233,220:187.55:1316671:6.3:23,556:189.76:1276665:8.4:386,247:195.08:1681857:14.7:10,[237:195.54:1083390:10.77:3
RH_112219C185,5:186.5,5:187.11,5:184.94,5:181.7,12.0,12:173.29,12:172.68,12:173.1,13:175.26:761276:2.7:11,14:175.04:500320:1.86:6,20:174.71:377580:1.75:12,28:174.49:335307:1.3:8,28:172.98:581827:0.7:11,38:175.22:561811:0.78:13,48:188.47:2942377:6.3:199,97:187.55:1316671:4.78:73,217:189.76:1276665:6.0:151,208:195.08:1681857:12.8:45,[195:195.54:1083390:10.85:80
