Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RH_112219P162.5,1:186.5,1:187.11,1:184.94,15:181.7,8.0,8:173.29,8:172.68,8:173.1,8:175.26:761276:1.75:4,8:175.04:500320:1.67:5,13:174.71:377580:1.67:0,13:174.49:335307:1.1:5,17:172.98:581827:0.98:107,124:175.22:561811:0.6:2,126:188.47:2942377:0.08:3,125:187.55:1316671:0.1:1,124:189.76:1276665:0.1:1,123:195.08:1681857:0.1:0,123:195.54:1083390:0.1:0
RH_112219P165,6:186.5,8:187.11,9:184.94,9:181.7,9.0,9:173.29,9:172.68,12:173.1,12:175.26:761276:2.5:0,12:175.04:500320:2.5:6,18:174.71:377580:1.75:29,47:174.49:335307:1.5:23,69:172.98:581827:1.4:39,92:175.22:561811:0.65:5,91:188.47:2942377:0.1:32,108:187.55:1316671:0.1:10,132:189.76:1276665:0.05:2,132:195.08:1681857:0.01:1,132:195.54:1083390:0.01:0
RH_112219P167.5,19:186.5,19:187.11,19:184.94,33:181.7,19.0,19:173.29,60:172.68,60:173.1,60:175.26:761276:4.2:0,60:175.04:500320:3.06:9,69:174.71:377580:2.35:1,70:174.49:335307:2.07:1,71:172.98:581827:2.06:1,71:175.22:561811:1.1:13,71:188.47:2942377:0.17:27,69:187.55:1316671:0.06:4,67:189.76:1276665:0.17:0,U:195.08:1681857:U:U,67:195.54:1083390:0.17:0
RH_112219P170,19:186.5,19:187.11,19:184.94,25:181.7,19.0,19:173.29,19:172.68,22:173.1,26:175.26:761276:2.9:2,26:175.04:500320:3.69:1,27:174.71:377580:3.26:1,28:174.49:335307:3.1:1,28:172.98:581827:2.72:7,35:175.22:561811:1.7:20,51:188.47:2942377:0.24:230,190:187.55:1316671:0.09:37,U:189.76:1276665:U:U,289:195.08:1681857:0.02:1,289:195.54:1083390:0.02:0
RH_112219P172.5,5:186.5,5:187.11,5:184.94,5:181.7,7.0,9:173.29,7:172.68,8:173.1,14:175.26:761276:4.2:3,13:175.04:500320:4.8:20,31:174.71:377580:4.4:19,49:174.49:335307:3.85:11,60:172.98:581827:4.2:50,56:175.22:561811:2.5:54,80:188.47:2942377:0.3:323,361:187.55:1316671:0.09:31,867:189.76:1276665:0.1:365,U:195.08:1681857:U:U,[713:195.54:1083390:0.03:1
RH_112219P175,14:186.5,14:187.11,14:184.94,26:181.7,18.0,40:173.29,42:172.68,43:173.1,40:175.26:761276:4.7:3,38:175.04:500320:6.0:8,46:174.71:377580:5.4:27,71:174.49:335307:5.0:22,87:172.98:581827:5.14:26,113:175.22:561811:3.5:74,120:188.47:2942377:0.52:312,348:187.55:1316671:0.25:148,506:189.76:1276665:0.07:160,U:195.08:1681857:U:U,[483:195.54:1083390:0.3:1
RH_112219P177.5,8:186.5,9:187.11,9:184.94,10:181.7,10.0,12:173.29,12:172.68,12:173.1,32:175.26:761276:8.89:0,32:175.04:500320:7.3:1,32:174.71:377580:7.3:0,32:174.49:335307:7.3:0,32:172.98:581827:7.3:0,32:175.22:561811:5.35:3,33:188.47:2942377:0.78:237,210:187.55:1316671:0.52:297,U:189.76:1276665:U:U,446:195.08:1681857:0.05:22,[440:195.54:1083390:0.15:1
RH_112219P180,1:186.5,12:187.11,12:184.94,13:181.7,66.0,66:173.29,66:172.68,66:173.1,76:175.26:761276:7.1:2,76:175.04:500320:7.1:0,76:174.71:377580:7.1:0,76:174.49:335307:7.1:0,76:172.98:581827:8.4:30,106:175.22:561811:6.17:11,116:188.47:2942377:1.3:98,U:187.55:1316671::,1003:189.76:1276665:0.35:166,U:195.08:1681857:U:U,[971:195.54:1083390:0.14:2
RH_112219P182.5,3:186.5,20:187.11,20:184.94,23:181.7,23.0,16:173.29,16:172.68,16:173.1,17:175.26:761276:9.5:1,16:175.04:500320:9.5:0,16:174.71:377580:11.4:1,17:174.49:335307:11.4:0,17:172.98:581827:11.1:17,32:175.22:561811:11.1:0,32:188.47:2942377:1.69:149,90:187.55:1316671:1.55:349,262:189.76:1276665:0.53:253,U:195.08:1681857:U:U,[360:195.54:1083390:0.04:36
RH_112219P185,4:186.5,9:187.11,9:184.94,11:181.7,11.0,11:173.29,11:172.68,11:173.1,13:175.26:761276:13.3:0,13:175.04:500320:12.59:1,14:174.71:377580:12.3:1,15:174.49:335307:12.3:0,15:172.98:581827:12.3:0,15:175.22:561811:12.2:1,14:188.47:2942377:2.65:279,U:187.55:1316671::,265:189.76:1276665:0.9:121,252:195.08:1681857:0.04:98,[183:195.54:1083390:0.01:12
