Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
RMBS_122019C6,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,0:0:0:0.0:0
RMBS_122019C7,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,0:0:0:0.0:0
RMBS_122019C8,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,0:0:0:0.0:0
RMBS_122019C9,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,0:0:0:0.0:0
RMBS_122019C10,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:0.0:0,0:13.605:374715:0.0:0,0:13.25:552617:0.0:0,0:13.2:444929:0.0:0,0:0:0:0.0:0
RMBS_122019C11,0:13.74,0:13.73,0:13.845,0.0,0:14.07,0:14.25,0:14.415,0:14.085:898522:0.0:0,0:13.91:341920:0.0:0,0:13.69:445842:0.0:0,0:13.89:518715:0.0:0,0:13.88:558981:0.0:0,0:13.51:590139:0.0:0,0:13.82:660699:2.87:2,2:13.605:374715:2.87:0,2:13.25:552617:2.87:0,2:13.2:444929:2.87:0,2:0:0:2.87:0
RMBS_122019C12,7:13.74,7:13.73,7:13.845,7.0,7:14.07,7:14.25,8:14.415,8:14.085:898522:2.85:0,8:13.91:341920:2.85:0,8:13.69:445842:2.85:0,8:13.89:518715:2.85:0,8:13.88:558981:2.85:0,8:13.51:590139:2.85:0,8:13.82:660699:2.85:0,8:13.605:374715:2.85:0,5:13.25:552617:1.48:0,5:13.2:444929:1.48:0,5:0:0:1.48:0
RMBS_122019C13,3:13.74,3:13.73,3:13.845,3.0,3:14.07,8:14.25,8:14.415,8:14.085:898522:1.26:0,8:13.91:341920:1.26:0,8:13.69:445842:1.26:0,8:13.89:518715:1.02:10,13:13.88:558981:1.02:0,13:13.51:590139:1.02:0,13:13.82:660699:0.86:1,14:13.605:374715:0.86:5,25:13.25:552617:0.65:10,34:13.2:444929:0.52:12,29:0:0:0.47:20
RMBS_122019C14,90:13.74,90:13.73,90:13.845,90.0,92:14.07,103:14.25,110:14.415,125:14.085:898522:0.55:14,125:13.91:341920:0.55:0,125:13.69:445842:0.34:36,106:13.89:518715:0.49:5,106:13.88:558981:0.42:4,110:13.51:590139:0.33:8,117:13.82:660699:0.38:240,344:13.605:374715:0.28:279,590:13.25:552617:0.18:2373,2589:13.2:444929:0.14:335,2879:0:0:0.1:1185
RMBS_122019C15,12:13.74,42:13.73,47:13.845,67.0,67:14.07,106:14.25,615:14.415,623:14.085:898522:0.19:22,629:13.91:341920:0.16:3,631:13.69:445842:0.1:4,631:13.89:518715:0.18:6,629:13.88:558981:0.18:0,629:13.51:590139:0.18:0,629:13.82:660699:0.09:2,631:13.605:374715:0.07:34,681:13.25:552617:0.05:5,676:13.2:444929:0.04:4,U:195.54:1083390:0.0:0:0:0:U:U
